relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-90.55999999999767,,177.44193353000057,,,,,,147.519,,,,,0.034
-66.72000000000116,,,138.22988692879892,,,,,,117.001,,,,0.034
-57.76000000000204,,,,238.96210658313285,,,,,,153.542,,,0.034
-40.779999999998836,97.99465629833055,,,,,,49.701,,,,,,0.034
-36.7699999999968,,,113.03447722996957,,,,,,65.079,,,,0.034
-1.9099999999962165,,358.2755815757196,,,,,,93.462,,,,,0.034
0.0,,,,,,711.7341418452214,,,,,,110.957,0.034
3.0429999999978463,,,,,,1594.2469187884903,,,,,,77.261,0.034
3.084999999999127,,,,,1235.5336987692094,,,,,,75.214,,0.034
6.989999999997963,,,,,2118.1137930124864,,,,,,84.133,,0.034
8.069999999999709,2095.5271048251752,,,,,,76.877,,,,,,0.034
8.080000000001746,,,2189.758481538481,,,,,,70.452,,,,0.034
10.002000000000407,,,,,,2921.7826488387195,,,,,,93.486,0.034
10.044999999998254,,,,,2274.706053001345,,,,,,80.525,,0.034
12.069999999999709,,2393.1092403317843,,,,,,54.988,,,,,0.034
12.080000000001746,1893.0972759656777,,,,,,60.567,,,,,,0.034
12.989000000001397,,,,,1824.3013997002888,,,,,,80.934,,0.034
13.022000000004482,,,,,,2838.5835209538927,,,,,,80.173,0.034
15.980000000003201,,,,,,2786.4996875650954,,,,,,114.283,0.034
16.02100000000064,,,,,1420.5958999710103,,,,,,111.939,,0.034
18.06999999999971,976.3336450936469,,2195.4790195138175,,,,77.792,,70.125,,,,0.034
18.991000000001804,,,,,961.0717655006032,,,,,,124.011,,0.034
19.00300000000425,,,,,,2179.0736092708153,,,,,,124.523,0.034
27.97899999999936,,,,,,1027.476376532645,,,,,,116.302,0.034
30.98700000000099,,,,,,911.6052347289292,,,,,,81.455,0.034
31.022000000004482,,,,,382.1981274727889,,,,,,65.584,,0.034
33.98099999999977,,,,,361.45775363253836,,,,,,74.986,,0.034
36.97899999999936,,,,,,758.7513364775092,,,,,,88.705,0.034
39.06100000000151,,,,,345.72020279538407,,,,,,92.262,,0.034
39.974999999998545,,,,,,693.3691207173807,,,,,,84.846,0.034
39.99799999999959,,,,,317.8742602939582,,,,,,71.355,,0.034
41.044999999998254,,,,,,557.7054033944422,,,,,,121.625,0.034
41.98200000000361,,,,,,711.759974851517,,,,,,101.065,0.034
43.97600000000239,,,,,,607.2980364369887,,,,,,75.339,0.034
44.06999999999971,172.75460964115052,469.17814455054656,,,,,48.568,49.641,,,,,0.034
45.98099999999977,,,,,,678.9194848046126,,,,,,104.703,0.034
49.963000000003376,,,,,,613.5552398314724,,,,,,144.833,0.034
53.95799999999872,,,,,,609.6252533519717,,,,,,147.548,0.034
55.95799999999872,,,,,,644.7165844691589,,,,,,152.482,0.034
57.00100000000384,,,,,,693.1186528737314,,,,,,150.217,0.034
57.97099999999773,,,,,,431.87956877340326,,,,,,94.0,0.034
59.9800000000032,,,,,,320.23268508612125,,,,,,87.907,0.034
63.95900000000256,,,,,,509.80764019972844,,,,,,110.34,0.034
64.96399999999994,,,,,,404.18097015352197,,,,,,109.325,0.034
66.98500000000058,,,,,,535.9135778227729,,,,,,109.132,0.034
68.01800000000367,,,,,408.9054889919164,,,,,,124.795,,0.034
70.96199999999953,,,,,,566.095514569598,,,,,,142.299,0.034
