relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-65.7699999999968,,171.2933167500491,,,,,,137.086,,,,,0.027
-58.75,,105.99953733166447,,,,,,128.561,,,,,0.027
-31.860000000000582,,214.64130906062206,,,,,,188.931,,,,,0.027
-20.94000000000233,82.85196853394912,,,,,,63.863,,,,,,0.027
-15.940000000002328,161.88670109919806,,,,,,114.906,,,,,,0.027
0.0,,249.825980173588,337.78515579753287,,,,,51.142,57.598,,,,0.027
0.9530000000013388,,,,,499.88052769292733,,,,,,125.085,,0.027
4.989999999997963,944.0545480733432,,868.2449292908665,,,,70.258,,78.851,,,,0.027
5.921999999998661,,,,,1265.9798100764892,,,,,,79.479,,0.027
5.948000000003958,,,,,,1003.7758484467429,,,,,,87.384,0.027
7.989999999997963,1652.4779487989529,1169.4290692719794,,,,,61.07,63.53,,,,,0.027
8.957000000002154,,,,,,1454.8710649654192,,,,,,84.042,0.027
10.989999999997963,,,1107.7257460397657,,,,,,149.282,,,,0.027
11.919000000001688,,,,,1984.7983671219379,,,,,,86.046,,0.027
11.95799999999872,,,,,,1739.1674466158647,,,,,,88.36,0.027
14.936000000001513,,,,,2015.291232761238,,,,,,87.371,,0.027
14.989999999997963,1897.9104623553098,1793.043284295548,,,,,53.449,53.217,,,,,0.027
21.989999999997963,,1631.3511161743074,,,,,,84.018,,,,,0.027
22.0,,,,603.2478122008642,,,,,,92.893,,,0.027
23.917999999997846,,,,,1596.3737123259416,,,,,,231.695,,0.027
23.936000000001513,,,,,,1741.1150651767289,,,,,,171.038,0.027
24.010000000002037,,1510.3156770102048,1155.8170924555604,,,,,87.126,86.884,,,,0.027
26.020000000004075,,1502.7971931705495,,730.6558391817956,,,,115.562,,123.105,,,0.027
28.93300000000454,,,,,1118.3065328642379,,,,,,345.965,,0.027
31.0,,990.3476094234952,,934.7060870559222,,,,66.799,,214.08,,,0.027
32.98999999999796,,925.0687518613277,867.6138862954808,,,,,58.106,72.172,,,,0.027
51.89300000000367,,,,,,869.2158032475891,,,,,,189.833,0.027
