relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-63.830000000001746,,,108.50376261633274,,,,,,111.596,,,,0.035
-41.29500000000553,,118.90707776092928,,,,,,94.394,,,,,0.035
-36.74000000000524,,122.5305649350312,,,,,,105.937,,,,,0.035
-14.80000000000291,45.29854506094038,,,,,,36.84,,,,,,0.035
-8.830000000001746,,,,232.37180348477557,,,,,,180.926,,,0.035
-1.0640000000057626,,,,,,307.9159688642396,,,,,,66.183,0.035
0.0,532.6052307792959,,,302.0063203050266,,,56.814,,,100.32,,,0.035
1.955999999998312,,,,,,1265.7403917083047,,,,,,74.743,0.035
2.0020000000004075,,,,,1089.1018854675685,,,,,,52.898,,0.035
4.169999999998254,2544.2079577982954,,,,,,136.605,,,,,,0.035
4.180000000000291,,,2159.5676873649845,,,,,,106.473,,,,0.035
4.9209999999948195,,,,,2825.625430304358,,,,,,72.382,,0.035
4.951999999997497,,,,,,3077.5683392262395,,,,,,74.802,0.035
7.89600000000064,,,,,,5203.5604434010265,,,,,,86.049,0.035
7.934999999997672,,,,,4973.787123153519,,,,,,82.785,,0.035
8.07999999999447,5449.054156117367,5075.088069657144,,,,,106.785,116.264,,,,,0.035
8.949000000000524,,,,,,6299.951729358701,,,,,,98.828,0.035
10.932000000000698,,,,,6588.151929522942,,,,,,131.971,,0.035
11.979999999995925,7012.852102357877,,,4021.0066511790387,,,89.799,,,112.087,,,0.035
13.913000000000466,,,,,,6708.136235656787,,,,,,164.835,0.035
13.934999999997672,,,,,6460.245604873653,,,,,,192.611,,0.035
13.989999999997963,5124.102851257628,,4634.713107235841,,,,93.232,,74.876,,,,0.035
16.949000000000524,,,,,,7621.311586390468,,,,,,172.743,0.035
17.062999999994645,,,,,5996.393790892725,,,,,,244.468,,0.035
18.089999999996508,,6276.990944830838,3923.956326882201,,,,,155.241,107.792,,,,0.035
20.890999999995984,,,,,3795.8370893785427,,,,,,159.31,,0.035
20.976999999998952,,,,,,5548.391886858893,,,,,,160.709,0.035
22.06999999999971,,4755.907293122351,,3093.0420823453674,,,,90.715,,123.484,,,0.035
23.896999999997206,,,,,2547.6639966958087,,,,,,71.0,,0.035
23.935999999994237,,,,,,4584.28659270021,,,,,,87.355,0.035
25.06999999999971,,4268.346239244496,2669.4763762287316,,,,,72.662,71.983,,,,0.035
26.8949999999968,,,,,1854.9902763102891,,,,,,74.559,,0.035
26.9320000000007,,,,,,4467.732645164763,,,,,,87.811,0.035
28.049999999995634,1698.1480355310537,,,3007.874696572264,,,64.501,,,98.48,,,0.035
29.924999999995634,,,,,,3868.0001595678655,,,,,,83.196,0.035
32.05999999999767,916.7537533967133,,3028.585297435696,,,,65.092,,105.35,,,,0.035
32.891999999999825,,,,,,3264.137153000562,,,,,,83.919,0.035
32.95599999999831,,,,,760.3112885131613,,,,,,65.521,,0.035
33.88699999999517,,,,,,2874.577746172304,,,,,,78.738,0.035
34.89299999999639,,,,,808.8785546330705,,,,,,74.641,,0.035
34.953999999997905,,,,,,2422.5060319319077,,,,,,115.659,0.035
35.86999999999534,,,,,725.7682195478966,,,,,,108.613,,0.035
36.0399999999936,836.0638934526769,2201.265199735288,,,,,43.294,62.027,,,,,0.035
37.89299999999639,,,,,550.5824876889119,,,,,,57.328,,0.035
38.8949999999968,,,,,,1972.920519399755,,,,,,80.175,0.035
38.94399999999587,,,,,693.0320622408068,,,,,,72.553,,0.035
39.0399999999936,699.8479087576382,,1848.7818721931753,,,,56.105,,133.172,,,,0.035
39.88999999999942,,,,,,1815.3690380742823,,,,,,78.289,0.035
40.89299999999639,,,,,,1628.3065904159114,,,,,,98.701,0.035
41.87299999999959,,,,,,1789.1331860497057,,,,,,106.141,0.035
43.87199999999575,,,,,,1517.2254422890026,,,,,,127.391,0.035
43.974999999998545,,,,,804.1060926512926,,,,,,180.542,,0.035
44.88999999999942,,,,,,1522.402962981511,,,,,,123.065,0.035
45.05999999999767,,1266.8660479542275,,,,,,130.144,,,,,0.035
45.06999999999971,,,,970.3142507908562,,,,,,143.18,,,0.035
47.875,,,,,,1273.3466361910519,,,,,,134.648,0.035
47.93499999999767,,,,,809.0327502192849,,,,,,242.882,,0.035
48.0199999999968,,1058.2211814193315,878.5621144501586,,,,,178.066,112.272,,,,0.035
49.867999999994936,,,,,,963.5395311226266,,,,,,145.354,0.035
50.927999999999884,,,,,,1153.3823321872705,,,,,,133.457,0.035
50.979999999995925,,992.2902247442755,,944.2403962528537,,,,78.275,,97.401,,,0.035
51.882999999994354,,,,,,1089.502951940997,,,,,,74.903,0.035
53.87899999999354,,,,,297.90587256630073,,,,,,66.812,,0.035
53.9059999999954,,,,,,1024.97553634466,,,,,,73.67,0.035
54.0399999999936,,967.6600703198344,948.143773006147,,,,,53.365,62.803,,,,0.035
54.89600000000064,,,,,,853.5132718438213,,,,,,75.425,0.035
54.913000000000466,,,,,377.232986367171,,,,,,68.247,,0.035
55.913000000000466,,,,,238.50365180380211,,,,,,72.415,,0.035
