relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-142.69000000000233,115.40979195710592,,,,,,69.038,,,,,,0.073
-139.70999999999913,,,115.51118181969804,,,,,,48.191,,,,0.073
-135.69000000000233,167.23661661564174,,,,,,64.573,,,,,,0.073
-78.79000000000087,53.52924479333888,,,,,,45.567,,,,,,0.073
-60.919999999998254,,,196.2503118271495,,,,,,151.326,,,,0.073
-54.830000000001746,,,,111.31025153137459,,,,,,84.395,,,0.073
-50.94000000000233,43.99747868625941,,51.52029288537159,,,,39.185,,46.407,,,,0.073
-43.9800000000032,,,101.2459285380855,,,,,,48.32,,,,0.073
-39.0,119.01499201768961,,,140.85587236203398,,,61.051,,,77.054,,,0.073
-28.87999999999738,,,,252.03453972878103,,,,,,136.607,,,0.073
-23.010000000002037,74.29902567333865,,,,,,50.354,,,,,,0.073
-11.940000000002328,97.25234542189017,,,99.69324956854122,,,60.85,,,88.275,,,0.073
-3.959999999999127,,329.09219140829026,,,,,,105.334,,,,,0.073
-3.9500000000043656,,,392.3665922913537,,,,,,109.043,,,,0.073
-1.118000000002212,,,,,,518.9585350475221,,,,,,124.683,0.073
-1.0409999999974389,,,,,609.8677937422964,,,,,,122.684,,0.073
0.0,,585.7582936548407,,496.5908970594426,,,,54.171,,78.473,,,0.073
1.9369999999980791,,,,,,639.5485615936975,,,,,,68.247,0.073
3.9899999999979627,682.9474044677576,,637.101045875461,,,,47.54,,52.551,,,,0.073
4.927999999999884,,,,,,765.8452225421507,,,,,,76.196,0.073
7.915999999997439,,,,,519.1105759182279,,,,,,63.879,,0.073
10.951999999997497,,,,,,879.6262987536095,,,,,,85.224,0.073
10.979999999995925,541.277718122464,653.6479498416556,,,,,70.996,53.643,,,,,0.073
11.979999999995925,507.0697932998284,,545.5167340595185,,,,78.308,,60.651,,,,0.073
13.906999999999243,,,,,574.9433589717853,,,,,,69.712,,0.073
16.96600000000035,,,,,,746.7901709929217,,,,,,190.538,0.073
22.979999999995925,,,593.6930580253053,,,,,,102.173,,,,0.073
22.989999999997963,,411.5642577316305,,,,,,98.299,,,,,0.073
28.0199999999968,,,,205.6737895578582,,,,,,177.921,,,0.073
28.029999999998836,,108.7199293010946,,,,,,73.533,,,,,0.073
29.989999999997963,,208.47273978035622,557.9339447350969,,,,,92.158,116.834,,,,0.073
31.938999999998487,,,,,,636.1043055254013,,,,,,117.475,0.073
31.989999999997963,122.32794754238881,,,521.6604447941997,,,80.897,,,117.416,,,0.073
41.979999999995925,58.38509832626663,,447.12181163154116,,,,52.843,,62.558,,,,0.073
59.970000000001164,,336.56578056813254,,,,,,137.555,,,,,0.073
59.979999999995925,,,224.6388360143732,,,,,,145.379,,,,0.073
176.34999999999854,,151.20888770426768,,,,,,104.534,,,,,0.073
198.36000000000058,,,,164.4713597901924,,,,,,93.242,,,0.073
