relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-66.87000000000262,105.75240167143617,,,,,,71.51,,,,,,0.028
-48.020000000004075,,129.48717387045042,,,,,,103.619,,,,,0.028
-29.060000000004948,131.5950827639327,,,,,,96.012,,,,,,0.028
-20.12000000000262,,88.82084449854075,,,,,,109.484,,,,,0.028
-16.960000000006403,218.29406602376915,,,,,,61.703,,,,,,0.028
-13.0,,118.61333243635792,,,,,,79.071,,,,,0.028
-5.060000000004948,110.54540370962388,,,,,,52.639,,,,,,0.028
-2.140000000006694,266.42283402738997,161.22195339081625,,,,,51.897,51.14,,,,,0.028
-1.224000000001979,,,,,,350.82036055694175,,,,,,71.819,0.028
-1.1280000000042492,,,,,319.3355188126513,,,,,,60.02,,0.028
0.0,579.808303603749,,,,,,69.406,,,,,,0.028
1.0199999999967986,442.05753483155047,,141.38525115763363,,,,73.423,,91.523,,,,0.028
1.7789999999949941,,,,,,492.16261964311707,,,,,,142.556,0.028
1.8909999999959837,,,,,443.40601710911517,,,,,,127.608,,0.028
9.729999999995925,,,,,,870.3660622049127,,,,,,123.422,0.028
9.772999999993772,,,,,930.6120518939837,,,,,,106.867,,0.028
10.979999999995925,,1008.9414179606963,,529.3911545294975,,,,85.597,,108.974,,,0.028
12.772999999993772,,,,,,1145.7726336471003,,,,,,69.548,0.028
12.814999999995052,,,,,1148.7554945580755,,,,,,64.797,,0.028
14.930000000000291,1182.236502278899,,,555.3957250511686,,,67.156,,,99.584,,,0.028
16.719999999993888,,,,,1116.6643924986124,,,,,,67.783,,0.028
16.75499999999738,,,,,,1294.3345190557127,,,,,,104.953,0.028
19.731999999996333,,,,,,1380.9931430110375,,,,,,75.042,0.028
19.77499999999418,,,,,1152.5537890236408,,,,,,66.806,,0.028
21.799999999995634,,1044.7028734847067,,,,,,51.078,,,,,0.028
21.80999999999767,1026.704958706157,,,,,,56.793,,,,,,0.028
22.718999999997322,,,,,995.8282124366065,,,,,,68.805,,0.028
22.752000000000407,,,,,,1289.2298328021254,,,,,,72.902,0.028
24.89999999999418,871.6444799385424,,811.6943408612831,,,,64.829,,58.734,,,,0.028
25.709999999999127,,,,,,1151.3229758465168,,,,,,113.242,0.028
25.750999999996566,,,,,837.1511499135238,,,,,,86.7,,0.028
28.72099999999773,,,,,560.0412151314505,,,,,,95.907,,0.028
28.733000000000175,,,,,,1117.9328918459028,,,,,,110.374,0.028
33.90999999999622,,845.8797362392152,470.6068721363968,,,,,101.828,103.487,,,,0.028
37.708999999995285,,,,,,416.45062617942517,,,,,,113.545,0.028
37.87999999999738,,,,494.5285465770203,,,,,,134.935,,,0.028
37.88999999999942,,498.8174439038596,,,,,,95.65,,,,,0.028
40.716999999996915,,,,,,595.9124242172641,,,,,,79.583,0.028
40.75200000000041,,,,,209.66564087185503,,,,,,60.464,,0.028
42.87999999999738,336.43799759232974,,,483.90680041453754,,,86.427,,,133.694,,,0.028
46.708999999995285,,,,,,451.285515752568,,,,,,77.999,0.028
48.79099999999744,,,,,224.93038389980677,,,,,,69.919,,0.028
48.81999999999971,237.63517436297604,,435.0723333993341,,,,67.639,,79.33,,,,0.028
49.70499999999447,,,,,,530.9709996369762,,,,,,75.576,0.028
50.77499999999418,,,,,,705.7429565856173,,,,,,108.871,0.028
51.711999999999534,,,,,,501.6369349359357,,,,,,84.01,0.028
53.70599999999831,,,,,,278.9167997562517,,,,,,64.192,0.028
53.799999999995634,277.7075263404381,281.2316417668833,,,,,52.018,54.51,,,,,0.028
55.71099999999569,,,,,,389.7882963832584,,,,,,87.824,0.028
61.81999999999971,,181.15020690527166,,,,,,144.777,,,,,0.028
65.7899999999936,,240.7661654299126,,,,,,74.042,,,,,0.028
65.79999999999563,,,216.16949405881934,,,,,,68.573,,,,0.028
67.70099999999366,,,,,,271.15138244830496,,,,,,77.309,0.028
68.84999999999854,,368.7245058269708,191.1388557646302,,,,,73.113,92.198,,,,0.028
71.7899999999936,81.21091357212461,,97.01013081219837,,,,70.337,,70.904,,,,0.028
74.80999999999767,149.22542428172005,,,,,,56.89,,,,,,0.028
78.68999999999505,,,,,,376.04668786099137,,,,,,98.593,0.028
78.7899999999936,76.41900958709572,,129.75672036643294,,,,56.408,,64.388,,,,0.028
81.77999999999884,,81.53992198200112,,,,,,58.347,,,,,0.028
81.7899999999936,164.9561338347732,,,,,,58.708,,,,,,0.028
96.7699999999968,,255.53634206838075,271.84867201372504,,,,,81.713,79.803,,,,0.028
98.81999999999971,,332.36262793255753,,,,,,107.889,,,,,0.028
102.75999999999476,172.54368116212186,,,,,,62.79,,,,,,0.028
106.75,,,149.36477124814598,,,,,,80.033,,,,0.028
106.75999999999476,152.00020461402252,,,,,,70.621,,,,,,0.028
110.75,129.1299534224135,,,,,,81.825,,,,,,0.028
110.75999999999476,,106.64975645100051,,,,,,83.047,,,,,0.028
115.75,110.76062212874983,,,,,,71.544,,,,,,0.028
119.75,,192.7045982503012,341.1746249516941,,,,,141.236,136.119,,,,0.028
121.73999999999796,,287.0841573275002,,,,,,128.459,,,,,0.028
129.73999999999796,,280.3384867817289,170.4702291109185,,,,,106.614,141.395,,,,0.028
