relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-139.6800000000003,96.22778972796262,,,,,,52.24,,,,,,0.023
-72.86999999999534,,,60.73750642345293,,,,,,71.643,,,,0.023
-58.81999999999971,62.12243480008341,,,,,,47.102,,,,,,0.023
-54.93000000000029,71.27968426303549,,,,,,45.337,,,,,,0.023
-44.95999999999913,,,81.89591040581915,,,,,,72.481,,,,0.023
-42.98999999999796,138.09196981991147,,,,,,68.876,,,,,,0.023
-37.86999999999534,,212.43195995477367,,,,,,212.324,,,,,0.023
-24.010000000002037,53.7869620872854,,,,,,42.368,,,,,,0.023
-15.930000000000291,63.82106138088808,,,,,,49.424,,,,,,0.023
-3.9899999999979627,,171.950579355241,,69.5750290119861,,,,44.647,,92.652,,,0.023
0.0,435.6442646923872,,471.20388158426584,,,,50.62,,56.212,,,,0.023
3.0,709.0410745133564,,625.4730673653676,,,,61.943,,59.857,,,,0.023
6.989999999997963,1219.553412615641,1113.7442345030452,,,,,51.937,49.091,,,,,0.023
7.989999999997963,1284.6130783755393,,1040.0782703444372,,,,55.356,,52.265,,,,0.023
18.989999999997963,,,999.8121391407626,,,,,,91.075,,,,0.023
19.0,,1411.3052405176275,,,,,,88.751,,,,,0.023
24.029999999998836,,,,280.4480796620728,,,,,,160.355,,,0.023
24.040000000000873,,1207.7274277605713,,,,,,81.981,,,,,0.023
26.0,,1084.755507403054,776.0270930651417,,,,,64.428,102.787,,,,0.023
28.0,885.79110724886,,,329.6540966792434,,,52.911,,,99.477,,,0.023
30.0,806.7040039271992,,648.0565355537684,,,,59.071,,59.905,,,,0.023
33.98999999999796,,861.329243278255,,,,,,56.201,,,,,0.023
34.0,580.5652964938681,,,,,,59.656,,,,,,0.023
37.98999999999796,141.50110148907888,,595.6299952522879,,,,70.727,,75.794,,,,0.023
44.98999999999796,,,,262.8762716049258,,,,,,193.446,,,0.023
45.0,,501.6508938242135,,,,,,124.395,,,,,0.023
48.0,,599.0802993943258,348.4932579173724,,,,,83.356,83.895,,,,0.023
51.9800000000032,,,,579.1853314907686,,,,,,114.789,,,0.023
51.98999999999796,,395.0791008721509,,,,,,99.289,,,,,0.023
60.9800000000032,91.16214618660551,219.09421476250043,,,,,96.047,65.041,,,,,0.023
