relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-111.69000000000233,,,47.19335219642665,,,,,,57.141,,,,0.018
-107.69000000000233,,82.51651056097694,,,,,,43.521,,,,,0.018
-104.69999999999709,51.58764600786717,,,,,,51.723,,,,,,0.018
-44.86000000000058,,382.91888877592726,,,,,,103.39,,,,,0.018
-38.90999999999622,,,,388.58017151542674,,,,,,359.999,,,0.018
-31.87999999999738,,273.8804811278899,,,,,,187.389,,,,,0.018
-25.830000000001746,89.4035771418224,,,,,,65.359,,,,,,0.018
-21.979999999995925,43.27661573309581,,,,,,41.89,,,,,,0.018
0.0,560.5527612068798,,,,,,86.408,,,,,,0.018
3.9899999999979627,,576.7077900545535,,,,,,66.971,,,,,0.018
4.0,833.0963578918751,,,,,,94.596,,,,,,0.018
5.989999999997963,840.1765570794423,,438.91035195967373,,,,85.355,,91.883,,,,0.018
10.0,872.1569258111654,,,,,,88.609,,,,,,0.018
12.989999999997963,997.884356712032,,,,,,56.615,,,,,,0.018
13.0,,,800.1643493572692,,,,,,53.685,,,,0.018
15.980000000003201,,,,760.900265839809,,,,,,79.473,,,0.018
15.989999999997963,989.5956279496257,,,,,,49.64,,,,,,0.018
22.080000000001746,,1086.1300134374928,859.8025309473396,,,,,195.238,159.452,,,,0.018
25.0,,913.491432953371,,1114.7963047263745,,,,70.323,,103.077,,,0.018
28.0,,885.7737653862661,796.7992922550575,,,,,55.54,65.506,,,,0.018
31.989999999997963,715.8976625055357,,768.6219695831805,,,,49.274,,66.632,,,,0.018
34.0,533.8705946270651,688.1179134976529,,,,,68.789,64.906,,,,,0.018
38.0,526.4643685682539,,747.975522940724,,,,126.037,,252.117,,,,0.018
49.98999999999796,,393.8383809868049,,496.6909255739519,,,,148.497,,122.006,,,0.018
54.0,,328.5269833799762,,397.7691345680382,,,,93.291,,103.832,,,0.018
57.01000000000204,,,389.83170098197115,,,,,,82.461,,,,0.018
57.020000000004075,,204.35571423797242,,,,,,89.755,,,,,0.018
65.0,194.5838813168678,,599.3114071650954,,,,76.769,,115.001,,,,0.018
77.0,,170.59658848634945,,,,,,192.418,,,,,0.018
79.98999999999796,,116.78796031408497,214.91374196976835,,,,,90.401,94.958,,,,0.018
