relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-90.73999999999796,,133.83102640781752,,,,,,113.197,,,,,0.026
-63.79000000000087,,633.6727903880272,,,,,,184.138,,,,,0.026
-58.76000000000204,,139.48582855652856,,206.03721363704855,,,,111.86,,147.142,,,0.026
-53.86999999999534,113.3781792490513,,,,,,86.701,,,,,,0.026
-53.86000000000058,,,,168.32178302379864,,,,,,132.111,,,0.026
-50.830000000001746,,,54.349828002270755,,,,,,52.481,,,,0.026
-48.88999999999942,70.46515030906875,,,,,,57.58,,,,,,0.026
-38.86000000000058,,,68.75165866507236,,,,,,70.636,,,,0.026
-33.90999999999622,,224.6917238138369,,,,,,102.661,,,,,0.026
-19.830000000001746,,,109.86222476617579,,,,,,66.823,,,,0.026
-15.970000000001164,,,124.99654699796388,,,,,,109.326,,,,0.026
-13.889999999999418,67.59431961059548,,,,,,54.482,,,,,,0.026
-10.989999999997963,63.52803661518957,,,,,,59.525,,,,,,0.026
-8.839999999996508,93.35544401657641,,60.18883222362023,,,,39.917,,52.376,,,,0.026
-0.15200000000186265,,,,,336.3433820272422,,,,,,75.565,,0.026
0.0,,289.4816353826811,299.61207287907285,,,,,38.415,53.458,,,,0.026
1.9089999999996508,,,,,,319.3747051793031,,,,,,75.44,0.026
2.0350000000034925,,,,,462.81846147831243,,,,,,116.291,,0.026
2.9100000000034925,,,,,,480.0046770271979,,,,,,66.185,0.026
2.952000000004773,,,,,268.12619036629013,,,,,,66.448,,0.026
3.974999999998545,,,,,,406.9667117768879,,,,,,70.285,0.026
4.0350000000034925,,,,,312.6517630304944,,,,,,83.75,,0.026
4.899000000004889,,,,,,402.23886144510817,,,,,,82.356,0.026
4.950000000004366,,,,,347.89098649404383,,,,,,68.939,,0.026
5.940999999998894,,,,,369.79337530135814,,,,,,68.561,,0.026
5.968000000000757,,,,,,345.15821073347513,,,,,,82.729,0.026
6.930000000000291,,,,,436.1522340026371,,,,,,68.768,,0.026
7.0,405.26705458933975,,498.5651543480217,,,,47.661,,77.03,,,,0.026
7.908000000003085,,,,,,380.8225518978229,,,,,,64.11,0.026
7.942000000002736,,,,,329.7445990291352,,,,,,53.012,,0.026
8.953000000001339,,,,,380.15772771775005,,,,,,55.477,,0.026
9.930000000000291,,,,,372.214098498827,,,,,,56.97,,0.026
10.902999999998428,,,,,,367.3428232819719,,,,,,62.159,0.026
10.950000000004366,,,,,378.7703567152481,,,,,,55.419,,0.026
11.846000000005006,,,,,340.8254940169343,,,,,,53.028,,0.026
12.861000000004424,,,,,327.5939081953717,,,,,,53.468,,0.026
13.898000000001048,,,,,,421.6661077460136,,,,,,66.572,0.026
13.971000000005006,,,,,330.20492979088493,,,,,,60.535,,0.026
14.972999999998137,,,,,227.64153508178694,,,,,,70.208,,0.026
15.080000000001746,414.09224120839264,,,,,,55.173,,,,,,0.026
15.090000000003783,,447.95113877203,,,,,,46.556,,,,,0.026
15.842000000004191,,,,,,433.2573191696974,,,,,,99.697,0.026
15.870999999999185,,,,,429.7161082944786,,,,,,107.055,,0.026
16.93699999999808,,,,,,427.32838064683443,,,,,,70.699,0.026
17.93800000000192,,,,,,366.12315592869726,,,,,,97.888,0.026
