relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-177.61999999999534,,87.84251592603012,,,,,,70.979,,,,,0.023
-174.6099999999933,73.32710702031817,,,,,,65.695,,,,,,0.023
-171.65999999999622,200.4616935500675,,,,,,73.207,,,,,,0.023
-155.6999999999971,83.98320816423458,,,163.49915060316025,,,91.732,,,121.58,,,0.023
-153.6999999999971,215.7234160335465,,,,,,74.097,,,,,,0.023
-152.6999999999971,118.36068890162603,,51.61667912376323,,,,70.219,,67.711,,,,0.023
-151.68999999999505,137.0013068532155,57.322842792567464,,,,,56.687,70.043,,,,,0.023
-149.65999999999622,106.63228248451252,,,131.93616196479687,,,40.074,,,139.337,,,0.023
-147.68999999999505,64.6946716185683,,,,,,77.439,,,,,,0.023
-146.6800000000003,,,,84.01417509465935,,,,,,107.068,,,0.023
-145.75,,187.49654445650384,,,,,,99.295,,,,,0.023
-143.75999999999476,,,,201.66911429872513,,,,,,152.997,,,0.023
-139.7699999999968,162.25393405735872,212.32743329455738,,,,,121.512,111.586,,,,,0.023
-138.70999999999913,,,,449.00387310310686,,,,,,264.773,,,0.023
-92.73999999999796,186.07034171129837,,,,,,85.91,,,,,,0.023
-91.75999999999476,,,,372.7341338550625,,,,,,251.489,,,0.023
-89.75999999999476,,,141.16046880039045,,,,,,91.106,,,,0.023
-88.75999999999476,,,,162.00145949114662,,,,,,178.417,,,0.023
-78.91999999999825,,,136.21698456776932,,,,,,127.994,,,,0.023
-66.82999999999447,90.96561087973555,,89.63747541698011,,,,60.803,,94.986,,,,0.023
-64.83999999999651,112.01540613696724,239.2245713653718,,,,,54.201,76.076,,,,,0.023
-63.86999999999534,226.7931052133486,,,,,,76.813,,,,,,0.023
-62.919999999998254,76.19846625640186,,,,,,57.986,,,,,,0.023
-61.96999999999389,,77.11639126807512,,,,,,63.235,,,,,0.023
-60.93999999999505,126.43915390544024,,,,,,55.322,,,,,,0.023
-55.95999999999913,65.00135308643132,53.95370569407997,,,,,59.951,65.292,,,,,0.023
-54.95999999999913,154.42275798361717,,63.47417099442807,,,,80.948,,70.046,,,,0.023
-53.94999999999709,87.43769413498738,,,,,,58.413,,,,,,0.023
-51.95999999999913,80.13889117271225,,75.53360768318693,,,,74.684,,82.232,,,,0.023
-42.94999999999709,,304.875760580023,,,,,,95.375,,,,,0.023
-41.89999999999418,,120.37775869942153,69.2243935467547,,,,,72.098,60.946,,,,0.023
-41.020999999993364,,,,,,379.24236111279396,,,,,,105.503,0.023
-38.98999999999796,,,141.979698552143,,,,,,185.577,,,,0.023
-38.0,67.29282518081627,,,,,,66.367,,,,,,0.023
-36.00999999999476,105.70683875930617,,,,,,58.409,,,,,,0.023
-35.0,105.11831270301973,,,101.19581965053746,,,86.843,,,127.7,,,0.023
-34.0,125.23942464207471,,,,,,88.388,,,,,,0.023
-33.00999999999476,102.76096888490366,,,,,,62.461,,,,,,0.023
-29.909999999996217,60.7294098228183,,,,,,70.436,,,,,,0.023
-26.909999999996217,,,53.285326254715365,,,,,,58.302,,,,0.023
-23.919999999998254,,,67.5442959364261,,,,,,64.792,,,,0.023
-15.0,,92.59795105344712,,,,,,69.093,,,,,0.023
-11.979999999995925,,54.03817168213356,,,,,,60.62,,,,,0.023
-8.989999999997963,131.8071594573665,166.0073412708204,,,,,77.032,70.798,,,,,0.023
-7.989999999997963,79.19832934697742,,127.15549157030311,,,,65.645,,64.405,,,,0.023
-7.0,189.4265600286162,,,,,,72.68,,,,,,0.023
-6.989999999997963,,,,126.78868741234199,,,,,,123.249,,,0.023
-5.989999999997963,81.99193835177189,164.51546075682393,,,,,65.625,66.988,,,,,0.023
-5.0,145.96634046659148,,,,,,70.239,,,,,,0.023
-4.989999999997963,,,87.53579197506347,,,,,,73.731,,,,0.023
-2.032999999995809,,,,,,354.7591649536365,,,,,,98.81,0.023
-1.0,252.0316941812868,,,247.9045213776633,,,56.255,,,82.833,,,0.023
0.0,362.8538502408293,319.60451724686743,,,,,60.755,58.416,,,,,0.023
1.0100000000020373,259.40068832458695,,371.55244147623176,,,,57.768,,73.67,,,,0.023
9.944999999999709,,,,,,2634.9697763576482,,,,,,208.678,0.023
39.0,,24009.290283905968,,19689.146932961587,,,,261.702,,272.58,,,0.023
41.99000000000524,,,23238.262810591306,,,,,,214.321,,,,0.023
42.99000000000524,,26954.106156457154,,22212.04631784513,,,,216.151,,191.737,,,0.023
45.99000000000524,,27392.153105452166,23715.63954151216,,,,,199.284,218.998,,,,0.023
151.25400000000081,,,,,,1332.3594602102162,,,,,,250.715,0.023
154.29100000000471,,,,,,1430.1559446340566,,,,,,229.203,0.023
157.25700000000506,,,,,,1057.9535976865875,,,,,,144.096,0.023
162.23600000000442,,,,,,1306.723120980955,,,,,,214.186,0.023
164.37000000000262,,780.9102318772846,,1081.2896313737112,,,,185.396,,144.744,,,0.023
165.37000000000262,,938.4868117155063,742.6687237834873,,,,,133.596,89.209,,,,0.023
166.2410000000018,,,,,,1276.4309395624562,,,,,,180.44,0.023
166.38000000000466,,878.1633146973351,,886.3699327755081,,,,134.586,,206.544,,,0.023
167.37000000000262,,1272.9277797639863,1042.6921025002832,,,,,89.935,87.373,,,,0.023
171.26600000000326,,,,,,1266.8704532082552,,,,,,133.704,0.023
173.237000000001,,,,,,1493.405733854484,,,,,,154.81,0.023
173.31000000000495,1001.2253638339059,,603.7379756034958,,,,104.323,,96.107,,,,0.023
176.19200000000274,,,,,,1429.7968043908347,,,,,,169.23,0.023
176.36000000000058,655.1277683002261,1037.7871389210056,,,,,90.667,98.052,,,,,0.023
178.25600000000122,,,,,,1311.4406227902637,,,,,,249.906,0.023
178.37000000000262,718.4996061225542,,,1105.4983476667287,,,99.929,,,140.559,,,0.023
181.2320000000036,,,,,,1156.1167945876937,,,,,,163.644,0.023
183.37000000000262,575.1163011176823,842.3613498359712,,,,,75.839,64.783,,,,,0.023
184.37000000000262,759.7450239571598,,865.8019742346394,,,,50.107,,73.089,,,,0.023
185.38000000000466,,903.5495674068409,633.3686933717755,,,,,84.035,89.068,,,,0.023
186.38000000000466,,805.4402106328973,,,,,,64.007,,,,,0.023
187.36000000000058,,714.1145285245073,662.8640872928788,,,,,84.912,91.07,,,,0.023
190.36000000000058,,893.2943406322847,,866.2032277813505,,,,97.34,,96.239,,,0.023
191.38000000000466,,930.5807952336905,731.3608549228927,,,,,145.201,147.504,,,,0.023
192.36000000000058,,1100.1304288785082,,704.3627881478704,,,,211.276,,158.742,,,0.023
194.37000000000262,,703.6755882259345,,1009.1547994962574,,,,221.808,,271.171,,,0.023
199.17700000000332,,,,,,623.293300850132,,,,,,145.322,0.023
