relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-221.17599999999948,,,58.15182702945668,,,,,,68.823,,,,0.068
-198.25600000000122,,,110.51718413724858,,,,,,63.963,,,,0.068
-195.1860000000015,50.88048027287965,,,,,,47.035,,,,,,0.068
-3.026000000005297,,,,,,1980.4417236706631,,,,,,395.216,0.068
-0.03600000000005821,,,,,,1160.416974599287,,,,,,253.545,0.068
0.0,,,,,2011.7289628605506,,,,,,267.482,,0.068
0.9589999999952852,,,,,,1336.921319392477,,,,,,222.93,0.068
1.0089999999981956,,,,,2106.4166898778135,,,,,,198.603,,0.068
5.945999999996275,,,,,1546.1253231953049,,,,,,221.457,,0.068
5.987999999997555,,,,,,1433.0075325653038,,,,,,187.256,0.068
7.9629999999961,,,,,1730.7112900648544,,,,,,138.508,,0.068
8.00499999999738,,,,,,1473.5124248750067,,,,,,133.637,0.068
9.006999999997788,,,,,2043.2942769475885,,,,,,100.966,,0.068
9.144000000000233,1946.848246768908,1287.420784960177,,,,,84.371,61.799,,,,,0.068
9.958999999995285,,,,,1939.4981917123935,,,,,,112.98,,0.068
10.007999999994354,,,,,,1444.9642215310246,,,,,,107.852,0.068
12.98700000000099,,,,,1733.9058463165243,,,,,,117.888,,0.068
13.021999999997206,,,,,,1470.9868613268557,,,,,,138.412,0.068
13.123999999996158,,,944.0987683438523,,,,,,66.078,,,,0.068
13.133999999998196,1897.0119577983403,,,,,,75.46,,,,,,0.068
13.968000000000757,,,,,,1316.969115058035,,,,,,122.704,0.068
14.006000000001222,,,,,1718.3719938010563,,,,,,123.093,,0.068
14.97599999999511,,,,,1543.3556124113443,,,,,,151.209,,0.068
15.011999999995169,,,,,,1340.7929250514553,,,,,,136.66,0.068
16.002000000000407,,,,,,1351.5965845051833,,,,,,146.689,0.068
16.013999999995576,,,,,1677.0763101759594,,,,,,136.162,,0.068
16.97599999999511,,,,,1453.7789406755005,,,,,,102.279,,0.068
17.968999999997322,,,,,1704.4612387492396,,,,,,103.74,,0.068
18.008999999998196,,,,,,1076.688613832896,,,,,,89.286,0.068
18.972999999998137,,,,,,1159.4090199164834,,,,,,108.114,0.068
19.004000000000815,,,,,1713.462798797112,,,,,,98.121,,0.068
19.971999999994296,,,,,,953.907370568951,,,,,,125.09,0.068
20.00499999999738,,,,,1627.9303742483569,,,,,,102.506,,0.068
21.019000000000233,,,,,1403.5591550159807,,,,,,113.566,,0.068
21.995999999999185,,,,,,890.6118533537078,,,,,,142.86,0.068
22.007999999994354,,,,,1589.1415136039975,,,,,,110.92,,0.068
22.95499999999447,,,,,1320.8023092825083,,,,,,113.872,,0.068
23.10399999999936,,976.6854631766039,,,,,,58.25,,,,,0.068
23.11399999999412,,,,134.81697845071736,,,,,,97.419,,,0.068
23.5199999999968,,,,,,1055.685563127021,,,,,,102.38,0.068
23.956999999994878,,,,,1288.417818022926,,,,,,121.56,,0.068
24.95799999999872,,,,,1422.0058982796654,,,,,,189.357,,0.068
