relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-103.65799999999581,,,100.63704388761481,,,,,,100.141,,,,0.025
-76.70799999999872,,329.52694981649466,,,,,,169.555,,,,,0.025
-76.69799999999668,,,,198.66169697520672,,,,,,197.114,,,0.025
-65.79799999999523,57.85781823865903,,,,,,60.368,,,,,,0.025
-61.79799999999523,,53.987456355445325,,,,,,42.775,,,,,0.025
-48.807999999997264,,120.37806722845463,,,,,,63.543,,,,,0.025
-46.82799999999406,,183.91293982218903,,,,,,105.001,,,,,0.025
-23.90799999999581,92.05048211939523,,,92.47328919371712,,,45.291,,,77.669,,,0.025
-5.917999999997846,137.18701613294456,,,,,,77.961,,,,,,0.025
-1.9279999999998836,,,104.74437987713226,,,,,,67.25,,,,0.025
-1.0719999999928405,,,,,251.04975713599183,,,,,,47.824,,0.025
0.0,,,,,357.50522278039824,,,,,,53.574,,0.025
1.0310000000026776,,,,,,302.758315482108,,,,,,66.895,0.025
1.0530000000071595,,,,,311.17416992903077,,,,,,58.364,,0.025
2.055000000000291,,,,,432.588616628211,,,,,,74.218,,0.025
2.172000000005937,244.71132833781334,312.401006733057,,,,,79.526,48.638,,,,,0.025
2.923000000002503,,,,,,454.01385305570966,,,,,,99.309,0.025
2.9530000000013388,,,,,418.42828225056735,,,,,,99.1,,0.025
4.019000000000233,,,,,,628.7245475111207,,,,,,154.28,0.025
4.106000000007043,,,,,490.66603328996,,,,,,62.0,,0.025
4.956000000005588,,,,,579.0899024431433,,,,,,88.282,,0.025
5.005000000004657,,,,,,455.83166855771753,,,,,,86.462,0.025
5.997000000003027,,,,,,448.4885216946036,,,,,,84.608,0.025
6.022000000004482,407.1626279600374,,,235.79426013684932,,,58.814,,,90.221,,,0.025
6.084000000002561,,,,,463.94053664941885,,,,,,80.159,,0.025
6.947000000000116,,,,,,574.5179209566387,,,,,,156.91,0.025
6.967000000004191,,,,,518.2941173438315,,,,,,133.27,,0.025
7.032000000006519,455.7365829887805,,408.64128105067675,,,,54.925,,42.192,,,,0.025
8.081000000005588,,,,,496.87702258780143,,,,,,143.272,,0.025
8.965000000003783,,,,,,518.3181234203266,,,,,,136.132,0.025
9.012000000002445,,346.80989485585087,,,,,,97.41,,,,,0.025
11.11200000000099,,351.5231360054862,370.0749421053602,,,,,85.715,68.044,,,,0.025
12.088000000003376,,,,,,652.9192470687019,,,,,,183.267,0.025
13.96200000000681,,,,,459.2960827328807,,,,,,123.502,,0.025
14.001000000003842,,,,,,458.2398112029778,,,,,,134.59,0.025
15.11200000000099,,463.7763520151569,,318.8312248143245,,,,71.106,,86.835,,,0.025
15.968000000000757,,,,,302.64042336304163,,,,,,83.534,,0.025
16.958000000005995,,,,,,387.7512649723329,,,,,,66.252,0.025
17.97400000000198,,,,,245.03604311297937,,,,,,50.569,,0.025
18.007000000005064,,,,,,365.9941155007274,,,,,,72.677,0.025
18.984000000004016,,,,,,266.58280674412714,,,,,,72.597,0.025
19.957000000002154,,,,,,374.21839642083626,,,,,,66.146,0.025
20.03200000000652,186.22733852902417,,,400.3663679635484,,,75.673,,,118.737,,,0.025
20.047000000005937,,,,,242.93177351480358,,,,,,68.973,,0.025
20.94600000000355,,,,,194.1050823748738,,,,,,55.757,,0.025
20.997000000003027,,,,,,307.5931165686346,,,,,,69.355,0.025
21.949000000000524,,,,,,307.4645951610631,,,,,,65.571,0.025
22.942000000002736,,,,,,310.1417614306469,,,,,,66.922,0.025
23.012000000002445,304.01390702213723,,310.6282524239134,,,,82.521,,82.696,,,,0.025
23.92500000000291,,,,,,230.0043071518966,,,,,,68.945,0.025
23.960000000006403,,,,,177.71108278868266,,,,,,52.694,,0.025
24.947000000000116,,,,,,304.14808934703433,,,,,,66.738,0.025
24.97500000000582,,,,,232.596033981425,,,,,,52.903,,0.025
25.926000000006752,,,,,,325.2190652019442,,,,,,72.304,0.025
26.993000000002212,,,,,,307.565887456861,,,,,,87.888,0.025
28.122000000003027,228.0297263523144,,299.3362122289277,,,,58.872,,73.572,,,,0.025
29.977000000006228,,,,,,249.05488291320273,,,,,,58.049,0.025
32.012000000002445,156.57441853173162,266.16074824297004,,,,,54.0,57.737,,,,,0.025
34.90900000000693,,,,,,328.4386353780588,,,,,,83.118,0.025
39.06600000000617,,,,,,551.0823690353063,,,,,,154.195,0.025
39.958000000005995,,,,,,408.7318401761543,,,,,,120.135,0.025
43.03200000000652,,159.77707157179424,,,,,,71.052,,,,,0.025
43.04200000000128,,,525.6052988742422,,,,,,102.212,,,,0.025
43.957000000002154,,,,,,406.07863552493126,,,,,,119.996,0.025
44.88900000000285,,,,,,378.6894165740671,,,,,,100.876,0.025
47.082000000002154,,225.71895388160394,,133.0048750285349,,,,46.681,,78.43,,,0.025
49.11200000000099,,,170.39803559360269,,,,,,77.107,,,,0.025
51.00200000000041,,,,112.4658354650486,,,,,,110.033,,,0.025
53.00200000000041,,,247.20688994487907,,,,,,52.546,,,,0.025
55.00200000000041,74.11871120047674,,,,,,43.432,,,,,,0.025
55.012000000002445,,165.19045657890413,,,,,,55.03,,,,,0.025
57.00200000000041,42.64706718091379,,212.67789932089647,,,,38.731,,49.715,,,,0.025
71.99200000000565,,,256.1454642231855,,,,,,235.064,,,,0.025
76.04200000000128,,110.78927885313296,267.12412679943895,,,,,100.342,119.636,,,,0.025
