relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-27.0,40.293848318613215,,,,,,48.685,,,,,,0.036
-5.970000000001164,71.25181227813887,,175.16681008685697,,,,55.918,,72.814,,,,0.036
-4.970000000001164,96.2662982753075,287.4691269201197,,,,,48.971,94.527,,,,,0.036
0.0,357.6688047403995,,,207.3472217853693,,,59.742,,,92.988,,,0.036
1.0099999999947613,,,262.1672166772514,,,,,,42.052,,,,0.036
1.0199999999967986,367.6418930935538,,,,,,45.62,,,,,,0.036
2.970000000001164,,434.9800045585805,406.18433955569736,,,,,50.174,57.772,,,,0.036
5.0,,378.9444450562201,,261.54758947660815,,,,67.109,,96.485,,,0.036
9.069999999999709,,646.0366089770747,,300.3334436320518,,,,97.447,,118.633,,,0.036
14.040000000000873,,532.9039629941384,,,,,,73.742,,,,,0.036
14.049999999995634,,,363.6366332764617,,,,,,64.993,,,,0.036
21.970000000001164,205.52704685085743,,169.99595988058604,,,,102.158,,72.196,,,,0.036
23.040000000000873,60.22310810472534,,,,,,52.304,,,,,,0.036
23.049999999995634,,293.5127538494273,,,,,,48.469,,,,,0.036
26.0199999999968,,,228.2670545753482,,,,,,55.064,,,,0.036
31.93000000000029,,182.10576967210304,175.70987713899828,,,,,50.976,58.874,,,,0.036
35.05999999999767,,,,217.09465020980429,,,,,,127.77,,,0.036
35.06999999999971,,210.426220705277,,,,,,68.86,,,,,0.036
40.88999999999942,,94.60219555295707,80.99259422141161,,,,,110.445,95.415,,,,0.036
43.86000000000058,120.3571204297493,,117.74226109102094,,,,50.695,,67.077,,,,0.036
47.83999999999651,,111.7640927402522,,,,,,37.452,,,,,0.036
49.86000000000058,39.20214306860152,,70.0865300095856,,,,41.15,,55.962,,,,0.036
52.849999999998545,,188.0601194606786,,,,,,39.706,,,,,0.036
62.849999999998545,,161.77562273444127,,,,,,72.459,,,,,0.036
62.86000000000058,,,52.56250162313563,,,,,,48.075,,,,0.036
85.72999999999593,192.26643700619067,,,,,,104.461,,,,,,0.036
89.72999999999593,145.54077562888259,,,,,,101.094,,,,,,0.036
95.70999999999913,,174.18405655056782,,,,,,106.995,,,,,0.036
99.72999999999593,,,,188.16025589470974,,,,,,235.876,,,0.036
109.72999999999593,,111.30137585231206,,,,,,38.566,,,,,0.036
129.8399999999965,,,116.51663329295302,,,,,,60.768,,,,0.036
138.70999999999913,,200.2344729687884,,,,,,119.646,,,,,0.036
