relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-161.61999999999534,57.055826191855004,,,,,,70.992,,,,,,0.013
-64.79999999999563,119.34089076013765,,,,,,87.107,,,,,,0.013
-45.98999999999796,,,,220.80250268511043,,,,,,98.205,,,0.013
-24.94999999999709,,102.3198806988385,122.54676827776542,,,,,128.94,157.26,,,,0.013
-20.919999999998254,,92.53913705877962,,,,,,57.495,,,,,0.013
-15.860000000000582,,,119.13013188944728,,,,,,73.297,,,,0.013
-12.989999999997963,,69.3324279792303,,,,,,50.443,,,,,0.013
-2.0,317.11095769687,,,88.07055767933943,,,72.388,,,98.371,,,0.013
0.0,,353.07298683450114,,,,,,54.407,,,,,0.013
0.010000000002037268,,,380.12023415589545,,,,,,69.244,,,,0.013
0.9380000000019209,,,,,,425.2642455482443,,,,,,121.12,0.013
3.0,,415.73677284006135,,248.75137469661118,,,,62.963,,96.98,,,0.013
4.038000000000466,,,,,,623.6337755791458,,,,,,152.118,0.013
5.9210000000020955,,,,,586.6054166236516,,,,,,124.375,,0.013
5.984000000004016,,,,,,444.8490445258514,,,,,,126.62,0.013
6.916000000004715,,,,,,641.7476760747687,,,,,,157.391,0.013
6.989999999997963,,329.6920083110752,428.99961635440013,,,,,48.219,47.143,,,,0.013
7.916000000004715,,,,,,512.1842053109307,,,,,,71.956,0.013
8.919999999998254,,,,,426.7555050360118,,,,,,60.195,,0.013
8.944999999999709,,,,,,584.3439549335063,,,,,,73.371,0.013
9.947000000000116,,,,,374.69540205100543,,,,,,61.905,,0.013
9.989999999997963,,296.7189921134449,,214.5872306335965,,,,57.185,,115.164,,,0.013
10.953999999997905,,,,,,549.904858492847,,,,,,77.021,0.013
11.921000000002095,,,,,361.90180006574155,,,,,,67.007,,0.013
11.953999999997905,,,,,,791.6726889378301,,,,,,83.366,0.013
12.915000000000873,,,,,315.2930005701041,,,,,,66.667,,0.013
12.961000000002969,,,,,,546.6588458513678,,,,,,77.311,0.013
13.938999999998487,,,,,,347.4435753286929,,,,,,84.787,0.013
14.916000000004715,,,,,,288.2992387130142,,,,,,76.488,0.013
15.91700000000128,,,,,,350.89135300714645,,,,,,79.938,0.013
15.93300000000454,,,,,247.9647110765718,,,,,,69.328,,0.013
16.938999999998487,,,,,,419.8855869200928,,,,,,79.237,0.013
17.927000000003318,,,,,,317.6544834707386,,,,,,80.37,0.013
17.98700000000099,,,,,276.59152970317297,,,,,,77.289,,0.013
20.91700000000128,,,,,,291.5347972074999,,,,,,82.577,0.013
28.010000000002037,,,261.63455763310697,,,,,,110.298,,,,0.013
31.0,,130.18030575599306,174.78447899808103,,,,,91.561,79.098,,,,0.013
34.020000000004075,,,,265.1350557981695,,,,,,125.891,,,0.013
35.98999999999796,,188.66678100922027,175.64989049045144,,,,,81.474,77.751,,,,0.013
40.0,,,159.48326729255328,,,,,,113.096,,,,0.013
40.01000000000204,,116.3068081351863,,,,,,84.106,,,,,0.013
41.98999999999796,158.35600121114766,,,,,,64.445,,,,,,0.013
43.98999999999796,,,212.7459689293643,,,,,,61.096,,,,0.013
44.0,66.49289389095628,,,,,,47.03,,,,,,0.013
50.970000000001164,,263.51396038402623,,,,,,82.977,,,,,0.013
62.970000000001164,,,,161.75996335217832,,,,,,117.029,,,0.013
64.97000000000116,,136.8695713324888,,,,,,67.831,,,,,0.013
66.95999999999913,,52.946975534260794,,132.41634560593985,,,,53.092,,114.098,,,0.013
69.95999999999913,,59.208301352124536,,,,,,61.415,,,,,0.013
187.36000000000058,,,104.05601397978975,,,,,,80.453,,,,0.013
