relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-86.66300000000047,,,186.5427549137007,,,,,,99.136,,,,0.066
-55.7129999999961,,,136.65334824675557,,,,,,78.131,,,,0.066
-50.72299999999814,,,96.60560380543629,,,,,,92.257,,,,0.066
-47.74300000000221,,,59.60764136494368,,,,,,67.54,,,,0.066
-40.853000000002794,,,121.24061625140767,,,,,,94.16,,,,0.066
-22.853000000002794,,58.92172288752341,,,,,,65.923,,,,,0.066
-20.81300000000192,,,,170.39970506154853,,,,,,75.99,,,0.066
-0.9130000000004657,162.31527396454496,,,,,,134.442,,,,,,0.066
0.0,,,,,621.1407768217681,,,,,,82.652,,0.066
0.03900000000430737,,,,,,537.9141006730036,,,,,,81.439,0.066
2.995999999999185,,,,,,923.874124095623,,,,,,88.488,0.066
3.0169999999998254,,,,,1081.0320735504843,,,,,,72.247,,0.066
6.019000000000233,,,,,1130.4681306079522,,,,,,130.404,,0.066
7.097000000001572,,,,328.63676375420863,,,,,,118.037,,,0.066
7.107000000003609,1224.895750067501,,,,,,100.823,,,,,,0.066
14.097000000001572,,1011.6148205906218,,758.2149502630707,,,,86.539,,129.88,,,0.066
15.010999999998603,,,,,1091.162949285549,,,,,,300.232,,0.066
18.127000000000407,,848.3935725608442,628.5692713315339,,,,,67.255,83.298,,,,0.066
18.978000000002794,,,,,1243.7591920391153,,,,,,150.636,,0.066
22.019000000000233,,,,,,998.7867988274436,,,,,,117.313,0.066
23.076999999997497,,,717.6772138678296,,,,,,59.167,,,,0.066
23.086999999999534,1254.5343261073256,,,,,,40.016,,,,,,0.066
24.997999999999593,,,,,,886.2348589740539,,,,,,95.761,0.066
25.05999999999767,,,,,1044.5945619997387,,,,,,101.862,,0.066
27.10700000000361,1093.3610112431627,738.4072135417094,,,,,60.792,43.39,,,,,0.066
31.086999999999534,,,567.5769975202987,,,,,,59.608,,,,0.066
31.09700000000157,962.3199577940985,,,,,,58.724,,,,,,0.066
34.0769999999975,789.7931259788679,701.2102245089607,,,,,87.314,67.093,,,,,0.066
41.09700000000157,,391.61436024867265,411.9236644979734,,,,,118.408,114.432,,,,0.066
45.086999999999534,,382.4214635623713,,334.9447813199206,,,,83.99,,121.709,,,0.066
48.0769999999975,,513.3787529322551,,470.12034107182336,,,,79.631,,148.734,,,0.066
50.0769999999975,,455.48547513549516,377.2416513031417,,,,,79.42,71.616,,,,0.066
52.086999999999534,381.84943093152253,,,102.92581994720028,,,85.663,,,103.386,,,0.066
56.0769999999975,393.83127472384837,,,,,,173.702,,,,,,0.066
56.086999999999534,,,291.2855989950734,,,,,,112.74,,,,0.066
60.067000000002736,447.1792155792441,397.5746670246881,,,,,58.659,62.335,,,,,0.066
