relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-189.4690000000046,,,,,,868.4561137779268,,,,,,193.469,0.079
-42.9800000000032,32.87326994085979,99.9592961511856,,,,,33.602,44.1,,,,,0.079
-41.03000000000611,51.610565081818024,,,89.3276329614694,,,33.236,,,106.134,,,0.079
-40.01000000000204,,134.26445407800037,,,,,,56.643,,,,,0.079
-14.040000000000873,62.261046233443224,,,119.04702118190035,,,47.653,,,84.678,,,0.079
-11.069999999999709,,,71.61902248793808,,,,,,48.559,,,,0.079
-9.040000000000873,,,,321.7244186548619,,,,,,125.973,,,0.079
0.0,,1168.6217270742527,,,,,,67.206,,,,,0.079
0.00999999999476131,,,1356.1839437513368,,,,,,81.689,,,,0.079
0.7749999999941792,,,,,893.3040723002898,,,,,,90.619,,0.079
0.8399999999965075,,,,,,1537.718328105163,,,,,,94.95,0.079
3.805999999996857,,,,,,1648.623051140944,,,,,,71.096,0.079
3.8909999999959837,,,,,1300.2484326664721,,,,,,71.716,,0.079
4.8770000000004075,,,,,,1984.772907656288,,,,,,72.722,0.079
6.82499999999709,,,,,1424.142065853547,,,,,,62.203,,0.079
6.84599999999773,,,,,,2356.6877068614785,,,,,,70.848,0.079
7.930000000000291,1498.3456240194091,,1770.5850877979537,,,,96.658,,150.786,,,,0.079
9.0,1697.0565204006725,,,,,,61.533,,,,,,0.079
9.009999999994761,,1990.2426722341777,,,,,,58.536,,,,,0.079
9.84599999999773,,,,,,2168.6588091133426,,,,,,81.597,0.079
11.824000000000524,,,,,1212.9430940179334,,,,,,55.287,,0.079
11.969999999993888,1547.5904281901633,,,,,,47.795,,,,,,0.079
12.822000000000116,,,,,,2262.9758290096174,,,,,,67.025,0.079
12.894999999996799,,,,,1274.3647946952524,,,,,,67.143,,0.079
13.822999999996682,,,,,,2507.4492854588543,,,,,,82.564,0.079
15.81699999999546,,,,,,2002.2892811626539,,,,,,77.634,0.079
15.841999999996915,,,,,1019.0500639257685,,,,,,66.991,,0.079
17.788000000000466,,,,,,2080.5949236760066,,,,,,97.724,0.079
18.799999999995634,,,,,781.0689759687082,,,,,,92.403,,0.079
18.861999999993714,,,,,,1873.3874765462651,,,,,,67.184,0.079
19.78299999999581,,,,,,1833.9667947959035,,,,,,117.255,0.079
21.0199999999968,,,,504.2796853279158,,,,,,112.741,,,0.079
21.029999999998836,,1378.7188258000724,,,,,,75.127,,,,,0.079
21.79099999999744,,,,,,1676.8721820324263,,,,,,195.52,0.079
22.84100000000035,,,,,,1477.2119826514083,,,,,,243.045,0.079
24.897999999993772,,,,,,1423.4342404057745,,,,,,228.287,0.079
25.760999999998603,,,,,,1323.0081674897067,,,,,,139.379,0.079
26.81199999999808,,,,,,1131.3340093311754,,,,,,123.361,0.079
26.849999999998545,,1036.6421946371306,1098.768216825253,,,,,103.556,95.754,,,,0.079
27.860000000000582,,,,,,1552.115993369649,,,,,,99.461,0.079
29.81999999999971,371.40883885930936,,1138.5055486819813,,,,67.924,,69.609,,,,0.079
30.765999999995984,,,,,,1222.4550409409376,,,,,,81.585,0.079
33.76199999999517,,,,,,812.232916560605,,,,,,68.551,0.079
33.799999999995634,,791.5747076333547,,,,,,49.781,,,,,0.079
33.80999999999767,361.26093542461905,,,,,,35.729,,,,,,0.079
35.81999999999971,219.49105276022902,,851.899755711748,,,,41.685,,61.676,,,,0.079
