relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-160.73199999999633,,,,,,285.8822492666878,,,,,,78.03,0.056
-115.66999999999825,,109.62543694197508,,,,,,80.931,,,,,0.056
-115.65999999999622,,,161.98921555636556,,,,,,90.567,,,,0.056
-102.75,190.21570959429096,,,,,,138.781,,,,,,0.056
-92.72999999999593,,,,363.8718964644514,,,,,,96.784,,,0.056
-75.68000000000029,,,215.59491241611937,,,,,,79.743,,,,0.056
-71.79999999999563,,,187.83881653308487,,,,,,213.532,,,,0.056
-67.68999999999505,,124.04713320370779,,,,,,56.888,,,,,0.056
-62.859999999993306,,,,306.1489664203574,,,,,,134.01,,,0.056
-57.83999999999651,,,,528.1077231905197,,,,,,255.944,,,0.056
-50.75,,,77.42640794195604,,,,,,70.261,,,,0.056
-48.87999999999738,,,,174.523316868847,,,,,,91.948,,,0.056
-34.779999999998836,,,,236.09919497460538,,,,,,116.736,,,0.056
-30.81999999999971,,291.9779985937897,,167.97859797183983,,,,123.934,,158.013,,,0.056
-26.969999999993888,,66.34893407188444,211.35078350090407,,,,,76.695,89.677,,,,0.056
-20.80999999999767,,,,210.6969579221351,,,,,,181.953,,,0.056
-7.9799999999959255,87.28574149922672,,443.8626680701108,,,,99.276,,95.892,,,,0.056
-3.8799999999973807,,291.68693942902974,,,,,,65.525,,,,,0.056
-3.8699999999953434,,,,426.64567740182906,,,,,,180.8,,,0.056
-1.9069999999992433,,,,,775.2936488074023,,,,,,182.078,,0.056
0.0,,632.5697261534249,,,,,,100.509,,,,,0.056
0.010000000002037268,,,,534.2776248805188,,,,,,120.016,,,0.056
3.110000000000582,,526.19045495489,,,,,,84.395,,,,,0.056
3.1200000000026193,,,673.5010270604527,,,,,,84.787,,,,0.056
3.9430000000065775,,,,,,644.3923281201422,,,,,,70.606,0.056
3.9620000000068103,,,,,754.9784944805314,,,,,,80.11,,0.056
6.0900000000037835,,603.1156800882081,,563.3394604844101,,,,71.374,,123.084,,,0.056
