relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-245.24899999999616,,,,,,721.012555093434,,,,,,158.345,0.078
-72.8949999999968,,,,,,423.5723259551948,,,,,,83.142,0.078
-47.91900000000169,,,,,260.68976141013945,,,,,,67.375,,0.078
-41.9519999999975,,,,,439.7033234837488,,,,,,74.077,,0.078
-33.80599999999686,,,,264.5177980992287,,,,,,227.738,,,0.078
-17.815999999998894,,,598.4375405043986,,,,,,147.107,,,,0.078
-16.815999999998894,,454.0247028674473,,,,,,129.901,,,,,0.078
-8.875999999996566,,,611.4734557730054,,,,,,127.645,,,,0.078
-2.775999999998021,,399.08992001252284,,,,,,114.087,,,,,0.078
0.0,,,,,1477.3461167259993,,,,,,183.616,,0.078
2.194000000003143,,2001.1796879354708,,,,,,165.456,,,,,0.078
2.2039999999979045,,,2606.004012074951,,,,,,180.418,,,,0.078
2.9689999999973224,,,,,3312.257957664753,,,,,,105.741,,0.078
3.0339999999996508,,,,,,2764.237390427922,,,,,,94.116,0.078
6.0,,,,,,5623.415206140901,,,,,,82.604,0.078
6.084999999999127,,,,,3867.894022494366,,,,,,75.827,,0.078
7.072000000000116,,,,,,5964.716969288067,,,,,,89.674,0.078
7.173999999999069,,3598.758484457043,,,,,,248.397,,,,,0.078
9.016999999999825,,,,,,7420.10378484428,,,,,,91.34,0.078
9.019000000000233,,,,,5055.441328819762,,,,,,86.061,,0.078
10.124000000003434,,,5955.636121685702,,,,,,221.921,,,,0.078
11.194000000003143,3607.502205143407,,,,,,91.655,,,,,,0.078
11.203999999997905,,4580.822927881574,,,,,,171.364,,,,,0.078
12.033000000003085,,,,,,7840.441418936908,,,,,,97.606,0.078
13.040000000000873,,,,,,8031.78558249247,,,,,,95.518,0.078
14.018000000003667,,,,,2979.051506554602,,,,,,66.594,,0.078
14.163999999997031,3012.819141692617,,,,,,147.668,,,,,,0.078
15.019999999996799,,,,,,6869.732321094821,,,,,,90.803,0.078
15.088999999999942,,,,,2194.6776257765196,,,,,,68.045,,0.078
16.014999999999418,,,,,,6427.087322498799,,,,,,89.806,0.078
18.010999999998603,,,,,,5697.095168808673,,,,,,93.841,0.078
18.036000000000058,,,,,1534.7327335750272,,,,,,69.595,,0.078
19.970000000001164,,,,,,4148.912640933585,,,,,,114.509,0.078
20.08400000000256,,1781.8649629402628,3691.2631505553545,,,,,124.49,156.697,,,,0.078
20.99199999999837,,,,,1219.1507987115588,,,,,,97.323,,0.078
21.055999999996857,,,,,,4311.096279259976,,,,,,78.751,0.078
21.976000000002387,,,,,,4404.500291178511,,,,,,118.268,0.078
23.040000000000873,,,,,829.7640993310322,,,,,,187.034,,0.078
23.213999999999942,,,,2376.8323521931006,,,,,,186.011,,,0.078
23.22400000000198,,1977.3227568273935,,,,,,140.073,,,,,0.078
23.968000000000757,,,,,,3587.355513515708,,,,,,193.783,0.078
24.07600000000093,,,,,1246.0297480187774,,,,,,227.623,,0.078
27.006000000001222,,,,,1163.2348941536366,,,,,,234.108,,0.078
27.955000000001746,,,,,,2541.745937714685,,,,,,125.933,0.078
27.99500000000262,,,,,761.0383387800722,,,,,,165.238,,0.078
29.006000000001222,,,,,,2669.1011605506988,,,,,,107.919,0.078
29.044000000001688,,1630.2641026297304,2179.7432179670086,,,,,174.875,154.154,,,,0.078
29.084999999999127,,,,,877.3651925699579,,,,,,171.239,,0.078
30.054000000003725,,,,,,1918.9463553233616,,,,,,105.842,0.078
32.01400000000285,,,2534.7367309044475,,,,,,162.068,,,,0.078
32.95999999999913,,,,,,2319.0900091440303,,,,,,84.95,0.078
33.0,,,,,519.3933402898886,,,,,,87.956,,0.078
33.97400000000198,,,,2217.955110368842,,,,,,246.983,,,0.078
33.991000000001804,,,,,521.0370775564185,,,,,,79.927,,0.078
35.95599999999831,,,,,,1151.5463869820715,,,,,,71.463,0.078
35.99399999999878,,394.42866305006675,,,,,,120.736,,,,,0.078
35.99799999999959,,,,,244.2115356256426,,,,,,66.287,,0.078
36.93899999999849,,,,,313.4888132857673,,,,,,64.623,,0.078
37.949000000000524,,,,,,1694.3545720181676,,,,,,193.117,0.078
38.012000000002445,,,,,434.6423429525908,,,,,,69.433,,0.078
38.01400000000285,,,1463.690257712943,,,,,,119.27,,,,0.078
38.9429999999993,,,,,,1027.1556456714375,,,,,,77.056,0.078
39.00600000000122,,,,,282.2986583408957,,,,,,71.816,,0.078
39.95300000000134,,,,,,717.037721872483,,,,,,72.905,0.078
39.96500000000378,,,,,303.70929748731174,,,,,,70.45,,0.078
40.96600000000035,,,,,,1088.9254676797823,,,,,,97.875,0.078
41.004000000000815,,1152.9198898206278,,,,,,124.056,,,,,0.078
41.94799999999668,,,,,495.4173655703428,,,,,,75.591,,0.078
42.0109999999986,,,,,,928.2743266280703,,,,,,89.325,0.078
42.93699999999808,,,,,313.77598668247833,,,,,,79.857,,0.078
45.961999999999534,,,,,,859.6252366149921,,,,,,68.255,0.078
45.96399999999994,,,,,370.644730167563,,,,,,68.418,,0.078
46.95999999999913,,,,,,907.4041678311679,,,,,,80.331,0.078
47.932999999997264,,,,,,487.7126888926851,,,,,,94.103,0.078
