relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-282.3159999999989,,,,,,348.98009901485807,,,,,,94.065,0.036
-280.31700000000274,,,,,,398.4343922425682,,,,,,112.18,0.036
-5.004999999997381,,,,,,420.6775719891057,,,,,,116.434,0.036
0.0,,,,,,553.5610351095941,,,,,,90.122,0.036
2.0089999999981956,,,,,,614.3636586416667,,,,,,80.625,0.036
3.955999999998312,,,,,,684.0040700490348,,,,,,64.137,0.036
4.000999999996566,,,,,705.0350797611733,,,,,,58.858,,0.036
4.076000000000931,701.0202560211933,835.7146044271159,,,,,164.984,290.269,,,,,0.036
5.0020000000004075,,,,,856.3439980376578,,,,,,54.394,,0.036
5.963999999999942,,,,,,890.7630713322316,,,,,,58.471,0.036
6.006999999997788,,,,,1063.7839600616664,,,,,,66.526,,0.036
6.957999999998719,,,,,,941.448887400146,,,,,,58.977,0.036
6.99199999999837,,,,,1019.03694940616,,,,,,60.192,,0.036
7.116000000001804,1015.1133299248659,918.0259506907641,,,,,106.269,110.752,,,,,0.036
7.972000000001572,,,,,819.3434414901819,,,,,,60.543,,0.036
7.997000000003027,,,,,,1037.6727766814201,,,,,,65.602,0.036
8.086000000002969,1082.7280043607655,,1033.7643382211197,,,,59.748,,79.732,,,,0.036
8.963000000003376,,,,,,1079.5886573721218,,,,,,62.29,0.036
8.987999999997555,,,,,1057.4742516923743,,,,,,64.011,,0.036
9.957000000002154,,,,,,1287.1437946328242,,,,,,61.351,0.036
9.997999999999593,,,,,1069.2947507247209,,,,,,61.374,,0.036
10.95799999999872,,,,,1062.3559218728599,,,,,,55.941,,0.036
10.993999999998778,,,,,,1128.7240438588424,,,,,,57.77,0.036
11.934000000001106,,,,,,1142.1124726055637,,,,,,61.645,0.036
12.010999999998603,,,,,1318.338297878875,,,,,,96.622,,0.036
12.95799999999872,,,,,1022.8976593571483,,,,,,65.691,,0.036
12.980999999999767,,,,,,1200.6827489507093,,,,,,65.531,0.036
13.076000000000931,1132.391570878859,,898.8856495416477,,,,64.177,,64.22,,,,0.036
13.963000000003376,,,,,974.6828669413238,,,,,,59.665,,0.036
14.014999999999418,,,,,,1175.7107679062717,,,,,,85.67,0.036
14.938999999998487,,,,,1059.8666510361218,,,,,,66.066,,0.036
14.98700000000099,,,,,,1401.4074014044013,,,,,,64.624,0.036
16.955999999998312,,,,,935.1081409452753,,,,,,55.754,,0.036
16.978000000002794,,,,,,1105.7593658826904,,,,,,60.925,0.036
17.961999999999534,,,,,,1158.5067670173564,,,,,,61.743,0.036
17.999000000003434,,,,,874.5536618324237,,,,,,50.64,,0.036
18.02599999999802,,,825.7462308291422,,,,,,80.474,,,,0.036
18.036000000000058,,894.4502530638093,,,,,,66.541,,,,,0.036
18.93000000000029,,,,,,1171.699554394605,,,,,,83.753,0.036
19.0,,,,,829.8512773703176,,,,,,57.104,,0.036
19.997000000003027,,,,,,1117.1925118096563,,,,,,73.125,0.036
22.046000000002095,,1296.9159584660501,278.22389918556274,,,,,154.558,161.573,,,,0.036
24.97099999999773,,,,,,880.5343072462366,,,,,,107.995,0.036
25.919000000001688,,,,,,663.0885375149858,,,,,,106.095,0.036
26.955999999998312,,,,,,693.0714255428443,,,,,,107.1,0.036
28.90299999999843,,,,,,705.2305931992971,,,,,,91.131,0.036
28.97400000000198,,,,,299.61482027025784,,,,,,85.702,,0.036
30.01299999999901,,,,,,598.0485254776371,,,,,,84.799,0.036
30.156000000002678,211.80886321714368,,,338.2712841244382,,,77.441,,,126.156,,,0.036
30.919000000001688,,,,,264.9478871044901,,,,,,72.366,,0.036
31.02100000000064,,,,,,463.11365516510944,,,,,,73.699,0.036
32.02599999999802,157.97583976796196,,,,,,54.407,,,,,,0.036
32.03600000000006,,,630.1803314915577,,,,,,60.005,,,,0.036
32.853000000002794,,,,,,645.2817802681009,,,,,,63.068,0.036
32.90600000000268,,,,,216.45009931588376,,,,,,60.262,,0.036
33.900000000001455,,,,,,257.0738903615914,,,,,,68.917,0.036
34.99700000000303,,,,,,487.16849661045995,,,,,,70.693,0.036
35.88500000000204,,,,,,661.141170820007,,,,,,71.915,0.036
35.995999999999185,,277.0106365070539,,,,,,55.399,,,,,0.036
36.00600000000122,219.89740666041212,,,,,,54.43,,,,,,0.036
36.94600000000355,,,,,,358.790439362675,,,,,,68.465,0.036
37.891999999999825,,,,,,489.9052140331363,,,,,,70.787,0.036
37.98099999999977,,,,,329.07137324561637,,,,,,80.549,,0.036
38.94499999999971,,,,,,335.2309211533296,,,,,,74.824,0.036
39.96600000000035,189.34093760688248,105.05633098354818,,,,,60.206,63.013,,,,,0.036
40.00200000000041,,,,,,508.9005208714397,,,,,,84.858,0.036
41.1359999999986,,,292.5172110304505,,,,,,85.878,,,,0.036
41.84100000000035,,,,,,299.74180290604505,,,,,,77.148,0.036
42.86699999999837,,,,,,328.1753922276777,,,,,,64.775,0.036
43.89300000000367,,,,,,411.5050451232678,,,,,,66.089,0.036
44.90600000000268,,,,,,323.8192618507565,,,,,,66.205,0.036
45.932999999997264,,,,,,373.0552962096334,,,,,,75.552,0.036
46.97200000000157,,,,,,542.6774944170995,,,,,,70.715,0.036
47.95599999999831,,,,,198.9348626281747,,,,,,60.57,,0.036
47.97699999999895,,,,,,308.81028927482254,,,,,,66.492,0.036
48.983000000000175,,,,,226.85344459683847,,,,,,62.045,,0.036
49.0,,,,,,321.20807154953354,,,,,,62.246,0.036
50.94600000000355,,,500.33512899928564,,,,,,120.991,,,,0.036
57.95599999999831,,149.5119920855995,,988.1135064444154,,,,120.091,,310.175,,,0.036
60.925999999999476,50.36843819294628,,,186.7153751181252,,,61.156,,,103.261,,,0.036
