relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-120.72500000000582,112.96962374242916,,,,,,70.03,,,,,,0.06
-110.70500000000175,,,,165.3221649538829,,,,,,120.481,,,0.06
-93.66500000000087,162.93232804611918,,,,,,44.638,,,,,,0.06
-91.76499999999942,,130.17809630786388,,,,,,44.335,,,,,0.06
-83.69499999999971,52.9784535264817,,,,,,46.371,,,,,,0.06
-70.8550000000032,,56.254801978637715,,,,,,39.485,,,,,0.06
-68.72500000000582,57.653597986125554,,,,,,64.111,,,,,,0.06
-66.8550000000032,46.31887764957134,,,,,,43.765,,,,,,0.06
-52.75500000000466,132.5402232368505,,,,,,51.542,,,,,,0.06
-48.79500000000553,,151.13969881483567,,,,,,86.383,,,,,0.06
-35.80500000000029,,62.62209614384913,,,,,,44.299,,,,,0.06
-28.80500000000029,34.44772542128069,,,,,,38.786,,,,,,0.06
-25.955000000001746,131.6934184510342,,,,,,86.449,,,,,,0.06
-23.955000000001746,73.64268979334977,,,,,,45.041,,,,,,0.06
-21.8550000000032,,49.09130798205439,,,,,,48.315,,,,,0.06
-17.97500000000582,,295.6793504023223,,,,,,91.524,,,,,0.06
-14.855000000003201,,,118.05573770833647,,,,,,65.375,,,,0.06
-3.8950000000040745,130.9651418964216,,,,,,47.337,,,,,,0.06
-2.050999999999476,,,,,348.6515487553515,,,,,,66.41,,0.06
-0.9470000000001164,,,,,371.35867216854996,,,,,,104.864,,0.06
0.0,,,,,,421.99023279178505,,,,,,67.39,0.06
0.06599999999889405,,,,,417.5940885523425,,,,,,80.672,,0.06
0.15499999999883585,405.8394417010284,,251.93107751534365,,,,123.613,,64.378,,,,0.06
1.0009999999965657,,,,,462.77914499736255,,,,,,57.631,,0.06
1.9499999999970896,,,,,,770.9744294343941,,,,,,75.086,0.06
1.9989999999961583,,,,,630.1146127430435,,,,,,70.821,,0.06
3.084999999999127,943.6900063903381,706.1025037098652,,,,,82.174,72.472,,,,,0.06
