relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-108.69900000000052,,,,203.92008720380176,,,,,,163.13,,,0.019
-92.8289999999979,,89.93773447208872,,,,,,45.65,,,,,0.019
-90.80899999999383,67.17423462054525,,,,,,49.68,,,,,,0.019
-88.79899999999907,66.57327546051182,,,,,,73.726,,,,,,0.019
-85.81899999999587,,,,150.13820952266377,,,,,,104.842,,,0.019
-65.90899999999965,127.0069646087672,,,,,,92.869,,,,,,0.019
-63.828999999997905,,57.730380268352285,,,,,,57.604,,,,,0.019
-53.89899999999761,,143.6947517924643,,,,,,126.871,,,,,0.019
-42.93899999999849,118.83967389661076,,,,,,56.422,,,,,,0.019
-28.019000000000233,,,,221.56885369878782,,,,,,163.87,,,0.019
-25.90899999999965,,,141.7208653068211,,,,,,83.665,,,,0.019
-16.98899999999412,53.563148964043414,,,,,,34.407,,,,,,0.019
-9.968999999997322,,87.9128777552467,,,,,,85.362,,,,,0.019
-8.898999999997613,,,156.3726975219276,,,,,,75.313,,,,0.019
-0.11399999999412103,,,,,,368.8951762035784,,,,,,93.126,0.019
0.0,,,,,622.3870909560941,,,,,,117.774,,0.019
0.09100000000034925,,338.3937198315809,,351.9231583381929,,,,75.899,,112.191,,,0.019
0.9170000000012806,,,,,,739.5638150864266,,,,,,121.835,0.019
1.0060000000012224,,,,,601.0194037893968,,,,,,159.959,,0.019
1.8810000000012224,,,,,1276.190423181797,,,,,,123.726,,0.019
1.9430000000065775,,,,,,1057.7723181684692,,,,,,116.197,0.019
2.944000000003143,,,,,,1398.6420889518665,,,,,,126.165,0.019
3.052000000003318,,,,,1590.5347953340113,,,,,,244.478,,0.019
3.944999999999709,,,,,2463.331561726344,,,,,,172.92,,0.019
3.9940000000060536,,,,,,1846.4584885137303,,,,,,179.95,0.019
4.908000000003085,,,,,2767.025031231232,,,,,,230.106,,0.019
5.0090000000054715,,,,,,2733.711623124639,,,,,,234.506,0.019
5.88300000000163,,,,,,3105.021568307271,,,,,,143.537,0.019
5.919000000001688,,,,,3623.171461644112,,,,,,173.238,,0.019
6.011000000005879,,2687.9816031518394,,,,,,161.605,,,,,0.019
6.02100000000064,,,2420.2968205392103,,,,,,162.35,,,,0.019
6.897000000004482,,,,,4304.113942176482,,,,,,115.1,,0.019
6.951000000000931,,,,,,3415.550401772765,,,,,,135.114,0.019
7.889000000002852,,,,,,3714.994559960127,,,,,,78.376,0.019
7.908999999999651,,,,,4913.946876403941,,,,,,105.88,,0.019
8.905000000006112,,,,,5301.105357582239,,,,,,89.588,,0.019
8.915000000000873,,,,,,3991.93324199317,,,,,,150.21,0.019
9.895000000004075,,,,,5780.958586984294,,,,,,91.561,,0.019
9.929000000003725,,,,,,5007.749616066449,,,,,,100.105,0.019
10.908000000003085,,,,,,5280.690004080704,,,,,,95.082,0.019
10.924000000006345,,,,,6336.980672166741,,,,,,95.347,,0.019
11.906000000002678,,,,,,4772.326180122255,,,,,,131.636,0.019
11.92500000000291,,,,,6481.643668506244,,,,,,96.45,,0.019
12.09100000000035,6457.573622696027,,3269.5934690575723,,,,122.148,,93.042,,,,0.019
12.905000000006112,,,,,,5734.833034343766,,,,,,97.987,0.019
12.927999999999884,,,,,6763.086842907827,,,,,,101.374,,0.019
13.93800000000192,,,,,6838.971256320023,,,,,,104.061,,0.019
13.980999999999767,6996.235480866843,,,2865.4152545745965,,,117.046,,,133.039,,,0.019
14.884000000005472,,,,,,6297.395243624398,,,,,,139.317,0.019
14.905000000006112,,,,,7118.334445904176,,,,,,107.821,,0.019
15.90700000000652,,,,,7219.322989797639,,,,,,111.507,,0.019
15.944000000003143,,,,,,6283.261962525164,,,,,,130.848,0.019
15.980999999999767,7087.670777747674,,3602.107570132308,,,,122.607,,89.13,,,,0.019
16.897000000004482,,,,,7139.242005710556,,,,,,110.148,,0.019
16.91700000000128,,,,,,6119.351114931934,,,,,,109.733,0.019
17.86200000000099,,,,,,6218.734384221433,,,,,,113.039,0.019
17.957000000002154,,,,,7137.1337858051065,,,,,,113.757,,0.019
17.980999999999767,6627.424500187391,,,,,,94.293,,,,,,0.019
17.991000000001804,,6173.027762485496,,,,,,93.328,,,,,0.019
18.89100000000326,,,,,,6114.00725145553,,,,,,108.943,0.019
18.918000000005122,,,,,6952.997090670452,,,,,,102.231,,0.019
19.89600000000064,,,,,6798.751942052359,,,,,,107.422,,0.019
19.906000000002678,,,,,,5792.299840957528,,,,,,112.014,0.019
19.980999999999767,,,3271.6691625165777,,,,,,72.218,,,,0.019
20.895000000004075,,,,,,6163.847741722277,,,,,,131.88,0.019
20.916000000004715,,,,,6057.609116630581,,,,,,329.633,,0.019
21.9120000000039,,,,,,6150.488083031267,,,,,,124.611,0.019
21.925999999999476,,,,,6360.172136870692,,,,,,128.177,,0.019
22.885000000002037,,,,,,5562.722856288738,,,,,,115.701,0.019
22.906000000002678,,,,,6115.729476702558,,,,,,327.183,,0.019
23.02100000000064,5732.080594171627,,,,,,124.585,,,,,,0.019
23.031000000002678,,5398.327623233551,,,,,,122.171,,,,,0.019
23.96100000000297,5381.984589887259,,2950.6850837733855,,,,107.177,,92.753,,,,0.019
24.89100000000326,,,,,5128.866091943768,,,,,,117.674,,0.019
25.95300000000134,,,,,5015.052543625484,,,,,,102.737,,0.019
26.88600000000588,,,,,,5006.38590649719,,,,,,126.521,0.019
26.9120000000039,,,,,5115.442921950535,,,,,,117.712,,0.019
27.866000000001804,,,,,,4427.076105910216,,,,,,128.36,0.019
27.88300000000163,,,,,4625.57355650959,,,,,,137.179,,0.019
28.894000000000233,,,,,,4118.214028584926,,,,,,180.878,0.019
28.973000000005413,,,,,3942.7361878479164,,,,,,290.989,,0.019
29.852000000006228,,,,,,3665.5830299804243,,,,,,189.893,0.019
29.958000000005995,,,,,3117.670314880415,,,,,,322.761,,0.019
30.877000000000407,,,,,,4296.3211141354395,,,,,,162.789,0.019
30.94600000000355,,,,,3782.012655145367,,,,,,194.088,,0.019
33.87700000000041,,,,,2806.308404618252,,,,,,191.972,,0.019
33.91900000000169,,,,,,3175.341177551481,,,,,,197.934,0.019
34.91000000000349,,,,,2261.224801683329,,,,,,249.507,,0.019
35.91500000000087,,,,,2544.1801219099534,,,,,,234.993,,0.019
36.87600000000384,,,,,2465.4805656478215,,,,,,111.988,,0.019
36.90600000000268,,,,,,3156.517076994924,,,,,,127.56,0.019
38.88900000000285,,,,,,2708.6366535096213,,,,,,110.365,0.019
38.90700000000652,,,,,2102.2800795260027,,,,,,126.316,,0.019
39.02100000000064,,2866.787119399049,1799.8184993671946,,,,,109.917,99.006,,,,0.019
39.85000000000582,,,,,,2902.859627655207,,,,,,109.685,0.019
39.875,,,,,1874.9750720416569,,,,,,85.869,,0.019
42.971000000005006,1499.9482456351407,,1729.5963838009031,,,,60.28,,64.801,,,,0.019
46.96100000000297,1169.773398187625,2289.4299759652376,,,,,66.968,73.107,,,,,0.019
50.95100000000093,940.1377395771912,1865.420168332018,,,,,90.55,69.397,,,,,0.019
54.94100000000617,746.9719908434671,,1644.0453547368122,,,,111.283,,115.184,,,,0.019
58.94100000000617,,1141.6813635470814,,,,,,179.889,,,,,0.019
61.94100000000617,,1001.9463780407555,,864.8706524527183,,,,104.88,,146.097,,,0.019
68.87200000000303,,,,,510.418235055079,,,,,,133.897,,0.019
68.94100000000617,,935.4639311367968,,722.2824154520474,,,,84.683,,248.147,,,0.019
71.94100000000617,611.4482415429496,,,787.823978410133,,,78.331,,,135.634,,,0.019
75.80800000000454,,,,,527.4450388747904,,,,,,121.728,,0.019
75.84500000000116,,,,,,717.3304406067247,,,,,,137.213,0.019
76.94100000000617,,508.49737250227946,,,,,,178.025,,,,,0.019
77.80500000000029,,,,,,736.3348752143025,,,,,,141.721,0.019
79.93100000000413,564.5222815999136,,360.78301991109186,,,,79.821,,94.492,,,,0.019
86.81999999999971,,,,,,694.6318256166969,,,,,,210.659,0.019
