relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-115.70700000000215,,108.67894688673982,,,,,,34.275,,,,,0.012
-112.61699999999837,94.6221926313367,,,,,,66.357,,,,,,0.012
-90.8550000000032,,,,,267.2984234688008,,,,,,75.137,,0.012
-74.85700000000361,,,,279.43656898700345,,,,,,148.854,,,0.012
-69.8070000000007,,,,163.0603274673285,,,,,,110.533,,,0.012
-68.8070000000007,,544.604541532569,,,,,,182.243,,,,,0.012
-63.836999999999534,,85.68335328041569,68.24728553781212,,,,,64.257,57.632,,,,0.012
-33.8269999999975,,,130.27059182356365,,,,,,132.516,,,,0.012
-24.897000000004482,,,134.72081357589835,,,,,,60.646,,,,0.012
-15.957000000002154,56.14211235769358,,,,,,61.536,,,,,,0.012
-15.947000000000116,,,48.93405836894882,,,,,,47.153,,,,0.012
-8.967000000004191,,53.28192097939187,,,,,,66.097,,,,,0.012
-6.897000000004482,,,102.92388725093323,,,,,,81.084,,,,0.012
-5.0350000000034925,,,,,,287.127389152461,,,,,,73.352,0.012
-5.00800000000163,,,,,208.82056069339373,,,,,,67.463,,0.012
-3.0370000000039,,,,,256.0665674353672,,,,,,63.929,,0.012
-3.022000000004482,,,,,,306.3797205680517,,,,,,77.487,0.012
-2.9570000000021537,,,,148.45496631564856,,,,,,77.811,,,0.012
-2.9470000000001164,167.7122780201777,,,,,,45.563,,,,,,0.012
-2.0319999999992433,,,,,241.7785849915176,,,,,,73.002,,0.012
-1.018000000003667,,,,,,283.66115685527654,,,,,,85.637,0.012
-0.027999999998428393,,,,,,285.20830292119746,,,,,,63.907,0.012
0.0,,,,,397.05367137734146,,,,,,73.583,,0.012
0.9590000000025611,,,,,,392.79798637945976,,,,,,82.479,0.012
0.9760000000023865,,,,,567.8860973226167,,,,,,73.154,,0.012
1.9809999999997672,,,,,,468.40289931666376,,,,,,79.183,0.012
2.9649999999965075,,,,,,618.6406798850082,,,,,,78.043,0.012
3.029999999998836,,,,,542.5256999741166,,,,,,89.804,,0.012
3.032999999995809,470.0371783414902,,323.63773065378376,,,,54.404,,54.681,,,,0.012
3.944999999999709,,,,,,598.5517435596972,,,,,,83.698,0.012
3.9660000000003492,,,,,642.1578897195404,,,,,,71.178,,0.012
4.955000000001746,,,,,588.6731059061525,,,,,,86.871,,0.012
5.025999999998021,,,,,,634.7507941054357,,,,,,136.128,0.012
5.945999999996275,,,,,610.6667238062208,,,,,,87.388,,0.012
5.963999999999942,,,,,,574.09224982931,,,,,,101.522,0.012
7.010999999998603,,,,,,577.3980373492878,,,,,,88.422,0.012
7.051999999996042,,,,,622.2688947194086,,,,,,122.554,,0.012
7.959999999999127,,,,,627.4584462981862,,,,,,60.451,,0.012
8.959999999999127,,,,,,679.6180300171418,,,,,,89.055,0.012
9.02100000000064,,,,,580.8265450651386,,,,,,121.211,,0.012
9.943999999995867,,,,,688.3227827431205,,,,,,101.675,,0.012
9.959000000002561,,,,,,1041.3866215943644,,,,,,105.612,0.012
11.019999999996799,,,,,642.8347430275356,,,,,,139.967,,0.012
11.94999999999709,,,,,,647.2675704259568,,,,,,100.861,0.012
11.955999999998312,,,,,725.8151070133457,,,,,,118.036,,0.012
13.052999999999884,604.8059360040469,,1046.818167476391,,,,187.519,,177.96,,,,0.012
13.940000000002328,,,,,,788.7204785176378,,,,,,111.04,0.012
14.953000000001339,,,,,,544.0880346424709,,,,,,115.35,0.012
14.985999999997148,,,,,1062.7306705710487,,,,,,189.572,,0.012
16.03299999999581,,558.0410130617686,,,,,,83.105,,,,,0.012
16.042999999997846,,,450.5732090668093,,,,,,102.523,,,,0.012
16.963999999999942,,,,,910.1516822403241,,,,,,176.747,,0.012
16.976999999998952,,,,,,779.3573797335092,,,,,,187.189,0.012
17.936000000001513,,,,,,631.0761919677233,,,,,,143.139,0.012
19.052999999999884,,370.88920435377855,,296.14641973801355,,,,118.179,,100.619,,,0.012
19.926999999996042,,,,,,738.3147722446957,,,,,,202.975,0.012
20.976999999998952,,,,,,614.9483663108508,,,,,,194.419,0.012
21.052999999999884,,418.0109851052516,490.1166664182111,,,,,109.895,92.362,,,,0.012
21.92899999999645,,,,,,571.998132932003,,,,,,87.751,0.012
22.947999999996682,,,,,514.9804448350667,,,,,,84.867,,0.012
23.957000000002154,,,,,,486.0737036426465,,,,,,78.082,0.012
24.949000000000524,,,,,,462.8623452570224,,,,,,107.472,0.012
24.985999999997148,,,,,432.8857506033354,,,,,,104.782,,0.012
27.023000000001048,362.98244733132873,,,,,,54.338,,,,,,0.012
27.03299999999581,,,,167.17170714833875,,,,,,123.708,,,0.012
27.936000000001513,,,,,,460.3817023055358,,,,,,105.481,0.012
28.94199999999546,,,,,,493.59481303650705,,,,,,121.31,0.012
30.940999999998894,,,,,335.8077048757717,,,,,,102.952,,0.012
31.03299999999581,92.18335828592593,,126.03889862905355,,,,118.007,,100.808,,,,0.012
32.93499999999767,,,,,,506.0563713492881,,,,,,110.84,0.012
35.947000000000116,,,,,,663.1745240518693,,,,,,209.041,0.012
46.90799999999581,,,,,,604.7924202835129,,,,,,177.414,0.012
