relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-184.66999999999825,,67.94242792198477,,,,,,43.181,,,,,0.011
-124.77000000000407,,67.00334451490598,,,,,,89.927,,,,,0.011
-110.77000000000407,,232.87729014558843,,,,,,115.139,,,,,0.011
-107.70000000000437,,,,252.12423047552957,,,,,,322.357,,,0.011
-97.83000000000175,36.28103343421891,,,,,,39.054,,,,,,0.011
-75.84000000000378,131.12919089609977,,,,,,69.485,,,,,,0.011
-70.90000000000146,,,122.10044321303774,,,,,,66.324,,,,0.011
-66.0,,,112.8189787204747,,,,,,48.175,,,,0.011
-48.93000000000029,,48.801547548192985,,,,,,47.661,,,,,0.011
-30.010000000002037,90.25545086765443,,,,,,72.097,,,,,,0.011
-28.010000000002037,,61.24260663082591,,,,,,50.86,,,,,0.011
-25.010000000002037,,205.820398494421,,,,,,67.014,,,,,0.011
-21.020000000004075,,66.65439548932478,,,,,,36.293,,,,,0.011
-18.020000000004075,,57.82803778344761,,,,,,54.232,,,,,0.011
-14.07100000000355,,,,,,280.5807685778647,,,,,,78.885,0.011
-11.020000000004075,223.47610245812072,,,,,,150.764,,,,,,0.011
-7.010000000002037,106.94771404838708,,54.63270818390156,,,,36.771,,36.508,,,,0.011
-5.0200000000040745,63.37354138728499,,,,,,49.833,,,,,,0.011
-5.010000000002037,,135.70319708653466,,,,,,57.139,,,,,0.011
0.0,748.7636772012075,,246.26207491635145,,,,106.326,,95.288,,,,0.011
2.9899999999979627,,749.941745686489,795.796129549832,,,,,82.342,71.182,,,,0.011
5.99199999999837,,,,,,1061.285813507341,,,,,,282.113,0.011
6.0,,994.7274344903673,,,,,,123.417,,,,,0.011
6.010000000002037,,,,385.2647567841723,,,,,,121.71,,,0.011
7.9799999999959255,,1090.1075190296685,829.3765802158409,,,,,91.392,79.065,,,,0.011
13.979999999995925,1296.6236734661327,,,,,,65.43,,,,,,0.011
19.959999999999127,1034.5499543741303,,,,,,51.137,,,,,,0.011
19.970000000001164,,,662.8413168786052,,,,,,61.746,,,,0.011
34.95999999999913,,753.5626049872255,,479.8476388515928,,,,116.949,,196.328,,,0.011
36.95999999999913,,522.0472423620672,494.8860557337757,,,,,65.132,71.718,,,,0.011
38.94999999999709,,460.37152841125527,,341.7170967062655,,,,52.688,,115.944,,,0.011
41.94999999999709,,451.37788043723185,,178.52276596272216,,,,72.29,,134.011,,,0.011
45.94999999999709,70.07949472477758,,,352.81696306282146,,,51.291,,,91.576,,,0.011
