relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-93.77499999999418,,,,198.97821983406212,,,,,,122.088,,,0.054
-83.79499999999825,,55.017911393806735,,,,,,47.873,,,,,0.054
-69.71499999999651,,,94.30587097088805,,,,,,53.481,,,,0.054
-61.73500000000058,,110.55158020600678,,,,,,83.594,,,,,0.054
-57.88499999999476,,,65.76522788789536,,,,,,79.808,,,,0.054
-51.724999999998545,130.65619428638507,,,,,,102.487,,,,,,0.054
-48.73500000000058,,83.27437453851363,,,,,,46.875,,,,,0.054
-4.015999999995984,,,,,623.568474271887,,,,,,137.411,,0.054
-2.937999999994645,,,,,,553.0862358044493,,,,,,146.421,0.054
-2.0099999999947613,,,,,,556.215405954921,,,,,,123.526,0.054
-1.9490000000005239,,,,,730.3153845762857,,,,,,202.014,,0.054
-0.9089999999996508,,,,,,1116.969431490119,,,,,,232.696,0.054
0.0,,,,,,1206.9384850247443,,,,,,139.382,0.054
0.11500000000523869,,921.1370691026815,958.200392225383,,,,,66.144,67.086,,,,0.054
1.0050000000046566,,,,,1321.8781817819895,,,,,,133.513,,0.054
1.055000000000291,,,,,,1439.7802523896921,,,,,,133.599,0.054
1.9970000000030268,,,,,,1463.6362663308562,,,,,,71.696,0.054
2.014000000002852,,,,,1482.4777523378225,,,,,,95.175,,0.054
3.00800000000163,,,,,1515.7984045341327,,,,,,70.932,,0.054
3.997000000003027,,,,,1615.557096400877,,,,,,73.356,,0.054
4.019000000000233,,,,,,1826.6079777665575,,,,,,74.68,0.054
4.154999999998836,,,1480.9257755129793,,,,,,64.05,,,,0.054
4.165000000000873,,1535.7040662118861,,,,,,66.551,,,,,0.054
5.028000000005704,,,,,1823.3776737021474,,,,,,65.611,,0.054
5.988000000004831,,,,,,2204.3103599067663,,,,,,78.085,0.054
6.028000000005704,,,,,1913.6521926096311,,,,,,75.953,,0.054
6.105000000003201,1992.8381246394886,,1551.6851214732626,,,,63.589,,75.656,,,,0.054
6.993000000002212,,,,,,2114.2655424522795,,,,,,82.654,0.054
7.0350000000034925,,,,,1880.090802306596,,,,,,80.627,,0.054
8.0,,,,,,2234.870879454725,,,,,,94.622,0.054
8.036000000000058,,,,,2156.8942027555154,,,,,,82.633,,0.054
9.001000000003842,,,,,,2542.9955259201856,,,,,,126.007,0.054
9.010000000002037,,,,,2238.1330937610787,,,,,,85.817,,0.054
9.115000000005239,2000.8363102242763,,,841.7044011891492,,,62.738,,,103.096,,,0.054
10.002000000000407,,,,,1993.8929289179734,,,,,,144.717,,0.054
10.048000000002503,,,,,,2393.8981446421913,,,,,,104.987,0.054
11.001000000003842,,,,,2276.671630864933,,,,,,83.229,,0.054
11.009000000005472,,,,,,2699.665691378626,,,,,,95.813,0.054
11.96600000000035,,,,,,2599.1438061490007,,,,,,117.056,0.054
12.041000000004715,,,,,2149.306410165264,,,,,,93.99,,0.054
12.084999999999127,2064.2361236310944,,1508.4675949814944,,,,62.744,,63.793,,,,0.054
12.995999999999185,,,,,,2327.923404267525,,,,,,89.145,0.054
13.010000000002037,,,,,1981.0088979797824,,,,,,77.301,,0.054
13.978000000002794,,,,,2194.900163576097,,,,,,91.175,,0.054
14.009000000005472,,,,,,2206.2802218231664,,,,,,88.79,0.054
14.075000000004366,1919.8220440777948,1958.4467926541233,,,,,61.318,59.014,,,,,0.054
15.0,,,,,,2433.0741042201194,,,,,,113.359,0.054
15.02100000000064,,,,,2174.694060410737,,,,,,179.465,,0.054
15.986000000004424,,,,,,2289.70110799833,,,,,,123.23,0.054
16.043000000005122,,,,,1770.1007409040594,,,,,,149.853,,0.054
17.00800000000163,,,,,2748.207177397637,,,,,,393.007,,0.054
17.11500000000524,1764.8024039744362,,,,,,92.068,,,,,,0.054
17.125,,,1461.529477996194,,,,,,80.697,,,,0.054
18.075000000004366,1828.0584943698477,,,,,,69.533,,,,,,0.054
18.084999999999127,,1937.0133230223464,,,,,,68.65,,,,,0.054
19.00800000000163,,,,,,2077.2831287446284,,,,,,139.899,0.054
19.99000000000524,,,,,,1970.3453623648236,,,,,,162.004,0.054
21.002000000000407,,,,,,2118.537184410187,,,,,,122.922,0.054
21.00800000000163,,,,,1526.0627052260336,,,,,,128.277,,0.054
21.9800000000032,,,,,,2161.817624281566,,,,,,172.257,0.054
22.999000000003434,,,,,,1884.9269544295007,,,,,,225.314,0.054
23.07600000000093,,,,,2424.85388445363,,,,,,361.974,,0.054
23.957000000002154,,,,,,1403.1032995652922,,,,,,193.062,0.054
24.060000000004948,,,,,1270.980241123467,,,,,,369.612,,0.054
27.96600000000035,,,,,926.3908947178778,,,,,,197.444,,0.054
28.023000000001048,,,,,,1147.6273617921856,,,,,,210.0,0.054
28.9690000000046,,,,,,1448.2213151437895,,,,,,179.263,0.054
29.075000000004366,,681.5359394314204,406.97612085737956,,,,,131.582,216.584,,,,0.054
29.980999999999767,,,,,,1407.358105096564,,,,,,168.311,0.054
33.125,,684.9792450154514,,,,,,95.329,,,,,0.054
37.06500000000233,512.7474131866089,,807.8208492298473,,,,67.151,,86.812,,,,0.054
43.05500000000029,204.84721046632936,,,,,,56.368,,,,,,0.054
43.06500000000233,,831.8292415926107,,,,,,56.806,,,,,0.054
48.04500000000553,,,811.2030044392664,,,,,,230.536,,,,0.054
52.04500000000553,,,567.2461053863725,,,,,,120.366,,,,0.054
54.05500000000029,,376.75625001809306,,204.7724469817157,,,,94.194,,168.098,,,0.054
57.04500000000553,,308.09007953931433,474.1203626464513,,,,,120.518,108.689,,,,0.054
71.03500000000349,,161.7342558189857,,,,,,84.483,,,,,0.054
74.02500000000146,,,109.88158575110754,,,,,,126.336,,,,0.054
83.02500000000146,,288.80597782736163,,,,,,89.787,,,,,0.054
