relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-122.58699999999953,208.7579952979646,,,,,,120.009,,,,,,0.039
-101.62700000000041,102.44186580133562,,,,,,44.393,,,,,,0.039
-93.63700000000244,182.73743330799365,,,,,,68.953,,,,,,0.039
-91.65699999999924,143.85581953329404,,,,,,53.161,,,,,,0.039
-70.68700000000536,63.39393550222764,,,,,,59.571,,,,,,0.039
-60.71700000000419,155.3646951914972,,,,,,60.398,,,,,,0.039
-46.74700000000303,,,,203.72002564545505,,,,,,153.022,,,0.039
-43.766999999999825,130.99362859428862,72.09842861011239,,,,,76.969,69.982,,,,,0.039
-36.766999999999825,144.53361632797194,,,,,,40.336,,,,,,0.039
-28.91700000000128,,,96.7911828249403,,,,,,92.162,,,,0.039
-16.84700000000157,60.78299389987174,,,,,,59.886,,,,,,0.039
-11.857000000003609,263.74269392907917,177.10573178109257,,,,,52.963,46.336,,,,,0.039
-7.8070000000006985,226.4764009188388,,212.79866365009434,,,,70.623,,58.7,,,,0.039
-4.8770000000004075,352.7482350359175,,,,,,79.496,,,,,,0.039
-0.9320000000006985,,,,,584.2741294699501,,,,,,164.115,,0.039
0.0,,,,,,761.9855077644936,,,,,,106.774,0.039
1.0609999999942374,,,,,,1123.9009462784375,,,,,,128.644,0.039
2.0,,,,,708.7823304192086,,,,,,156.008,,0.039
2.040000000000873,,,,,,1437.0899679139634,,,,,,148.478,0.039
2.1630000000004657,,,,720.7808827886072,,,,,,95.725,,,0.039
3.028999999994994,,,,,1001.0947804318752,,,,,,192.559,,0.039
4.068999999995867,,,,,,1483.4399322715806,,,,,,227.471,0.039
5.989000000001397,,,,,1138.282240800253,,,,,,133.209,,0.039
6.032999999995809,,,,,,1879.360349812732,,,,,,140.394,0.039
6.99199999999837,,,,,1558.5568855747176,,,,,,110.464,,0.039
7.985999999997148,,,,,1420.66130714766,,,,,,67.487,,0.039
8.99699999999575,,,,,,2166.2427275581445,,,,,,79.145,0.039
10.006000000001222,,,,,1525.3038369243848,,,,,,68.042,,0.039
10.96600000000035,,,,,,2311.320583852027,,,,,,78.289,0.039
11.006000000001222,,,,,1585.3809676396668,,,,,,70.164,,0.039
11.072999999996682,1766.5651386316993,,,,,,64.567,,,,,,0.039
11.08299999999872,,,2006.673051108774,,,,,,64.443,,,,0.039
11.97099999999773,,,,,,2423.290343440254,,,,,,84.78,0.039
12.01299999999901,,,,,1535.5890873030132,,,,,,81.151,,0.039
12.977999999995518,,,,,,2496.8495466357895,,,,,,89.259,0.039
13.013999999995576,,,,,1580.9612586418377,,,,,,79.001,,0.039
13.97899999999936,,,,,,2541.981579076496,,,,,,118.937,0.039
14.093000000000757,1635.6102412828207,,,1557.0725437871383,,,63.113,,,124.954,,,0.039
14.979999999995925,,,,,1449.4343581109574,,,,,,145.126,,0.039
15.025999999998021,,,,,,2598.062430991642,,,,,,101.873,0.039
15.97899999999936,,,,,1234.0261600500985,,,,,,76.559,,0.039
15.98700000000099,,,,,,2410.8208228575527,,,,,,91.219,0.039
17.019000000000233,,,,,1039.3364440745495,,,,,,89.869,,0.039
17.062999999994645,1264.4828911455027,,,,,,62.876,,,,,,0.039
17.973999999994703,,,,,,2361.364332344139,,,,,,85.92,0.039
17.987999999997555,,,,,997.1365539459723,,,,,,75.191,,0.039
19.977999999995518,,,,,,2220.9674020010834,,,,,,117.978,0.039
21.02100000000064,,,,,1040.9434116813989,,,,,,133.395,,0.039
22.093000000000757,756.2936375815444,,,,,,108.881,,,,,,0.039
22.102999999995518,,,2161.827102464555,,,,,,74.091,,,,0.039
23.052999999999884,850.5358708986926,,,,,,64.162,,,,,,0.039
23.062999999994645,,1333.432772768419,,,,,,52.735,,,,,0.039
23.985999999997148,,,,,,1670.7443792944412,,,,,,130.19,0.039
24.968000000000757,,,,,,1685.1367698735405,,,,,,135.666,0.039
25.979999999995925,,,,,,1610.2133915290458,,,,,,109.177,0.039
27.976999999998952,,,,,,1559.107094554076,,,,,,199.007,0.039
33.000999999996566,,,,,,1106.5025717655753,,,,,,197.946,0.039
33.947000000000116,,,,,,1305.6458654329247,,,,,,180.102,0.039
34.052999999999884,,929.2785038052939,1077.4175380154384,,,,,150.383,200.504,,,,0.039
34.958999999995285,,,,,,1156.8913628833031,,,,,,147.971,0.039
36.052999999999884,,609.8794168276885,,1090.913203400449,,,,69.418,,99.745,,,0.039
42.042999999997846,298.1280657733692,,1035.0843075501723,,,,56.933,,75.73,,,,0.039
46.03299999999581,,,957.649648607689,,,,,,63.538,,,,0.039
46.042999999997846,323.0869359773909,,,,,,79.452,,,,,,0.039
53.02300000000105,,,600.2224381827015,,,,,,241.834,,,,0.039
57.02300000000105,,,740.5168277270429,,,,,,136.701,,,,0.039
69.91700000000128,,,,,,600.376453622791,,,,,,118.104,0.039
84.00299999999697,,,224.08095982446227,,,,,,149.353,,,,0.039
84.01299999999901,453.9085522758873,,,,,,141.732,,,,,,0.039
88.00299999999697,,138.49402656047488,,666.9554833013783,,,,91.122,,160.928,,,0.039
