relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-148.57200000000012,,188.5618315182714,,,,,,104.802,,,,,0.039
-135.6620000000039,83.94086119232072,,,,,,84.237,,,,,,0.039
-125.64199999999983,,,,109.2061230975719,,,,,,97.992,,,0.039
-108.59200000000419,,,78.69455102950727,,,,,,43.988,,,,0.039
-106.71199999999953,116.52523012503805,,,,,,39.748,,,,,,0.039
-104.71199999999953,,,176.90726035535465,,,,,,198.445,,,,0.039
-98.63199999999779,61.25574292473112,,137.25758933118365,,,,47.638,,57.557,,,,0.039
-95.78199999999924,84.58106589586522,,,,,,57.641,,,,,,0.039
-93.73200000000361,,114.6454268970332,130.51069058478507,,,,,67.999,87.424,,,,0.039
-92.76200000000244,,67.50414665195972,,,,,,78.616,,,,,0.039
-73.91300000000047,,,,,248.308283839837,,,,,,67.376,,0.039
-73.80200000000332,,127.80108201252622,,,,,,58.966,,,,,0.039
-72.91400000000431,,,,,277.26768166068166,,,,,,65.727,,0.039
-71.71199999999953,76.18663803035012,,70.58285839104805,,,,48.306,,48.8,,,,0.039
-59.88199999999779,,,99.53468615462768,,,,,,67.39,,,,0.039
-59.87200000000303,,121.43487651156335,,,,,,68.054,,,,,0.039
-57.84200000000419,,101.56542940805868,,,,,,46.895,,,,,0.039
-53.72200000000157,,,,151.07430890560852,,,,,,151.89,,,0.039
-50.74199999999837,,89.97117226593305,,,,,,49.549,,,,,0.039
-47.7019999999975,,,344.76513438641075,,,,,,130.739,,,,0.039
-43.74199999999837,55.01545579658732,,,,,,59.594,,,,,,0.039
-40.891999999999825,,,107.2620956501459,,,,,,72.005,,,,0.039
-29.79200000000128,,,142.07129767047516,,,,,,59.35,,,,0.039
-18.832000000002154,,70.27825962430488,,,,,,42.148,,,,,0.039
-11.86200000000099,48.85604862209414,,,,,,56.219,,,,,,0.039
-7.811999999998079,,,359.83459980792423,,,,,,89.551,,,,0.039
-7.802000000003318,,247.5901310254769,,,,,,81.567,,,,,0.039
-6.0129999999990105,,,,,502.34399315429124,,,,,,150.818,,0.039
-4.811999999998079,,406.4152258599534,,282.16787317397865,,,,88.477,,108.159,,,0.039
-4.0129999999990105,,,,,,487.1704817136474,,,,,,124.073,0.039
-3.9460000000035507,,,,,639.6871079566203,,,,,,194.402,,0.039
0.0,,,,,,517.4485433740992,,,,,,76.089,0.039
0.016999999999825377,,,,,409.35910355413193,,,,,,100.167,,0.039
1.010999999998603,,,,,468.0046519402559,,,,,,65.31,,0.039
2.0,,,,,489.90588849199804,,,,,,72.157,,0.039
2.021999999997206,,,,,,503.6536935009512,,,,,,70.538,0.039
2.157999999995809,,,467.7571486591693,,,,,,59.9,,,,0.039
2.1679999999978463,,470.8700412170151,,,,,,60.795,,,,,0.039
3.0310000000026776,,,,,558.3116275816611,,,,,,65.106,,0.039
3.9910000000018044,,,,,,443.7979381585334,,,,,,76.55,0.039
4.0310000000026776,,,,,436.9483038930107,,,,,,72.148,,0.039
4.097999999998137,553.4603836770584,,,,,,64.624,,,,,,0.039
4.108000000000175,,,693.0626764934491,,,,,,63.74,,,,0.039
4.995999999999185,,,,,,615.9365050077838,,,,,,79.17,0.039
5.038000000000466,,,,,412.475480707115,,,,,,83.265,,0.039
6.002999999996973,,,,,,608.5477942135443,,,,,,88.253,0.039
6.038999999997031,,,,,504.69196355938794,,,,,,79.788,,0.039
7.004000000000815,,,,,,455.2551813693938,,,,,,126.477,0.039
7.0129999999990105,,,,,501.57229793244807,,,,,,81.485,,0.039
8.050999999999476,,,,,,522.7327226571297,,,,,,104.487,0.039
9.004000000000815,,,,,455.28483467567054,,,,,,78.693,,0.039
9.012000000002445,,,,,,615.9959163208039,,,,,,85.004,0.039
9.968999999997322,,,,,,576.9729663939054,,,,,,118.844,0.039
10.044000000001688,,,,,506.12683436250256,,,,,,107.67,,0.039
10.0879999999961,483.3101241593104,,599.1520116006932,,,,52.716,,58.868,,,,0.039
10.998999999996158,,,,,,489.2441650430961,,,,,,80.047,0.039
11.01299999999901,,,,,447.947153120247,,,,,,77.823,,0.039
11.980999999999767,,,,,302.3455840546134,,,,,,79.48,,0.039
12.078000000001339,341.53326118112085,519.4839039608473,,,,,41.85,39.035,,,,,0.039
13.002999999996973,,,,,,721.2087815782543,,,,,,131.534,0.039
15.118000000002212,339.48847925431943,,,,,,156.461,,,,,,0.039
15.127999999996973,,,394.8332673332689,,,,,,94.911,,,,0.039
19.00499999999738,,,,,,398.05465470887066,,,,,,112.851,0.039
31.118000000002212,,,328.2077760159057,,,,,,102.81,,,,0.039
31.127999999996973,,207.72843023629258,,,,,,82.851,,,,,0.039
