relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-123.6469999999972,,261.1041825832967,,,,,,104.302,,,,,0.029
-85.79699999999866,105.77685976229459,,,,,,64.012,,,,,,0.029
-75.79699999999866,,56.0880471284033,,,,,,35.785,,,,,0.029
-73.77699999999459,45.843984080500356,,67.81762919398723,,,,45.475,,63.806,,,,0.029
-68.79699999999866,,59.91220782139668,,,,,,65.591,,,,,0.029
-66.81699999999546,,,97.66344503554387,,,,,,74.646,,,,0.029
-58.77699999999459,,,,113.2629053742654,,,,,,124.797,,,0.029
-43.896999999997206,59.367689461004126,,,,,,49.331,,,,,,0.029
-32.90699999999924,,,38.018097351198,,,,,,49.641,,,,0.029
-25.906999999999243,,,76.91979831522889,,,,,,75.465,,,,0.029
-10.976999999998952,,147.77687781263742,,,,,,96.265,,,,,0.029
-4.8770000000004075,,225.3620410852998,,172.98692275756946,,,,89.43,,112.115,,,0.029
-2.896999999997206,,87.68797256353312,149.1123173018018,,,,,54.608,72.063,,,,0.029
-1.981999999996333,,,,,,278.80030399601617,,,,,,76.218,0.029
-1.0049999999973807,,,,,,272.20410667452086,,,,,,73.958,0.029
-0.0319999999992433,,,,,,352.79166236696386,,,,,,73.868,0.029
0.0,,,,,401.0906564245624,,,,,,72.031,,0.029
0.9500000000043656,,,,,311.04113493383124,,,,,,61.665,,0.029
1.0080000000016298,,,,,,252.80196751594787,,,,,,75.065,0.029
1.940999999998894,,,,,295.864610184035,,,,,,57.592,,0.029
1.9599999999991269,,,,,,430.70386049161584,,,,,,80.333,0.029
2.9530000000013388,,,,,,471.34655001403297,,,,,,73.191,0.029
3.004000000000815,,,,,312.8591059408968,,,,,,58.768,,0.029
3.0230000000010477,452.3561014069473,,428.99060593943113,,,,52.8,,81.184,,,,0.029
3.937000000005355,,,,,,493.1126761939185,,,,,,81.253,0.029
4.012000000002445,,,,,393.1078579388847,,,,,,66.519,,0.029
4.957999999998719,,,,,,390.1417739830035,,,,,,74.583,0.029
4.993000000002212,,,,,449.3632469990995,,,,,,57.966,,0.029
6.0310000000026776,,,,,,502.33123184125094,,,,,,100.233,0.029
6.052000000003318,,,,,436.0667912059623,,,,,,76.325,,0.029
6.989000000001397,,,,,472.3726786321063,,,,,,70.388,,0.029
7.004000000000815,,,,,,605.2480306593383,,,,,,92.657,0.029
7.063000000001921,485.43767382734535,476.32593310518166,,,,,87.978,74.61,,,,,0.029
8.043000000005122,,,,,466.7827925143859,,,,,,109.534,,0.029
8.13300000000163,598.8968796277867,,607.842496267437,,,,97.252,,98.368,,,,0.029
8.980999999999767,,,,,369.36609876239567,,,,,,76.054,,0.029
9.093000000000757,,,,,,466.04662581865676,,,,,,125.269,0.029
10.03399999999965,,,,,509.44194257652924,,,,,,62.367,,0.029
10.048999999999069,,,,,,468.8412316808437,,,,,,88.62,0.029
11.016999999999825,,,,,381.4869761304693,,,,,,65.131,,0.029
11.052000000003318,,,,,,562.2932492066883,,,,,,83.865,0.029
12.009000000005472,,,,,419.5123343677718,,,,,,76.115,,0.029
12.022000000004482,,,,,,593.0317053889961,,,,,,94.827,0.029
13.028000000005704,,,,,,545.0011423683994,,,,,,91.064,0.029
13.04200000000128,,,,,514.6645942682052,,,,,,67.221,,0.029
13.937000000005355,,,,,,483.59820811234425,,,,,,100.596,0.029
14.027000000001863,,,,,413.8774807693113,,,,,,75.746,,0.029
15.0,,,,,421.7831921451488,,,,,,103.427,,0.029
15.00300000000425,,,,,,616.3149348698081,,,,,,108.28,0.029
17.00300000000425,,,,,,562.1011269546059,,,,,,128.326,0.029
17.122999999999593,,493.5459006054151,,305.60658760822406,,,,67.03,,158.154,,,0.029
17.949000000000524,,,,,,460.0345243095269,,,,,,120.721,0.029
19.010000000002037,,,,,,565.350642976896,,,,,,144.5,0.029
20.11300000000483,,254.96903371458794,280.7797747045314,,,,,80.205,64.582,,,,0.029
20.92399999999907,,,,,,670.1599563930821,,,,,,129.573,0.029
22.914000000004307,,,,,,630.0362177814623,,,,,,142.136,0.029
24.911000000000058,,,,,,396.6242437644729,,,,,,90.48,0.029
26.944000000003143,,,,,,283.0766803311603,,,,,,79.794,0.029
27.093000000000757,,154.1540486126306,,260.17195716028345,,,,62.12,,90.386,,,0.029
29.923000000002503,,,,,,328.4396148400843,,,,,,84.482,0.029
30.925999999999476,,,,,,319.5920538864282,,,,,,88.244,0.029
31.01299999999901,92.26527338457579,,,200.40943232493217,,,78.053,,,100.835,,,0.029
56.052999999999884,,74.02444238097851,,,,,,64.901,,,,,0.029
60.00300000000425,,,149.44156483848838,,,,,,55.012,,,,0.029
63.99300000000221,46.86748895206761,,,,,,47.617,,,,,,0.029
85.97300000000541,,,,438.62069365687597,,,,,,192.862,,,0.029
105.96300000000338,,,168.66309914479243,,,,,,99.775,,,,0.029
111.9429999999993,,,,206.11373893765807,,,,,,170.199,,,0.029
