relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-148.57200000000012,,96.64261730087493,143.6416551173907,,,,,103.564,77.393,,,,0.035
-116.58200000000215,,,,256.20523948377405,,,,,,189.521,,,0.035
-98.63199999999779,77.85954390275975,,128.08386849331387,,,,47.416,,40.99,,,,0.035
-95.7719999999972,77.6594659617958,,,,,,77.956,,,,,,0.035
-93.87000000000262,,,,,,380.61201092537885,,,,,,108.931,0.035
-85.79200000000128,,,40.73342330108127,,,,,,46.637,,,,0.035
-81.79200000000128,58.91283731349893,,,113.62752216482711,,,38.26,,,74.302,,,0.035
-77.67199999999866,,58.379852707922744,,,,,,49.08,,,,,0.035
-77.6620000000039,85.3264976208696,,,,,,55.858,,,,,,0.035
-73.81199999999808,82.77718992364348,,,,,,77.6,,,,,,0.035
-71.71199999999953,150.3552005342836,,83.72886969153365,,,,44.122,,56.746,,,,0.035
-67.69200000000274,96.56121121600854,,,222.64513395876656,,,73.904,,,89.185,,,0.035
-59.88199999999779,,,163.74899945881174,,,,,,65.141,,,,0.035
-57.84200000000419,,,,139.14415785308208,,,,,,126.616,,,0.035
-53.72200000000157,,,,289.49565528300917,,,,,,150.211,,,0.035
-47.7019999999975,,,93.01188080031085,,,,,,107.699,,,,0.035
-43.74199999999837,70.09022520645158,,,,,,48.255,,,,,,0.035
-36.78199999999924,,,,83.3246808763858,,,,,,72.304,,,0.035
-32.90200000000186,,,,152.6464835399046,,,,,,123.846,,,0.035
-23.822000000000116,111.35236641345058,,,149.62218085634024,,,70.017,,,100.223,,,0.035
-18.832000000002154,108.69177941198046,61.247360543542975,,,,,63.33,46.977,,,,,0.035
-14.781999999999243,149.08841491930394,,97.40199140139293,,,,85.302,,61.379,,,,0.035
-11.851999999998952,,48.40331502982737,,,,,,56.697,,,,,0.035
-4.811999999998079,,208.78715574946654,,391.280965170243,,,,64.435,,107.063,,,0.035
-1.881999999997788,,388.35614453749963,,,,,,84.863,,,,,0.035
-0.9919999999983702,,,,,448.523469649921,,,,,,115.821,,0.035
-0.940999999998894,,,,,,585.29313097948,,,,,,142.312,0.035
0.0,,,,,,594.7307797124068,,,,,,84.788,0.035
0.016999999999825377,,,,,512.4223377540676,,,,,,99.033,,0.035
1.010999999998603,,,,,628.4968658724232,,,,,,65.834,,0.035
2.0,,,,,595.9192476891876,,,,,,67.982,,0.035
2.021999999997206,,,,,,835.5610021200581,,,,,,82.097,0.035
2.157999999995809,,,533.1082442798768,,,,,,53.568,,,,0.035
2.1679999999978463,,607.3479351792586,,,,,,57.035,,,,,0.035
3.0310000000026776,,,,,739.0181811182389,,,,,,67.866,,0.035
3.9910000000018044,,,,,,834.4328571019473,,,,,,79.195,0.035
4.0310000000026776,,,,,885.7841461997282,,,,,,71.901,,0.035
4.097999999998137,785.4486705223012,,,,,,67.747,,,,,,0.035
4.108000000000175,,,609.2591240258621,,,,,,71.6,,,,0.035
4.995999999999185,,,,,,833.8670940658918,,,,,,79.129,0.035
