relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-40.79899999999907,,,72.9263474900132,,,,,,59.095,,,,0.027
-39.76900000000023,,,,125.64778313727422,,,,,,85.566,,,0.027
-36.828999999997905,,55.949499885884144,,,,,,69.961,,,,,0.027
-17.819000000003143,,63.42641569750621,,,,,,50.343,,,,,0.027
-8.879000000000815,,88.43118332981608,104.06024783212736,,,,,59.132,62.773,,,,0.027
-4.859000000004016,,263.398474249881,130.2076506176799,,,,,123.302,136.076,,,,0.027
-2.9619999999995343,,,,,632.9025237702934,,,,,,195.722,,0.027
0.0,,,,,836.918603182325,,,,,,142.199,,0.027
2.103000000002794,,,,,1012.0285329060232,,,,,,95.492,,0.027
3.0380000000004657,,,,,965.7654796519755,,,,,,93.102,,0.027
3.1120000000009895,,,,,,882.9763424940539,,,,,,80.631,0.027
4.027000000001863,,,,,874.1121201981729,,,,,,82.633,,0.027
4.1049999999959255,,,,,,778.1810850082848,,,,,,81.532,0.027
4.210999999995693,492.28007473528555,,,,,,62.333,,,,,,0.027
4.22099999999773,,,703.9368473062524,,,,,,58.28,,,,0.027
5.936999999998079,,,,,,950.5595838616932,,,,,,80.605,0.027
5.98399999999674,,,,,921.6038393296315,,,,,,70.012,,0.027
6.985999999997148,,,,,,807.2045494406198,,,,,,72.921,0.027
8.016999999999825,,,,,807.7705565692976,,,,,,65.8,,0.027
8.080999999998312,,,841.0597647687161,,,,,,72.29,,,,0.027
8.09100000000035,625.231076576332,,,,,1030.9778070065581,55.706,,,,,74.8,0.027
9.027000000001863,,,,,766.7855450245441,,,,,,71.735,,0.027
9.972999999998137,,,,,683.9161342502715,,,,,,61.057,,0.027
9.995999999999185,,,,,,847.9082420777761,,,,,,73.961,0.027
11.044999999998254,,,,,762.5688660332909,,,,,,72.741,,0.027
12.029999999998836,,,,,679.4767395882646,,,,,,78.095,,0.027
12.031000000002678,,,,,,846.6712410999301,,,,,,74.415,0.027
15.22099999999773,726.4742866395262,,640.3157633877333,,,,63.132,,63.473,,,,0.027
16.00499999999738,,,,,551.0667694583699,,,,,,59.565,,0.027
16.085999999995693,,,,,,645.38223091766,,,,,,69.393,0.027
16.97899999999936,,,,,,648.1983820799903,,,,,,55.467,0.027
17.997999999999593,,,,,,749.0929192836687,,,,,,70.809,0.027
19.019000000000233,,,,,,565.7064276859172,,,,,,78.275,0.027
19.947999999996682,,,,,397.3865628870856,,,,,,114.392,,0.027
24.031000000002678,,438.1430031735626,691.2740576314017,,,,,100.074,122.663,,,,0.027
31.050999999999476,,608.6497249315978,,259.521800180696,,,,150.388,,152.852,,,0.027
34.0109999999986,,,,257.5031243104642,,,,,,78.274,,,0.027
34.02100000000064,84.71790526750237,,,,,,38.934,,,,,,0.027
38.15099999999802,123.7121526301043,,,,,,61.499,,,,,,0.027
38.16100000000006,,,211.55349534845473,,,,,,65.812,,,,0.027
42.13100000000122,398.12742425959385,,,,,,136.904,,,,,,0.027
45.924999999995634,,,,,,274.68220827032474,,,,,,69.818,0.027
47.991000000001804,,,,226.23181121530575,,,,,,105.555,,,0.027
47.99399999999878,,,,,,220.4033072069659,,,,,,58.17,0.027
48.94799999999668,,,,,,275.9543014744927,,,,,,80.796,0.027
50.991000000001804,,150.05205442505746,,,,,,145.673,,,,,0.027
61.10100000000239,,174.69443412066715,288.27343852003116,,,,,94.818,86.566,,,,0.027
63.070999999996275,,,,88.13051046008246,,,,,,92.93,,,0.027
68.07099999999627,68.42570576462413,166.30621923293154,,,,,39.735,38.077,,,,,0.027
72.89099999999598,,115.38964827968877,,,,,,54.091,,,,,0.027
73.88100000000122,,,88.30408958687238,,,,,,96.977,,,,0.027
75.91100000000006,140.51433836045223,,206.0575511211996,,,,65.078,,62.628,,,,0.027
85.03100000000268,,,121.38353112406294,,,,,,145.051,,,,0.027
87.00099999999657,,,,99.72673950794855,,,,,,110.03,,,0.027
89.0109999999986,,,121.13824198632163,,,,,,89.949,,,,0.027
93.97099999999773,130.03882726744823,,201.45680742228242,,,,46.787,,50.346,,,,0.027
116.97099999999773,,,157.63600778921483,,,,,,92.219,,,,0.027
