relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-14.990000000005239,,,51.72107229036959,,,,,,63.095,,,,0.021
-14.980000000003201,51.744693696137816,,,,,,54.999,,,,,,0.021
-8.990000000005239,,,87.55653485240546,,,,,,83.454,,,,0.021
-0.1510000000052969,,,,,352.1582683382086,,,,,,82.302,,0.021
-0.0940000000045984,,,,,,367.94879568154795,,,,,,101.454,0.021
0.0,386.7427519206291,,,314.98312670954573,,,62.448,,,83.84,,,0.021
1.8779999999969732,,,,,407.14766867599576,,,,,,80.715,,0.021
1.9799999999959255,477.7333484808519,,474.15754632247854,,,,48.883,,54.523,,,,0.021
2.8589999999967404,,,,,,413.94306663016334,,,,,,91.185,0.021
2.892999999996391,,,,,467.092072395578,,,,,,84.327,,0.021
3.860000000000582,,,,,414.8733132617334,,,,,,72.894,,0.021
4.858000000000175,,,,,329.40791035983557,,,,,,79.233,,0.021
5.870999999999185,,,,,,561.0957253659052,,,,,,77.378,0.021
5.939999999995052,332.66499350944537,,,,,,53.83,,,,,,0.021
5.94999999999709,,484.5108527758071,,,,,,56.266,,,,,0.021
6.882999999994354,,,,,466.17167736537175,,,,,,99.59,,0.021
7.851999999998952,,,,,,486.2446423778397,,,,,,92.257,0.021
8.849999999998545,,,,,464.63768564836147,,,,,,99.365,,0.021
8.909999999996217,,,,,,584.1487286769176,,,,,,125.962,0.021
10.939999999995052,260.67573412730223,,370.3637482418108,,,,53.75,,61.223,,,,0.021
11.849999999998545,,,,,361.41370192392355,,,,,,70.332,,0.021
11.913000000000466,,,,,,469.93015967859355,,,,,,72.868,0.021
12.825999999993655,,,,,,374.8538454219532,,,,,,71.483,0.021
14.849999999998545,,,,,,435.06003452306305,,,,,,80.871,0.021
15.812999999994645,,,,,292.19180035420356,,,,,,87.771,,0.021
19.919999999998254,,177.91508035739093,273.2907850462074,,,,,115.765,110.941,,,,0.021
27.889999999999418,,,,154.72727131124913,,,,,,70.581,,,0.021
29.89999999999418,127.31453699498127,,230.83614554303944,,,,57.491,,72.162,,,,0.021
33.98999999999796,85.89861577754556,,280.5074617394305,,,,50.259,,60.335,,,,0.021
40.919999999998254,57.47706051784143,,156.98787323209476,,,,46.179,,68.717,,,,0.021
58.86999999999534,,,,190.95797373089124,,,,,,87.727,,,0.021
68.71999999999389,,70.03069463088872,,,,,,55.106,,,,,0.021
68.72999999999593,62.93589561433276,,,,,,69.607,,,,,,0.021
69.7699999999968,,,285.8351678622411,,,,,,97.703,,,,0.021
112.70999999999913,,124.9669908692009,,83.11507181022851,,,,48.733,,84.744,,,0.021
114.7699999999968,,,152.87487580667727,,,,,,81.843,,,,0.021
137.66999999999825,,90.94469607958395,,278.10805757262716,,,,109.779,,154.469,,,0.021
145.66999999999825,,,131.9333393566576,,,,,,63.057,,,,0.021
156.66999999999825,87.29845460657312,,,,,,81.427,,,,,,0.021
171.6800000000003,,163.8484125153532,,,,,,77.089,,,,,0.021
