relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-18.989999999997963,118.46759546964871,,,,,,57.871,,,,,,0.023
-4.009999999994761,,276.6535623216179,223.19378495872718,,,,,53.609,48.496,,,,0.023
-2.109999999993306,,,,,787.4382432481069,,,,,,228.206,,0.023
-0.10799999999289867,,,,,,889.0311188890115,,,,,,204.134,0.023
0.0,,,,913.1033578624505,,,,,,200.831,,,0.023
0.8520000000062282,,,,,,1216.9899840660773,,,,,,182.023,0.023
0.8880000000062864,,,,,1583.2983649209489,,,,,,227.132,,0.023
1.8460000000050059,,,,,,1246.5022253780614,,,,,,168.114,0.023
1.8960000000006403,,,,,1661.4746783606834,,,,,,180.162,,0.023
2.7920000000012806,,,,,1719.931677564512,,,,,,263.532,,0.023
2.8800000000046566,,,,,,1601.1185996325858,,,,,,137.855,0.023
6.833000000005995,,,,,2840.55349239074,,,,,,151.6,,0.023
6.872000000003027,,,,,,2410.696430195085,,,,,,118.461,0.023
8.858000000000175,,,,,2995.8114228642867,,,,,,116.768,,0.023
8.885000000002037,,,,,,2741.6030579106437,,,,,,101.947,0.023
9.832000000002154,,,,,,2408.2105739332665,,,,,,119.376,0.023
9.89100000000326,,,,,2985.4851738356124,,,,,,93.654,,0.023
10.020000000004075,2831.0651787180414,,1881.6791359405827,,,,97.418,,74.916,,,,0.023
10.844000000004598,,,,,2900.124189481018,,,,,,95.991,,0.023
10.89100000000326,,,,,,3024.14149979735,,,,,,147.641,0.023
12.0,2857.4743406126113,,,,,,87.749,,,,,,0.023
12.010000000002037,,2771.5391771835034,,,,,,73.762,,,,,0.023
12.866000000001804,,,,,,3138.405429771089,,,,,,138.065,0.023
13.871000000006461,,,,,2954.7196655866164,,,,,,101.445,,0.023
14.85000000000582,,,,,,2787.365313480696,,,,,,105.802,0.023
14.890000000006694,,,,,2936.097159032248,,,,,,105.256,,0.023
15.859000000004016,,,,,2477.3803063518135,,,,,,142.678,,0.023
15.892000000007101,,,,,,2631.184741083452,,,,,,118.503,0.023
16.0,2422.0438890562696,,,,,,91.818,,,,,,0.023
16.010000000002037,,2520.3911757795177,,,,,,76.567,,,,,0.023
16.872000000003027,,,,,,2801.0807928295208,,,,,,128.6,0.023
17.845000000001164,,,,,2582.611561148723,,,,,,88.439,,0.023
17.8920000000071,,,,,,2478.075250464843,,,,,,93.262,0.023
18.84900000000198,,,,,2580.3556631550327,,,,,,82.112,,0.023
19.835000000006403,,,,,,2394.519974782014,,,,,,90.086,0.023
19.893000000003667,,,,,2316.2889213564463,,,,,,86.839,,0.023
20.86200000000099,,,,,,2240.506143069027,,,,,,108.092,0.023
20.894000000000233,,,,,2173.822154191062,,,,,,98.665,,0.023
21.84900000000198,,,,,,2177.345057161685,,,,,,116.04,0.023
22.885000000002037,,,,,,1988.6449847893343,,,,,,110.254,0.023
23.88600000000588,,,,,,1921.2564287900911,,,,,,87.334,0.023
23.99000000000524,,1881.190587884588,1188.9490755758711,,,,,63.593,65.506,,,,0.023
24.823000000003958,,,,,1571.8679187460887,,,,,,136.671,,0.023
24.87100000000646,,,,,,2051.941289161745,,,,,,79.98,0.023
25.81500000000233,,,,,1596.2848212234176,,,,,,197.351,,0.023
26.789000000004307,,,,,,1519.0842612448466,,,,,,239.246,0.023
26.869000000006054,,,,,1792.1826959932114,,,,,,231.453,,0.023
27.838000000003376,,,,,,1609.0164397403048,,,,,,326.299,0.023
27.908000000003085,,,,,1799.9585240800252,,,,,,316.474,,0.023
28.84900000000198,,,,,,1614.6134024464188,,,,,,268.502,0.023
29.0,,1468.3482897247675,,584.0644396137792,,,,94.076,,95.723,,,0.023
29.809000000001106,,,,,,1449.4456699868642,,,,,,310.365,0.023
35.950000000004366,632.5056905880346,,,544.5836091282368,,,70.574,,,91.072,,,0.023
37.867000000005646,,,,,,1164.1963683124648,,,,,,214.53,0.023
39.970000000001164,,1131.008026636348,,,,,,51.77,,,,,0.023
40.8070000000007,,,,,504.9379540626149,,,,,,94.964,,0.023
40.830000000001746,,,,,,1059.0061382186805,,,,,,117.771,0.023
43.020000000004075,393.5727506503337,,912.3127805091699,,,,51.004,,63.545,,,,0.023
43.87000000000262,,,,,,1038.6238476681197,,,,,,120.136,0.023
45.82700000000477,,,,,,899.0902909423851,,,,,,83.74,0.023
46.82700000000477,,,,,465.68722912046013,,,,,,77.072,,0.023
46.830000000001746,,,,,,852.4366752506015,,,,,,91.515,0.023
48.76000000000204,,,,,,762.8149583509405,,,,,,96.76,0.023
49.03000000000611,275.0813981655689,,702.4754592667539,,,,53.21,,64.053,,,,0.023
49.804000000003725,,,,,,814.054102630126,,,,,,89.018,0.023
53.01000000000204,,,554.7726029317195,,,,,,92.808,,,,0.023
53.020000000004075,,553.6270395729889,,,,,,62.448,,,,,0.023
54.93000000000029,,498.4464654024305,,441.36471947112,,,,95.59,,160.119,,,0.023
55.742000000005646,,,,,1169.0491992251666,,,,,,312.287,,0.023
66.8900000000067,279.2647925546581,,268.34198418745825,,,,69.189,,63.975,,,,0.023
67.833000000006,,,,,,371.46459500205555,,,,,,106.112,0.023
69.72700000000623,,,,,,454.0376437546274,,,,,,85.903,0.023
71.72500000000582,,,,,,386.19042672187214,,,,,,99.448,0.023
73.82000000000698,90.74207896477905,410.0116317351746,,,,,60.846,51.091,,,,,0.023
77.77000000000407,,,,,182.0415729143067,,,,,,55.361,,0.023
79.86000000000058,205.79082398634918,,,,,,46.154,,,,,,0.023
81.83000000000175,,370.8194132783098,,,,,,102.382,,,,,0.023
90.87000000000262,,143.86352667772167,,,,,,56.815,,,,,0.023
90.88000000000466,,,109.27712945295882,,,,,,66.898,,,,0.023
93.79000000000087,,131.8651330747095,,,,,,74.99,,,,,0.023
102.80000000000291,,,103.78298125759679,,,,,,73.627,,,,0.023
104.6730000000025,,,,,285.3399548864869,,,,,,78.565,,0.023
106.80000000000291,190.28289243712103,,59.20001932899485,,,,48.458,,46.811,,,,0.023
117.72000000000116,,141.43829699573303,,,,,,87.834,,,,,0.023
121.74000000000524,,59.05756302221803,137.96890791236845,,,,,58.915,64.693,,,,0.023
124.65000000000146,129.90551838375112,,,,,,50.585,,,,,,0.023
126.67000000000553,119.24293805389395,108.42159809043615,,,,,41.364,39.8,,,,,0.023
