relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-26.959999999999127,,476.8285050596367,369.15325101940175,,,,,109.543,123.666,,,,0.099
-2.153999999994994,,,,,871.1013779427368,,,,,,162.555,,0.099
0.0,,953.9804455710628,,867.6453158966091,,,,119.087,,170.881,,,0.099
8.836999999999534,,,,,561.3071487221251,,,,,,102.336,,0.099
8.919000000001688,,,,,,1407.371657061428,,,,,,139.41,0.099
9.889999999999418,,,,1071.1434988568142,,,,,,96.701,,,0.099
13.910000000003492,,821.690292110288,,,,,,63.832,,,,,0.099
17.779999999998836,,,,,429.4460800003579,,,,,,91.451,,0.099
20.814000000005763,,,,,,1100.51646697059,,,,,,85.974,0.099
22.92000000000553,691.0506484372145,,,,,,74.954,,,,,,0.099
22.93000000000029,,,1036.1864551076465,,,,,,55.553,,,,0.099
24.94000000000233,536.0176200269287,,1092.217382126529,,,,67.641,,100.224,,,,0.099
26.889999999999418,,973.3474066666832,,1360.8697448688931,,,,66.442,,116.045,,,0.099
27.77400000000489,,,,,,931.3266369804688,,,,,,161.47,0.099
27.900000000001455,,1033.1678042109086,1093.9336940124726,,,,,95.279,83.838,,,,0.099
33.79000000000087,,766.4649521369917,,1139.851812844054,,,,148.58,,187.147,,,0.099
35.73099999999977,,,,,,1113.8804972925107,,,,,,113.729,0.099
40.82100000000355,,,,,338.8559805416048,,,,,,73.898,,0.099
40.91000000000349,453.8922640868837,,1090.259788167977,,,,77.24,,72.191,,,,0.099
42.93000000000029,376.7404483216515,1009.866554065007,,,,,48.833,99.418,,,,,0.099
46.690999999998894,,,,,,909.2883987100666,,,,,,85.781,0.099
48.81999999999971,357.17618659285387,853.3023172634955,,,,,45.779,79.664,,,,,0.099
49.6929999999993,,,,,,1056.926643648561,,,,,,84.236,0.099
52.73700000000099,,,,,,909.4216323002212,,,,,,82.494,0.099
52.79300000000512,,,,,322.84298081286994,,,,,,71.935,,0.099
54.70999999999913,533.8628368781433,,,1100.4676186525091,,,69.437,,,93.406,,,0.099
61.7300000000032,,598.6588065463335,1011.5019916400034,,,,,77.267,105.181,,,,0.099
63.690999999998894,,,,,584.3015335423062,,,,,,131.549,,0.099
66.69200000000274,,,,,,1027.0150014294484,,,,,,72.316,0.099
70.63799999999901,,,,,298.894178790314,,,,,,65.585,,0.099
70.67700000000332,,,,,,911.7230672627853,,,,,,152.572,0.099
73.67200000000594,,,,,,625.2736533482453,,,,,,76.009,0.099
76.6710000000021,,,,,,971.9025762473183,,,,,,71.708,0.099
76.72000000000116,333.3830933356259,620.4123675186338,,,,,44.718,57.915,,,,,0.099
80.75,314.10557923515506,,,,,,86.875,,,,,,0.099
82.65200000000186,,,,,,710.6371157896709,,,,,,131.812,0.099
82.74000000000524,461.0470350072693,,758.1653240542781,,,,58.926,,71.509,,,,0.099
88.72000000000116,,541.2363796563899,,711.5720518899996,,,,90.3,,126.164,,,0.099
92.63000000000466,,,,,,721.0840317166294,,,,,,85.309,0.099
92.69400000000314,,,,,563.8876100470648,,,,,,132.242,,0.099
94.74000000000524,,607.8691364039285,,521.0357556257458,,,,54.608,,89.88,,,0.099
97.72000000000116,221.8869851737645,,,663.1122449004672,,,79.209,,,78.273,,,0.099
98.65200000000186,,,,,,450.39404782910407,,,,,,90.55,0.099
102.7300000000032,266.23960498626394,582.0233589146528,,,,,52.806,45.909,,,,,0.099
106.85000000000582,138.69119755321822,,548.6599815502298,,,,105.51,,76.891,,,,0.099
109.70999999999913,400.4500228521823,492.83729650347556,,,,,62.345,53.018,,,,,0.099
115.7300000000032,,,729.5169408223542,,,,,,118.561,,,,0.099
115.74000000000524,,475.37430894631825,,,,,,100.014,,,,,0.099
119.7300000000032,,554.6589509056475,573.1435747209721,,,,,76.588,75.902,,,,0.099
122.76000000000204,,803.0902267929339,,585.997614475137,,,,77.98,,135.544,,,0.099
128.72000000000116,79.03237909469541,,,629.5809556917893,,,44.433,,,100.856,,,0.099
135.70000000000437,81.10921143189684,431.8899285569216,,,,,64.644,53.236,,,,,0.099
151.70999999999913,,202.18126970114406,262.2997617213905,,,,,64.145,103.281,,,,0.099
154.6800000000003,,409.51223823624656,,,,,,75.05,,,,,0.099
154.69000000000233,,,792.9681830101742,,,,,,94.032,,,,0.099
158.69000000000233,135.3045131856505,,485.32284319970233,,,,57.671,,81.783,,,,0.099
