relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-44.80999999999767,59.11170308580515,,,173.5102700792548,,,57.942,,,105.319,,,0.049
-11.889999999999418,,89.440449455923,,,,,,87.955,,,,,0.049
0.0,344.69969752050304,,,,,,54.327,,,,,,0.049
0.010000000002037268,,,,141.69967946702687,,,,,,90.711,,,0.049
0.9639999999999418,,,,,445.770930482467,,,,,,78.331,,0.049
3.036000000000058,,,,,663.3452568193356,,,,,,84.08,,0.049
4.0900000000037835,695.7397747825851,,643.8130798716622,,,,50.532,,52.992,,,,0.049
4.988000000004831,,,,,814.8841422113046,,,,,,67.236,,0.049
5.930000000000291,,,,,,1010.5151079931941,,,,,,72.846,0.049
6.033000000003085,,,,,827.7868709980945,,,,,,96.706,,0.049
6.948000000003958,,,,,978.5513906544035,,,,,,74.112,,0.049
7.004000000000815,,,,,,967.6934351005956,,,,,,81.239,0.049
7.05000000000291,1007.4596036862918,754.2598674267845,,,,,48.087,42.978,,,,,0.049
7.959000000002561,,,,,,977.9623136722836,,,,,,85.837,0.049
8.968000000000757,,,,,1028.70223359563,,,,,,83.809,,0.049
9.88799999999901,,,,,,1060.4431853405954,,,,,,102.22,0.049
10.005000000004657,,,,,1068.5394227532092,,,,,,117.248,,0.049
12.935000000004948,,,,,,1248.9479229066221,,,,,,73.019,0.049
12.956000000005588,,,,,889.0840914560996,,,,,,70.991,,0.049
14.00800000000163,,,,,,1209.0771043675732,,,,,,83.111,0.049
15.942000000002736,,,,,1052.9724269280753,,,,,,114.996,,0.049
15.980000000003201,,,,,,1163.039756858927,,,,,,90.925,0.049
16.94100000000617,,,,,1052.1374586565807,,,,,,158.599,,0.049
17.970000000001164,,,,,1134.7813612276182,,,,,,197.174,,0.049
18.020000000004075,,,,384.6850924936268,,,,,,111.635,,,0.049
18.030000000006112,,1108.0855040801846,,,,,,89.136,,,,,0.049
18.94000000000233,,,,,763.4842136703824,,,,,,189.873,,0.049
25.030000000006112,,687.2901155816401,,,,,,66.065,,,,,0.049
25.040000000000873,,,529.9091970375538,,,,,,73.314,,,,0.049
26.93300000000454,,,,,,924.0241009213403,,,,,,121.315,0.049
27.05000000000291,,450.79374174161256,,258.06642516248627,,,,105.782,,119.583,,,0.049
28.9800000000032,514.765101452816,,,179.6167052975026,,,60.46,,,90.914,,,0.049
31.0,304.67980480647117,,483.4670779724862,,,,39.965,,37.35,,,,0.049
32.99000000000524,251.40789417074018,,,,,,55.686,,,,,,0.049
33.0,,541.5746864734422,,,,,,38.036,,,,,0.049
34.895000000004075,,,,,,745.6641074289557,,,,,,130.962,0.049
34.942000000002736,,,,,413.5292591494506,,,,,,97.431,,0.049
36.95999999999913,,,626.3346521927507,,,,,,148.772,,,,0.049
40.895000000004075,,,,,,623.0558725923001,,,,,,96.32,0.049
42.970000000001164,178.56007580603935,,,400.3705432942486,,,48.547,,,79.057,,,0.049
43.95300000000134,,,,,,387.0809207401824,,,,,,81.88,0.049
45.89700000000448,,,,,,527.8730861905996,,,,,,131.488,0.049
53.9800000000032,,214.10201934378958,249.8589491364887,,,,,61.735,49.391,,,,0.049
54.91000000000349,,257.487362260149,,466.2308220855918,,,,49.788,,161.867,,,0.049
57.93000000000029,,83.99426638772977,230.5483691856134,,,,,50.057,61.29,,,,0.049
58.83499999999913,,,,,,358.96623028274377,,,,,,97.384,0.049
63.92000000000553,85.66756443702985,107.63930073100286,,,,,52.299,56.735,,,,,0.049
65.75400000000081,,,,,,375.6439956535476,,,,,,81.797,0.049
67.75400000000081,,,,,,319.55766496975184,,,,,,70.568,0.049
67.84000000000378,62.197676506376816,72.38674489895428,,,,,69.006,71.538,,,,,0.049
84.9800000000032,,,86.35297473971052,,,,,,83.607,,,,0.049
93.84000000000378,195.93339945238745,,,,,,106.709,,,,,,0.049
108.87000000000262,,263.39160401558667,,,,,,109.007,,,,,0.049
110.93000000000029,,,,258.846311510437,,,,,,289.38,,,0.049
