relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-70.85000000000582,,,,200.26451648528982,,,,,,76.725,,,0.04
-65.81999999999971,,,,351.99501214180754,,,,,,171.901,,,0.04
-43.86000000000058,69.96553166525396,,,93.48290825297599,,,43.358,,,87.667,,,0.04
-42.85000000000582,,,50.55554746913592,,,,,,53.34,,,,0.04
-40.88999999999942,,72.2513295018944,193.2502878324208,,,,,52.261,54.971,,,,0.04
-38.86000000000058,,,,335.3795618657002,,,,,,108.273,,,0.04
-29.810000000004948,,,124.2405232987033,,,,,,78.22,,,,0.04
-21.889999999999418,82.32099605740927,,,,,,64.843,,,,,,0.04
-11.930000000000291,,49.053045224969566,171.742171279174,,,,,49.053,47.746,,,,0.04
-8.790000000000873,,237.659591634095,,,,,,90.115,,,,,0.04
-2.970000000001164,,,386.93378331702587,,,,,,118.101,,,,0.04
-1.9599999999991269,,,,,,438.1308813088916,,,,,,98.097,0.04
0.0,481.60708687001994,,361.97180080416155,,,,65.711,,75.794,,,,0.04
0.9459999999962747,,,,,,441.3879039633226,,,,,,74.084,0.04
0.9680000000007567,,,,,522.5647683540648,,,,,,78.141,,0.04
1.977999999995518,,,,,395.3700537628197,,,,,,73.605,,0.04
3.94199999999546,,,,,,476.8425616933229,,,,,,60.875,0.04
3.9799999999959255,,542.0531305239024,,,,,,51.077,,,,,0.04
3.9839999999967404,,,,,571.6960946529324,,,,,,63.498,,0.04
3.9899999999979627,563.563476716412,,,,,,55.268,,,,,,0.04
4.924999999995634,,,,,471.85674795825474,,,,,,66.35,,0.04
5.983000000000175,,,,,496.61908584173227,,,,,,70.117,,0.04
6.934999999997672,,,,,,539.7245372637336,,,,,,76.556,0.04
6.9979999999995925,,,,,589.2594780254926,,,,,,76.896,,0.04
7.938999999998487,,,,,,640.5454958341734,,,,,,63.193,0.04
7.951000000000931,,,,,499.4626289238834,,,,,,67.305,,0.04
8.956999999994878,,,,,,482.19870736087006,,,,,,111.928,0.04
9.007999999994354,,,,,372.63819022857524,,,,,,87.58,,0.04
9.932999999997264,,,,,413.05649618684845,,,,,,72.638,,0.04
9.99699999999575,,,,,,561.2786671215147,,,,,,77.008,0.04
10.897999999993772,,,,,,531.5974575040501,,,,,,86.979,0.04
10.922999999995227,,,,,398.9651360521545,,,,,,83.856,,0.04
13.881999999997788,,,,,319.85135085616946,,,,,,56.269,,0.04
13.947999999996682,,,,,,450.0618333555874,,,,,,61.802,0.04
14.902999999998428,,,,,257.26044080291564,,,,,,67.58,,0.04
14.97099999999773,,,,,,357.3771260271385,,,,,,74.857,0.04
15.918999999994412,,,,,,503.07758683376557,,,,,,98.58,0.04
16.994999999995343,,,,,,370.33299122169115,,,,,,90.261,0.04
18.989999999997963,,582.3542006838626,,,,,,69.495,,,,,0.04
19.0,,,444.62117260467033,,,,,,49.006,,,,0.04
24.947999999996682,,,,,,460.4038260925186,,,,,,132.922,0.04
25.049999999995634,,345.7453296528254,,,,,,68.436,,,,,0.04
25.05999999999767,,,,489.76747293998653,,,,,,72.733,,,0.04
27.05999999999767,,326.8895109644792,336.30746430075095,,,,,85.994,86.592,,,,0.04
35.86999999999534,69.44433908774954,,,,,,39.248,,,,,,0.04
45.86999999999534,,,163.94979502070132,,,,,,120.41,,,,0.04
51.849999999998545,,,,189.9624090008989,,,,,,91.739,,,0.04
55.86999999999534,,145.18079144320996,,,,,,102.464,,,,,0.04
58.0,,,137.59275519226344,,,,,,85.546,,,,0.04
65.86999999999534,,91.93805276755404,,,,,,54.692,,,,,0.04
72.90999999999622,,,249.51152321559732,,,,,,99.428,,,,0.04
72.91999999999825,94.20784431628212,,,,,,66.415,,,,,,0.04
81.87999999999738,,,107.61135431337314,,,,,,90.764,,,,0.04
81.88999999999942,,156.1133414836028,,,,,,71.86,,,,,0.04
89.86000000000058,,,161.83415467971238,,,,,,71.863,,,,0.04
