relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-178.6099999999933,190.5017953733248,217.86095131714237,,,,,77.335,70.675,,,,,0.012
-176.61999999999534,,,133.5965147807353,,,,,,77.577,,,,0.012
-118.73999999999796,132.82643376646774,,,,,,63.742,,,,,,0.012
-115.64999999999418,62.18350994231338,,111.80492868738456,,,,81.257,,119.371,,,,0.012
-113.7699999999968,223.330816465903,,,,,,165.982,,,,,,0.012
-90.72999999999593,150.51657021557412,,,,,,141.965,,,,,,0.012
-80.89999999999418,271.0176785513935,,,,,,65.569,,,,,,0.012
-77.89999999999418,208.26271318627582,,,,,,132.901,,,,,,0.012
-60.88999999999942,156.20926549301825,,,,,,76.297,,,,,,0.012
-44.88999999999942,,217.9576535852493,,,,,,148.641,,,,,0.012
-32.95999999999913,171.76659290510088,,,,,,59.114,,,,,,0.012
-27.93000000000029,398.33357496207606,,,,,,117.863,,,,,,0.012
-24.0,99.48216598119711,,,,,,68.645,,,,,,0.012
-18.989999999997963,137.30439593204912,,,,,,83.076,,,,,,0.012
-12.0,,,,153.78633996728502,,,,,,105.003,,,0.012
-9.930000000000291,,181.74779791686487,,,,,,108.955,,,,,0.012
-5.989999999997963,,,,91.5564808489272,,,,,,86.333,,,0.012
-5.9799999999959255,177.739290930695,,,,,,51.883,,,,,,0.012
0.0,348.51598564438075,,,,,,55.411,,,,,,0.012
4.060000000004948,96.85805100689898,,,,,,91.484,,,,,,0.012
22.010000000002037,,,130.87818290723484,,,,,,168.523,,,,0.012
23.99000000000524,475.84645468879603,,,,,,71.699,,,,,,0.012
24.0,,,,226.75722933536431,,,,,,140.259,,,0.012
28.0,960.820582606319,,940.4927913183842,,,,117.898,,192.65,,,,0.012
41.9800000000032,,2475.520453675859,1594.002443492864,,,,,141.495,133.382,,,,0.012
45.970000000001164,,2104.1487667290785,,835.466104347809,,,,209.357,,195.67,,,0.012
47.970000000001164,,,1279.3356164862257,,,,,,133.946,,,,0.012
47.9800000000032,,2545.4331072745786,,,,,,142.25,,,,,0.012
49.970000000001164,,1988.72329352058,,518.632653514544,,,,78.48,,130.483,,,0.012
55.970000000001164,1412.9927528939102,,845.2817367648772,,,,95.726,,97.803,,,,0.012
157.38000000000466,282.9214385062026,,,,,,68.913,,,,,,0.012
166.38000000000466,,,,168.30426821773673,,,,,,145.543,,,0.012
169.36000000000058,,,166.28389392076141,,,,,,132.465,,,,0.012
181.38000000000466,208.81439146330004,,,,,,60.205,,,,,,0.012
190.31000000000495,,84.3099753237905,,,,,,93.931,,,,,0.012
194.3000000000029,,,130.34411545049528,,,,,,173.798,,,,0.012
196.3000000000029,,174.47146661558403,,,,,,230.571,,,,,0.012
