relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-125.65499999999884,,299.6053473256967,,,,,,159.157,,,,,0.025
-120.625,,,,298.7620866800774,,,,,,152.968,,,0.025
-108.74499999999534,,,201.99799007450113,,,,,,133.444,,,,0.025
-100.72499999999854,135.05629342902944,,,,,,55.448,,,,,,0.025
-95.77499999999418,,,63.15290231898702,,,,,,80.74,,,,0.025
-90.83499999999913,,,,217.17829734765033,,,,,,81.116,,,0.025
-87.7349999999933,,,,181.23497811154925,,,,,,101.339,,,0.025
-77.83499999999913,50.81121386785395,,,,,,62.366,,,,,,0.025
-75.75499999999738,100.38639114675304,,,,,,91.419,,,,,,0.025
-61.86499999999796,,,112.78460498173956,,,,,,52.044,,,,0.025
-42.93499999999767,,,,87.37682523430337,,,,,,73.257,,,0.025
-39.93499999999767,,94.49077851034703,,,,,,83.85,,,,,0.025
-37.83499999999913,,95.63859010699467,61.27263660659347,,,,,85.104,62.433,,,,0.025
-33.83499999999913,,153.78659829428108,,,,,,71.227,,,,,0.025
-31.854999999995925,,77.71066405954073,69.39851826032093,,,,,52.925,53.703,,,,0.025
-25.93499999999767,,,157.8994915664978,,,,,,84.405,,,,0.025
-11.834999999999127,,,,104.09248180305482,,,,,,136.037,,,0.025
-8.844999999993888,,,122.83566980654551,,,,,,61.422,,,,0.025
-5.914999999993597,,52.03872261880787,144.7428545400552,,,,,64.929,93.113,,,,0.025
-2.0319999999992433,,,,,214.75640966624516,,,,,,54.208,,0.025
-2.014999999999418,,,,,,266.5882525664819,,,,,,73.995,0.025
-0.9699999999938882,,,,,327.76332355053654,,,,,,64.618,,0.025
0.0,,,,,347.8641891879497,,,,,,57.869,,0.025
0.16500000000087311,424.5704150303401,,225.78126215215462,,,,77.615,,73.821,,,,0.025
0.9639999999999418,,,,,,466.0665470911915,,,,,,73.115,0.025
1.0030000000042492,,,,,287.93068795119683,,,,,,59.91,,0.025
1.9680000000007567,,,,,,509.0242829897494,,,,,,76.23,0.025
2.0380000000004657,,,,,523.9217657752432,,,,,,91.001,,0.025
2.055000000000291,542.454822831286,,,147.72189798525798,,,74.597,,,98.451,,,0.025
2.996000000006461,,,,,519.0513998504331,,,,,,70.935,,0.025
3.0170000000071013,,,,,,546.6178838689011,,,,,,132.415,0.025
3.981000000007043,,,,,491.70331941244785,,,,,,64.836,,0.025
4.04500000000553,573.0578712179775,,,,,,57.42,,,,,,0.025
4.0460000000020955,,,,,,520.7785459601922,,,,,,108.199,0.025
4.055000000000291,,,444.2785838529091,,,,,,54.029,,,,0.025
4.970000000001164,,,,,496.259741889143,,,,,,59.771,,0.025
4.991000000001804,,,,,,472.6712404430045,,,,,,90.876,0.025
5.991000000001804,,,,,,540.0273496552104,,,,,,88.488,0.025
6.0200000000040745,,,,,544.9612798977296,,,,,,85.944,,0.025
6.055000000000291,453.0992700909753,449.3236854784401,,,,,51.823,45.332,,,,,0.025
7.0,,,,,555.8771784382666,,,,,,74.779,,0.025
7.017000000007101,,,,,,598.2268531601784,,,,,,109.058,0.025
7.959000000002561,,,,,511.13599460285957,,,,,,59.089,,0.025
8.049000000006345,,,,,,542.9223488189833,,,,,,102.746,0.025
8.969000000004598,,,,,,642.6974385088793,,,,,,123.343,0.025
9.957000000002154,,,,,,822.043616952634,,,,,,104.355,0.025
10.017000000007101,,,,,591.0770269383967,,,,,,112.769,,0.025
10.952000000004773,,,,,,626.5440402402879,,,,,,98.71,0.025
11.095000000001164,544.0256872737133,,,,,,67.898,,,,,,0.025
11.105000000003201,,518.2528482468078,,,,,,53.518,,,,,0.025
12.035000000003492,554.8151887208346,,444.58987228751647,,,,59.948,,54.409,,,,0.025
12.963999999999942,,,,,373.7348263042319,,,,,,80.069,,0.025
14.046000000002095,,,,,387.3340928303458,,,,,,83.766,,0.025
14.961000000002969,,,,,,587.1565854774892,,,,,,113.947,0.025
15.028000000005704,,,,,508.5586885929971,,,,,,122.134,,0.025
15.94100000000617,,,,,,581.9285960169512,,,,,,121.346,0.025
15.958000000005995,,,,,423.9700204816503,,,,,,121.561,,0.025
16.94600000000355,,,,,,544.0398315661733,,,,,,164.029,0.025
17.926000000006752,,,,,,907.5168879745459,,,,,,192.506,0.025
18.965000000003783,,,,,,671.9284345801123,,,,,,148.015,0.025
21.950000000004366,,,,,546.6359984942618,,,,,,151.452,,0.025
22.94000000000233,,,,,,854.6782519955714,,,,,,177.45,0.025
25.05500000000029,,405.80337979223907,,201.3020461954473,,,,86.667,,87.805,,,0.025
27.095000000001164,,,297.7829038320782,,,,,,92.52,,,,0.025
31.035000000003492,62.27471943560148,,,,,,44.635,,,,,,0.025
31.04500000000553,,,239.8989238760428,,,,,,60.878,,,,0.025
37.025000000001455,57.075103775996325,,142.64009071836173,,,,54.683,,80.362,,,,0.025
39.025000000001455,,98.6290530376321,,,,,,47.565,,,,,0.025
47.015000000006694,,305.38047332583506,,760.5489185509231,,,,204.875,,279.974,,,0.025
50.015000000006694,,139.3912162549941,,,,,,102.995,,,,,0.025
57.015000000006694,,87.78637066301513,,571.8576190820186,,,,113.164,,225.576,,,0.025
60.015000000006694,150.39640979379809,,,,,,84.673,,,,,,0.025
77.00500000000466,,,217.09025619264668,,,,,,103.181,,,,0.025
82.99500000000262,,197.44056780781818,,,,,,163.314,,,,,0.025
