relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-57.900000000001455,57.3479667345079,,,,,,44.277,,,,,,0.025
-52.88999999999942,145.02068338009383,,,,,,90.561,,,,,,0.025
-46.93999999999505,,,120.85616784822008,,,,,,99.598,,,,0.025
-29.909999999996217,146.02734114735168,,,,,,82.251,,,,,,0.025
-27.93000000000029,,117.4915650524119,,,,,,56.981,,,,,0.025
-2.029999999998836,,,109.46593599936496,,,,,,53.305,,,,0.025
-0.13799999999901047,,,,,268.7461977839571,,,,,,60.268,,0.025
0.0,,335.6256271447084,,,,,,57.154,,,,,0.025
0.934000000001106,,,,,352.8671325824029,,,,,,73.923,,0.025
1.919000000001688,,,,,538.1902833681156,,,,,,81.527,,0.025
1.9200000000055297,,,,,,519.8081004165799,,,,,,74.473,0.025
5.894000000000233,,,,,1299.4723870738794,,,,,,67.304,,0.025
5.974999999998545,,,,,,1356.617520101821,,,,,,74.188,0.025
6.868000000002212,,,,,,1660.5510440480787,,,,,,70.77,0.025
7.887000000002445,,,,,,1830.713387672822,,,,,,73.047,0.025
8.908000000003085,,,,,,1877.73806370589,,,,,,81.439,0.025
8.984000000004016,,,,,2009.6750432755373,,,,,,102.268,,0.025
9.836999999999534,,,,,2187.784919092907,,,,,,124.538,,0.025
10.836999999999534,,,,,1989.55720772201,,,,,,163.539,,0.025
11.82100000000355,,,,,2255.625340619176,,,,,,161.456,,0.025
12.849999999998545,,,,,2853.103207791943,,,,,,199.72,,0.025
13.911000000000058,,,,,2799.5779711278606,,,,,,247.59,,0.025
13.92000000000553,,2345.7153038255087,1905.5500632649273,,,,,130.31,129.961,,,,0.025
14.893000000003667,,,,,,2684.330793473692,,,,,,294.189,0.025
15.893000000003667,,,,,,2715.074638995068,,,,,,266.716,0.025
16.872999999999593,,,,,,2725.174461134145,,,,,,214.181,0.025
18.861000000004424,,,,,,2933.4303321302036,,,,,,159.076,0.025
19.860000000000582,,,,,,2953.245501350114,,,,,,161.292,0.025
20.94000000000233,,2465.0611892762017,,1234.5769931610023,,,,134.51,,141.728,,,0.025
23.910000000003492,1923.6316765424754,,,,,,64.059,,,,,,0.025
24.92199999999866,,,,,,2695.4108636366204,,,,,,209.912,0.025
26.83299999999872,,,,,2164.234918005258,,,,,,102.666,,0.025
26.880000000004657,,,,,,2596.869797292305,,,,,,112.887,0.025
27.859000000004016,,,,,1777.4756810832846,,,,,,82.372,,0.025
28.040000000000873,1764.8319573092567,,,,,,88.601,,,,,,0.025
28.05000000000291,,,1600.5699201226316,,,,,,82.078,,,,0.025
28.902000000001863,,,,,,2558.738149164506,,,,,,98.786,0.025
29.8440000000046,,,,,1407.2493849356886,,,,,,106.075,,0.025
29.89900000000489,,,,,,2227.079943610333,,,,,,120.724,0.025
30.875,,,,,,2473.497959339377,,,,,,120.815,0.025
31.87600000000384,,,,,1170.444811757912,,,,,,78.556,,0.025
32.01000000000204,,1814.4365973575952,,,,,,171.248,,,,,0.025
32.020000000004075,1242.1232810054782,,,,,,171.39,,,,,,0.025
32.84100000000035,,,,,1141.6701977465666,,,,,,64.201,,0.025
32.88000000000466,,,,,,2202.520373954985,,,,,,71.176,0.025
33.06000000000495,996.2346196634098,,1635.4686963367185,,,,152.136,,163.948,,,,0.025
33.78900000000431,,,,,,1977.7375212768006,,,,,,75.881,0.025
34.830000000001746,,,,,799.0327427218278,,,,,,67.58,,0.025
35.77900000000227,,,,,727.0442373253643,,,,,,79.005,,0.025
35.81999999999971,,,,,,1809.1958543848243,,,,,,83.943,0.025
36.775000000001455,,,,,697.5303713432888,,,,,,76.957,,0.025
36.87299999999959,,,,,,1726.1634009423012,,,,,,68.517,0.025
37.77900000000227,,,,,879.2018083051511,,,,,,83.519,,0.025
37.88000000000466,703.9603424777928,,,946.385618588458,,,86.171,,,106.125,,,0.025
37.88300000000163,,,,,,1657.0221511622156,,,,,,69.961,0.025
38.796000000002095,,,,,,1600.139447502621,,,,,,85.691,0.025
38.88300000000163,,,,,690.3330056713024,,,,,,53.057,,0.025
39.846000000005006,,,,,598.3316660772689,,,,,,124.573,,0.025
40.88000000000466,,1283.1451610013642,,,,,,289.443,,,,,0.025
42.79200000000128,,,,,894.0356362285819,,,,,,253.739,,0.025
44.8070000000007,,,,,,1278.8021644751261,,,,,,273.504,0.025
46.84000000000378,,,,,,1377.481554707251,,,,,,164.914,0.025
47.87000000000262,,827.840549661649,,911.8250929855366,,,,187.232,,165.08,,,0.025
48.76800000000367,,,,,,1141.10127874244,,,,,,133.814,0.025
50.75800000000163,,,,,292.08937801896263,,,,,,73.368,,0.025
50.770000000004075,,,,,,1066.5327224036337,,,,,,76.421,0.025
50.99000000000524,,646.207320672358,1098.2611134249455,,,,,103.502,123.827,,,,0.025
54.75600000000122,,,,,335.2841782484521,,,,,,69.717,,0.025
54.809000000001106,,,,,,661.618403698143,,,,,,85.024,0.025
56.70799999999872,,,,,,584.8954800358066,,,,,,75.298,0.025
58.788000000000466,,,,,,723.6136453843556,,,,,,86.547,0.025
60.71800000000076,,,,,297.1262612456445,,,,,,61.271,,0.025
60.75900000000547,,,,,,631.8951052860427,,,,,,64.63,0.025
62.779999999998836,196.2123834450755,354.6080122744801,,,,,51.061,54.666,,,,,0.025
63.724999999998545,,,,,,344.8360064881419,,,,,,63.24,0.025
63.770000000004075,,,320.00659996050746,,,,,,105.138,,,,0.025
63.779999999998836,275.76987305763765,,,,,,96.988,,,,,,0.025
65.69000000000233,,,,,,600.0566494713665,,,,,,84.375,0.025
65.78500000000349,,,,,170.2867444886673,,,,,,51.992,,0.025
65.80000000000291,228.10038807463815,,431.5982808069395,,,,60.532,,75.414,,,,0.025
67.93000000000029,,,,416.230198813657,,,,,,130.877,,,0.025
74.92000000000553,,365.26505044446367,,,,,,134.392,,,,,0.025
75.75700000000506,,,,,,681.2854465500042,,,,,,131.43,0.025
