relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-274.08899999999994,176.33469740370384,,,,,,123.944,,,,,,0.025
-203.34300000000076,,,,,723.1114592658704,,,,,,204.585,,0.025
-31.828999999997905,,,78.09474718014107,,,,,,43.618,,,,0.025
-26.828999999997905,51.21996475391114,,,,,,53.702,,,,,,0.025
-22.85899999999674,,,141.47954893698994,,,,,,48.966,,,,0.025
-2.838999999999942,,82.47058146634109,,,,,,62.769,,,,,0.025
0.0,,,,,514.2870959013375,,,,,,74.037,,0.025
0.9860000000044238,,,,,,511.03488060311463,,,,,,79.522,0.025
1.044000000001688,,,,,483.91837039500314,,,,,,73.19,,0.025
2.0129999999990105,,,,,,687.212679600889,,,,,,99.867,0.025
2.0449999999982538,,,,,626.2386931272696,,,,,,89.191,,0.025
3.0,,,,,,742.4137133173442,,,,,,102.773,0.025
4.036000000000058,,,,,,1069.3002893243058,,,,,,107.31,0.025
5.0370000000039,,,,,,934.8766994846945,,,,,,80.34,0.025
5.14100000000326,,847.3098530195733,812.9715306596602,,,,,57.619,64.924,,,,0.025
5.974000000001979,,,,,966.833394499747,,,,,,124.973,,0.025
6.022000000004482,,,,,,1028.2725528682633,,,,,,72.735,0.025
6.966000000000349,,,,,1314.164091949853,,,,,,197.078,,0.025
7.940000000002328,,,,,,1123.641972273185,,,,,,244.462,0.025
8.020000000004075,,,,,1127.203344259108,,,,,,224.623,,0.025
8.989000000001397,,,,,,1151.5910217621154,,,,,,313.181,0.025
9.059000000001106,,,,,1357.4479842389426,,,,,,312.73,,0.025
10.001000000003842,,,,,,1433.5049075992702,,,,,,242.369,0.025
10.150999999998021,,1529.7474966681857,,679.5820042225192,,,,98.855,,93.191,,,0.025
10.959999999999127,,,,,,1017.0639612977641,,,,,,300.736,0.025
17.101000000002387,1447.340142081436,,,730.8054001102907,,,72.245,,,86.253,,,0.025
19.018000000003667,,,,,,1577.15480967226,,,,,,223.103,0.025
21.95799999999872,,,,,1332.6422093588337,,,,,,113.348,,0.025
21.980999999999767,,,,,,1246.8558813778263,,,,,,117.562,0.025
24.171000000002095,1065.3233033378583,,849.9187519081933,,,,76.424,,57.819,,,,0.025
25.02100000000064,,,,,,1249.3892779372452,,,,,,115.531,0.025
25.06300000000192,,,,,907.1851999776663,,,,,,115.938,,0.025
26.978000000002794,,,,,,1148.9704920450206,,,,,,80.514,0.025
27.120999999999185,675.7532700295856,455.1041155987109,,,,,113.606,162.475,,,,,0.025
27.978000000002794,,,,,792.3847780840425,,,,,,72.376,,0.025
27.980999999999767,,,,,,1017.8176631116584,,,,,,86.111,0.025
29.911000000000058,,,,,,1054.8851975513435,,,,,,95.384,0.025
30.181000000004133,563.5739809787143,,462.5558111694368,,,,63.739,,75.054,,,,0.025
30.870999999999185,,,,,666.1869362801381,,,,,,84.328,,0.025
30.955000000001746,,,,,,913.3319370849234,,,,,,84.458,0.025
32.87200000000303,,,,,,859.0185724122888,,,,,,124.653,0.025
35.90400000000227,,,,,917.2186628802584,,,,,,205.84,,0.025
36.08099999999831,,739.9777996687275,,251.5814991240423,,,,107.08,,127.836,,,0.025
44.02100000000064,,505.5526630018304,,,,,,73.411,,,,,0.025
44.03100000000268,,,678.9691717056219,,,,,,79.056,,,,0.025
44.03900000000431,,,,,,741.6120882667285,,,,,,150.564,0.025
46.06100000000151,138.82419388401405,,,388.9459001877216,,,123.073,,,165.17,,,0.025
48.041000000004715,210.7947887258498,,523.8023329744693,,,,72.918,,69.121,,,,0.025
48.984000000004016,,,,,,718.8311241924343,,,,,,109.818,0.025
50.87800000000425,,,,,,492.0572788613618,,,,,,79.489,0.025
52.87600000000384,,,,,,397.49710865835243,,,,,,98.108,0.025
53.0109999999986,194.18928397977643,,451.50925010912476,,,,69.143,,74.926,,,,0.025
54.92399999999907,,,,,,390.5504176626626,,,,,,100.586,0.025
56.9320000000007,,,,,,421.34763224311496,,,,,,86.187,0.025
56.940999999998894,111.22807355805188,,319.24822612317536,,,,55.231,,66.834,,,,0.025
61.0109999999986,120.35974228911677,,,229.65966592737627,,,38.802,,,76.206,,,0.025
62.98099999999977,,100.0505572331107,,225.07450440418313,,,,92.566,,150.223,,,0.025
64.8550000000032,,,,,,826.8272273090263,,,,,,183.554,0.025
72.02100000000064,,63.34392426896862,,,,,,67.088,,,,,0.025
72.03100000000268,,,196.90246999391462,,,,,,77.026,,,,0.025
74.9409999999989,,124.4898211550778,,,,,,79.237,,,,,0.025
87.95100000000093,148.53202742787232,,112.4304882725721,,,,46.77,,56.93,,,,0.025
98.87099999999919,,,,178.39383400744876,,,,,,113.897,,,0.025
102.89100000000326,,259.95492768808214,118.32407668886343,,,,,70.401,72.044,,,,0.025
105.80099999999948,,,,117.06548734068524,,,,,,88.667,,,0.025
107.82100000000355,,54.71624246163472,,,,,,47.804,,,,,0.025
113.91100000000006,,,269.022150576894,,,,,,106.502,,,,0.025
