relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-123.7899999999936,73.78830418209532,,,,,,48.159,,,,,,0.01
-108.77999999999884,,,103.36615129815897,,,,,,85.021,,,,0.01
-105.79999999999563,,,,77.5140765402158,,,,,,105.386,,,0.01
-93.88999999999942,52.78835381582723,,,,,,50.929,,,,,,0.01
-89.75,79.69124444014673,,,,,,48.798,,,,,,0.01
-85.88999999999942,73.2764885527845,,,,,,89.198,,,,,,0.01
-80.90999999999622,95.56580071652853,,,,,,56.164,,,,,,0.01
-73.87999999999738,,177.1120909990838,,,,,,93.922,,,,,0.01
-62.919999999998254,,,98.22623487721151,,,,,,52.895,,,,0.01
-54.82999999999447,49.87565759811294,,,,,,36.202,,,,,,0.01
-48.0,,,,422.474731892096,,,,,,157.454,,,0.01
-41.88999999999942,,224.59338339407338,,153.98792702907704,,,,78.187,,105.131,,,0.01
-33.98999999999796,,,89.95311658334835,,,,,,102.002,,,,0.01
-13.969999999993888,,138.7865081030698,,,,,,76.587,,,,,0.01
-11.083999999995285,,,,,244.26620231840388,,,,,,73.173,,0.01
-4.0,37.77819726894816,,,,,,45.479,,,,,,0.01
-2.0089999999981956,,,,,,434.9063443258989,,,,,,125.692,0.01
-1.0899999999965075,,,,,,388.6931669356625,,,,,,91.401,0.01
-1.055000000000291,,,,,345.9234023728879,,,,,,83.946,,0.01
-0.09100000000034925,,,,,327.78334808286104,,,,,,81.46,,0.01
-0.05799999999726424,,,,,,339.12428021790237,,,,,,98.299,0.01
0.0,,,305.92220820222417,,,,,,48.98,,,,0.01
0.9140000000043074,,,,,,483.1962742971838,,,,,,133.304,0.01
1.9170000000012806,,,,,,671.9541479044059,,,,,,116.892,0.01
1.956000000005588,,,,,685.542117178444,,,,,,115.588,,0.01
2.930000000000291,,,,,,802.2763222044288,,,,,,127.643,0.01
2.971000000005006,,,,,1013.7001836194803,,,,,,265.944,,0.01
3.0500000000029104,764.8190195162584,779.5233730078418,,,,,73.1,78.544,,,,,0.01
3.9800000000032014,1089.2584299509015,,813.3431830370101,,,,60.677,,61.727,,,,0.01
4.9100000000034925,,,,,1450.746695371263,,,,,,110.011,,0.01
5.980999999999767,,,,,1742.855012878665,,,,,,101.237,,0.01
6.905000000006112,,,,,,1756.2249113868938,,,,,,133.444,0.01
6.959000000002561,,,,,1976.9690096242105,,,,,,125.607,,0.01
7.902000000001863,,,,,2147.602030740519,,,,,,151.398,,0.01
7.92000000000553,,,,,,1863.1895689893547,,,,,,175.595,0.01
8.906000000002678,,,,,,1801.3712567337514,,,,,,212.666,0.01
8.996000000006461,,,,,2414.2765956419353,,,,,,320.606,,0.01
9.871000000006461,,,,,,2039.1754659608614,,,,,,197.59,0.01
9.985000000000582,,,,,2320.4618617722126,,,,,,319.987,,0.01
10.903000000005704,,,,,,2472.4500022048906,,,,,,160.474,0.01
10.978000000002794,,,,,2613.278663169935,,,,,,245.926,,0.01
11.934000000001106,,,,,,2451.4010231298093,,,,,,161.689,0.01
11.973000000005413,,,,,2806.404000162617,,,,,,212.563,,0.01
12.953000000001339,,,,,,2639.409734370973,,,,,,188.698,0.01
12.983000000000175,,,,,3354.0774046901242,,,,,,245.081,,0.01
13.89600000000064,,,,,3111.454434516177,,,,,,213.576,,0.01
13.905000000006112,,,,,,2682.847699791916,,,,,,185.816,0.01
14.923000000002503,,,,,3133.276147866309,,,,,,271.329,,0.01
