relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-89.86999999999534,,155.61538831420827,,,,,,85.957,,,,,0.104
-77.90999999999622,63.70119105785964,,,,,,50.47,,,,,,0.104
-73.87999999999738,104.02805772666262,,,,,,34.455,,,,,,0.104
-45.94999999999709,296.8740187725274,,,,,,79.842,,,,,,0.104
-20.05999999999767,74.23761292731207,,,,,,67.122,,,,,,0.104
-17.0199999999968,,50.48129241861212,,,,,,24.49,,,,,0.104
0.0,,900.3240767027289,1153.5772987568496,,,,,99.202,86.397,,,,0.104
1.9900000000052387,,1072.5193997138497,,961.5991113032268,,,,76.95,,69.487,,,0.104
2.805000000000291,,,,,949.474247161432,,,,,,129.575,,0.104
2.8800000000046566,,,,,,1537.1491911372987,,,,,,128.831,0.104
4.0,,1029.8160641690145,1115.2321523283003,,,,,84.408,82.709,,,,0.104
4.9100000000034925,,1112.1992526803672,,,,,,61.007,,,,,0.104
4.919999999998254,,,,1039.8454317387832,,,,,,118.17,,,0.104
8.880000000004657,882.457886335986,,1429.0038634886505,,,,68.623,,75.969,,,,0.104
12.830000000001746,809.1077447294889,,,,,,66.877,,,,,,0.104
12.840000000003783,,1321.0598950767487,,,,,,65.417,,,,,0.104
12.853000000002794,,,,,1102.2518126148889,,,,,,169.77,,0.104
14.880000000004657,733.9968147289029,,1343.889412574988,,,,75.064,,105.42,,,,0.104
15.791000000004715,,,,,,1315.3394794606138,,,,,,102.708,0.104
18.791000000004715,,,,,722.248276254857,,,,,,92.77,,0.104
18.859000000004016,,,,,,1263.2977473150909,,,,,,109.317,0.104
27.790000000000873,,,,1255.5992226504172,,,,,,177.847,,,0.104
29.84900000000198,,,,,,969.699006243552,,,,,,183.873,0.104
30.93000000000029,,576.8370093858014,880.3472978678645,,,,,87.404,83.458,,,,0.104
31.810000000004948,,715.3329663231607,,437.61671700873575,,,,118.43,,246.317,,,0.104
33.81000000000495,,,687.21993737782,,,,,,53.402,,,,0.104
34.788000000000466,,,,,,589.4287184454868,,,,,,83.001,0.104
36.81000000000495,75.58934356746886,,,696.2452356651513,,,59.18,,,157.651,,,0.104
39.734000000004016,,,,,,458.7844117770358,,,,,,83.889,0.104
41.783000000003085,,,,,,616.6358204424514,,,,,,98.79,0.104
41.81000000000495,172.1892521846626,,627.9366935764008,,,,51.818,,53.708,,,,0.104
43.81000000000495,73.45771388780801,302.02737236570755,,,,,47.124,50.395,,,,,0.104
45.724999999998545,,,,,,406.98805855991066,,,,,,84.865,0.104
47.71399999999994,,,,,,434.6431197633692,,,,,,77.661,0.104
47.84000000000378,,,419.9081892880383,,,,,,80.299,,,,0.104
49.70400000000518,,,,,,489.1372145711954,,,,,,91.752,0.104
55.68899999999849,,,,,,854.982930595819,,,,,,166.934,0.104
59.79000000000087,,419.2272731552399,,,,,,82.339,,,,,0.104
67.83000000000175,,,,195.18536901027773,,,,,,193.872,,,0.104
71.79000000000087,,,294.39350983524423,,,,,,112.561,,,,0.104
88.77999999999884,,338.4191081265456,,301.3209186038221,,,,155.293,,153.078,,,0.104
