relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-54.84300000000076,,,49.684820767780835,,,,,,51.45,,,,0.029
-48.84300000000076,59.486676033802034,,,,,,72.184,,,,,,0.029
-43.84300000000076,,,,98.313688044363,,,,,,75.553,,,0.029
-23.853000000002794,,124.16688879039576,,,,,,81.414,,,,,0.029
-19.853000000002794,104.59690958204858,,,,,,73.389,,,,,,0.029
-6.863000000004831,,408.8028851703423,,401.3683763979978,,,,86.613,,102.255,,,0.029
0.08699999999953434,6475.613963473606,,,4051.023503562423,,,114.735,,,118.739,,,0.029
4.944999999999709,,,,,13903.477168919815,,,,,,173.533,,0.029
4.968000000000757,,,,,,13113.340752862148,,,,,,155.611,0.029
7.156999999999243,15292.249084555257,,9180.435363157403,,,,139.302,,105.574,,,,0.029
8.006000000001222,,,,,,13887.671823466222,,,,,,275.511,0.029
8.049999999995634,,,,,16345.307731996558,,,,,,160.389,,0.029
9.9629999999961,,,,,,16401.223809723197,,,,,,135.774,0.029
10.9629999999961,,,,,17529.618413558153,,,,,,144.874,,0.029
10.968000000000757,,,,,,16352.438007504761,,,,,,140.307,0.029
12.93699999999808,,,,,,15491.258845752454,,,,,,137.113,0.029
13.94999999999709,,,,,,15356.466315351801,,,,,,137.465,0.029
14.050999999999476,,,,,15981.119317445096,,,,,,140.408,,0.029
17.89600000000064,,,,,12672.883172479282,,,,,,211.407,,0.029
18.911000000000058,,,,,12950.183707697764,,,,,,213.171,,0.029
19.06699999999546,,12211.98544448705,,5626.054266456212,,,,130.339,,178.514,,,0.029
19.90799999999581,,,,,11865.747942168618,,,,,,278.723,,0.029
20.900000000001455,,,,,,10698.98016037426,,,,,,310.598,0.029
20.943999999995867,,,,,10437.237073830496,,,,,,373.985,,0.029
21.902000000001863,,,,,,9706.3043585803,,,,,,292.843,0.029
25.949000000000524,,,,,,7872.543836790629,,,,,,300.642,0.029
27.006999999997788,,8340.016852916997,,,,,,98.594,,,,,0.029
27.016999999999825,,,4018.0622521790838,,,,,,98.178,,,,0.029
27.93000000000029,,,,,6287.408831109735,,,,,,139.457,,0.029
27.968999999997322,,,,,,7663.985194797331,,,,,,123.816,0.029
29.04699999999866,6207.354328190604,,,4516.487013522059,,,139.808,,,156.302,,,0.029
31.027000000001863,5159.219236054186,,4217.588363229253,,,,107.246,,82.109,,,,0.029
31.926999999996042,,,,,4202.207863202897,,,,,,123.46,,0.029
31.968999999997322,,,,,,6952.609494578207,,,,,,140.583,0.029
33.866000000001804,,,,,,7295.0254511818475,,,,,,116.89,0.029
33.94799999999668,,,,,3700.1009732585267,,,,,,88.167,,0.029
35.896999999997206,,,,,,7021.140826877043,,,,,,114.727,0.029
35.92199999999866,,,,,3007.761297351613,,,,,,105.62,,0.029
35.99699999999575,3387.387977065382,,4636.614234615869,,,,109.548,,121.672,,,,0.029
37.90999999999622,,,,,,6604.9179050984185,,,,,,115.998,0.029
37.945999999996275,,,,,2548.6004928226807,,,,,,91.311,,0.029
39.90699999999924,,,,,,6278.5121361683105,,,,,,118.658,0.029
39.924999999995634,,,,,2331.215913727521,,,,,,77.719,,0.029
39.92699999999604,2406.19384940305,,4925.440061742493,,,,68.325,,73.326,,,,0.029
41.940999999998894,,,,,2203.8059103218598,,,,,,69.858,,0.029
41.9519999999975,,,,,,5927.798485746283,,,,,,98.285,0.029
45.966999999996915,,4180.80035571743,,3388.973206450002,,,,96.657,,159.818,,,0.029
47.845000000001164,,,,,,3853.839878667793,,,,,,174.751,0.029
