relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-150.75999999999476,,182.98757423511242,,,,,,147.214,,,,,0.045
-124.8599999999933,,,,91.08275128771929,,,,,,116.267,,,0.045
-121.84999999999854,,,,187.7213269794156,,,,,,127.9,,,0.045
-112.75,108.76964680354541,,,,,,61.747,,,,,,0.045
-110.87999999999738,,,,100.93896677573976,,,,,,101.848,,,0.045
-102.88999999999942,,146.78086409211525,,,,,,69.744,,,,,0.045
-96.77999999999884,108.03047623288406,,,181.67928814559994,,,68.723,,,122.469,,,0.045
-92.80999999999767,,,,237.64927175724634,,,,,,110.168,,,0.045
-86.93000000000029,,,,150.54135003162168,,,,,,115.4,,,0.045
-86.91999999999825,,63.3995553852389,,,,,,49.778,,,,,0.045
-79.81999999999971,,119.05196914201859,,,,,,57.693,,,,,0.045
-76.7899999999936,234.07300514518585,,,,,,95.489,,,,,,0.045
-72.82999999999447,,97.83463236513877,,,,,,51.845,,,,,0.045
-69.97999999999593,,,190.7208995180853,,,,,,83.279,,,,0.045
-69.96999999999389,112.14124086877905,,,,,,61.536,,,,,,0.045
-65.86999999999534,,,,198.66274754059893,,,,,,99.865,,,0.045
-64.97999999999593,,115.08275460398085,104.43423314696018,,,,,97.564,74.287,,,,0.045
-61.98999999999796,,194.3936443673946,,276.6762251825018,,,,110.855,,137.168,,,0.045
-55.90999999999622,,,,114.45615349587143,,,,,,134.497,,,0.045
-52.90999999999622,,,,219.82211861419034,,,,,,123.609,,,0.045
-43.86999999999534,198.47892040135778,,,,,,66.008,,,,,,0.045
-40.93999999999505,,116.64864254725828,,,,,,70.36,,,,,0.045
-33.89999999999418,,66.66478763059581,,398.13195140027375,,,,71.623,,115.493,,,0.045
-30.969999999993888,,126.30421010658685,85.12709126331706,,,,,80.577,80.672,,,,0.045
-24.979999999995925,190.54562116341057,,85.32071434568427,,,,80.452,,67.944,,,,0.045
-21.969999999993888,,,,235.21819960805306,,,,,,90.047,,,0.045
-19.0,194.07992573162002,,,,,,63.648,,,,,,0.045
-2.0099999999947613,,503.0770901402211,177.53289605316417,,,,,130.585,211.259,,,,0.045
-0.00999999999476131,,377.39567637471055,,,,,,68.275,,,,,0.045
0.0,,,,741.3663571435562,,,,,,97.657,,,0.045
2.040000000000873,,626.7955832950182,702.5348528860375,,,,,66.515,93.216,,,,0.045
5.980000000003201,1393.4864518029674,,952.2296655362995,,,,63.712,,87.231,,,,0.045
9.980000000003201,1529.5403255197928,,1407.9188856545063,,,,78.456,,88.133,,,,0.045
11.980000000003201,1360.4271642519263,1326.998836749106,,,,,64.856,68.274,,,,,0.045
16.960000000006403,,,1304.4376242146159,,,,,,189.244,,,,0.045
20.960000000006403,1017.062676475794,,1195.045991143137,,,,102.685,,96.27,,,,0.045
31.960000000006403,,789.7858342999663,1436.5437327421216,,,,,109.42,142.815,,,,0.045
33.853000000002794,,,,,,803.4516102809931,,,,,,100.015,0.045
33.89700000000448,,,,,334.6992739070356,,,,,,79.181,,0.045
34.9600000000064,895.3366247638637,,,1082.5590878521332,,,89.744,,,150.299,,,0.045
39.950000000004366,853.4061281470078,683.5712547383819,,,,,74.195,107.036,,,,,0.045
40.824000000000524,,,,,,1140.2149621578521,,,,,,143.549,0.045
40.87000000000262,,,,,561.7054632556279,,,,,,130.037,,0.045
42.94000000000233,,,1058.4735714028145,,,,,,107.619,,,,0.045
42.950000000004366,622.8906719275993,,,,,,110.149,,,,,,0.045
48.83400000000256,,,,,,864.4396978553305,,,,,,110.68,0.045
48.86800000000221,,,,,744.3294455940866,,,,,,159.391,,0.045
134.21800000000076,,,,,375.5394426031419,,,,,,110.861,,0.045
174.33000000000175,,,,179.55994647330536,,,,,,199.353,,,0.045
196.2300000000032,182.42752928279808,,394.28041559827267,,,,71.233,,99.04,,,,0.045
