relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-56.849999999998545,203.20951175682765,,,,,,194.97,,,,,,0.047
-38.87999999999738,,,218.14465974697887,,,,,,123.051,,,,0.047
-24.919999999998254,93.44628277538439,,,,,,52.913,,,,,,0.047
-9.979999999995925,,382.47892581939107,,,,,,135.202,,,,,0.047
-2.970000000001164,,75.58778419651739,,,,,,92.787,,,,,0.047
0.0,655.5654305768278,,,208.3120193846982,,,56.597,,,99.967,,,0.047
1.0210000000006403,,,,,,1314.9520586928747,,,,,,214.388,0.047
2.9360000000015134,,,,,1008.8756302332299,,,,,,107.544,,0.047
2.9510000000009313,,,,,,1392.392937216307,,,,,,111.631,0.047
3.9610000000029686,,,,,1607.036808833098,,,,,,93.501,,0.047
4.139999999999418,1577.213149210138,1374.938732852827,,,,,72.231,81.699,,,,,0.047
5.002999999996973,,,,,,1612.1271589365942,,,,,,115.659,0.047
5.927000000003318,,,,,2016.1640068030404,,,,,,105.014,,0.047
5.959999999999127,1990.4837457183928,,1105.4130322750073,,,,138.391,,111.6,,,,0.047
5.9979999999995925,,,,,,1940.546089432615,,,,,,140.441,0.047
7.951999999997497,,,,,2336.838394710451,,,,,,81.244,,0.047
8.908000000003085,,,,,2406.571441123971,,,,,,77.209,,0.047
8.951999999997497,,,,,,2257.8325927565484,,,,,,72.498,0.047
9.889000000002852,,,,,,2700.608709158178,,,,,,83.264,0.047
10.927999999999884,,,,,2277.5604463191735,,,,,,81.338,,0.047
11.851999999998952,,,,,2682.0889649560427,,,,,,91.885,,0.047
11.9120000000039,,,,,,2695.9953449182112,,,,,,85.06,0.047
12.853000000002794,,,,,2623.7515285877053,,,,,,102.028,,0.047
12.974000000001979,,,,,,2850.4309124992606,,,,,,85.864,0.047
13.879000000000815,,,,,2745.9041578095366,,,,,,95.365,,0.047
13.980000000003201,2513.762103099462,,1424.1388934969289,,,,139.237,,125.046,,,,0.047
13.980999999999767,,,,,,2887.9859753272362,,,,,,84.073,0.047
14.894000000000233,,,,,,2957.595054542808,,,,,,108.454,0.047
14.980999999999767,,,,,2472.675362166309,,,,,,67.324,,0.047
15.834000000002561,,,,,2479.7437233078413,,,,,,134.502,,0.047
15.970000000001164,,2511.9981967694303,1577.9365936445658,,,,,86.333,90.204,,,,0.047
16.89100000000326,,,,,2538.945715858787,,,,,,153.653,,0.047
17.936000000001513,,,,,2814.760361066277,,,,,,192.86,,0.047
18.12000000000262,,2251.9742525056686,,1104.3896571728221,,,,182.284,,142.789,,,0.047
18.864000000001397,,,,,2580.4298916545185,,,,,,245.133,,0.047
20.92199999999866,,,,,,2918.392613239732,,,,,,229.69,0.047
21.843000000000757,,,,,2082.1316541318406,,,,,,224.411,,0.047
21.88300000000163,,,,,,2777.1478152875425,,,,,,196.789,0.047
22.881000000001222,,,,,2320.885434245317,,,,,,206.704,,0.047
22.93000000000029,,,,,,2223.3538888770877,,,,,,180.058,0.047
25.06999999999971,,1902.542494554474,,,,,,84.269,,,,,0.047
25.080000000001746,,,798.2735314910642,,,,,,118.304,,,,0.047
25.828999999997905,,,,,,2185.2316957544053,,,,,,126.754,0.047
25.93699999999808,,,,,1598.2884832230338,,,,,,113.782,,0.047
27.843999999997322,,,,,,1686.4411886509065,,,,,,83.557,0.047
27.93000000000029,,,,,1266.7177832208615,,,,,,115.849,,0.047
28.05000000000291,1133.4801970858682,,,475.33124928016514,,,96.336,,,184.627,,,0.047
30.080000000001746,,,695.8307403448518,,,,,,93.459,,,,0.047
30.090000000003783,1030.7264923207233,,,,,,80.417,,,,,,0.047
30.813999999998487,,,,,,1576.5552908658865,,,,,,93.268,0.047
30.85700000000361,,,,,957.0502901757555,,,,,,76.481,,0.047
32.8179999999993,,,,,,1422.6621957406435,,,,,,88.901,0.047
32.845000000001164,,,,,799.4162305397665,,,,,,70.972,,0.047
34.06999999999971,653.0148108486471,,820.3824868405817,,,,53.126,,53.424,,,,0.047
34.859000000004016,,,,,621.8001999080632,,,,,,83.398,,0.047
34.91599999999744,,,,,,1529.0901251655964,,,,,,110.6,0.047
36.817000000002736,,,,,405.88790477929075,,,,,,64.526,,0.047
36.824000000000524,,,,,,1313.5817873597005,,,,,,76.711,0.047
38.87000000000262,295.41792495770966,,759.781501559346,,,,117.345,,108.491,,,,0.047
40.82300000000396,,,,,,1223.8624792467187,,,,,,85.402,0.047
42.80200000000332,,,,,,1241.4200347265435,,,,,,131.085,0.047
43.05000000000291,262.27273859090616,,,,,,81.626,,,,,,0.047
43.05999999999767,,,,468.09580002371325,,,,,,109.024,,,0.047
45.80600000000413,,,,,,802.1018866849809,,,,,,222.498,0.047
47.82800000000134,,,,,,967.7814288045714,,,,,,180.386,0.047
49.733000000000175,,,,,,899.7105290632566,,,,,,188.961,0.047
51.01000000000204,,525.9410673385744,380.6999724122862,,,,,122.073,109.819,,,,0.047
51.874000000003434,,,,,,594.2985364440289,,,,,,151.816,0.047
52.9800000000032,,401.22558128261096,,393.5201034851555,,,,86.892,,96.914,,,0.047
53.859000000004016,,,,,,574.4090539139178,,,,,,128.812,0.047
55.0,,705.569046058841,658.1951502094204,,,,,60.638,58.91,,,,0.047
63.822000000000116,,,,,,370.67894382273596,,,,,,86.694,0.047
65.80400000000373,,,,,,433.59048431986247,,,,,,88.306,0.047
69.83200000000215,,,,,,411.46770609506615,,,,,,79.659,0.047
78.95999999999913,,160.24216924113435,,,,,,115.645,,,,,0.047
82.94999999999709,,111.02284040737923,,,,,,71.904,,,,,0.047
86.88999999999942,112.06112675490519,,,,,,79.911,,,,,,0.047
88.91999999999825,154.4166243603503,,,171.22900836950936,,,60.808,,,96.422,,,0.047
90.93000000000029,208.64186377423275,165.03805916472854,,,,,53.667,57.819,,,,,0.047
