relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-15.915999999997439,,64.9271597404701,,,,,,72.53,,,,,0.043
-13.745999999999185,104.74584239093646,,,,,,99.231,,,,,,0.043
-13.735999999997148,,110.26337892403173,,,,,,68.892,,,,,0.043
-4.935999999994237,,341.02117036537766,96.32441519410061,,,,,104.478,102.798,,,,0.043
-3.970000000001164,,,,,,1606.5623122540417,,,,,,335.89,0.043
0.0,,,,,,1387.5380176123058,,,,,,141.816,0.043
1.004000000000815,,,,,,1634.1482542185167,,,,,,134.74,0.043
2.074000000000524,,1226.6857633684515,,1002.6963589152438,,,,96.87,,153.377,,,0.043
5.044000000001688,1565.2178270797028,,,1678.2215562265653,,,72.719,,,94.944,,,0.043
6.065000000002328,,,,,,2543.5855402485076,,,,,,168.425,0.043
7.992000000005646,,,,,,2384.8456268204845,,,,,,102.369,0.043
8.054000000003725,,,,,1031.5702884631548,,,,,,86.983,,0.043
9.00300000000425,,,,,1215.1334509390372,,,,,,74.015,,0.043
9.184000000001106,1358.745103808381,2245.5209342799753,,,,,82.458,87.191,,,,,0.043
10.046000000002095,,,,,,2790.3637225063476,,,,,,98.522,0.043
10.988000000004831,,,,,959.3051082244746,,,,,,98.612,,0.043
11.014000000002852,,,2403.2586414790785,,,,,,94.176,,,,0.043
11.054000000003725,,,,,,2501.4184409850122,,,,,,113.162,0.043
12.02100000000064,,,,,,1785.228687686382,,,,,,229.564,0.043
13.019000000000233,,,,,912.6372577840025,,,,,,64.169,,0.043
13.985000000000582,,,,,807.628785016952,,,,,,55.136,,0.043
14.023000000001048,,,,,,2620.4316792045906,,,,,,75.53,0.043
14.934000000001106,,,,,,2560.4322264757106,,,,,,75.195,0.043
15.04500000000553,,,,,921.7473090626369,,,,,,64.132,,0.043
15.134000000005472,974.3591486034093,2311.2096380118096,,,,,95.737,113.118,,,,,0.043
15.97500000000582,,,,,652.4934529065981,,,,,,64.953,,0.043
16.92199999999866,,,,,931.5411951147678,,,,,,77.517,,0.043
16.963999999999942,,,,,,2544.8294963164362,,,,,,93.178,0.043
17.898000000001048,,,,,746.6811809325135,,,,,,84.912,,0.043
18.018000000003667,,,,,,2358.130685752734,,,,,,82.263,0.043
18.92399999999907,,,,,547.2481829849712,,,,,,93.391,,0.043
19.02400000000489,579.908449058482,,2137.501734729719,,,,108.506,,111.866,,,,0.043
19.026000000005297,,,,,,2295.3954562711106,,,,,,77.545,0.043
19.939000000005763,,,,,,2322.760173273785,,,,,,94.089,0.043
20.026000000005297,,,,,636.3503048312917,,,,,,58.521,,0.043
20.99000000000524,,,,,681.6283551495768,,,,,,108.467,,0.043
21.014000000002852,,1759.7355642538987,2118.467743128266,,,,,60.821,73.925,,,,0.043
21.93800000000192,,,,,501.7632117886216,,,,,,149.001,,0.043
23.164000000004307,,1799.2008105738046,,1394.8431884428792,,,,129.063,,179.02,,,0.043
24.947000000000116,,,,,,1754.713541908322,,,,,,282.2,0.043
25.989000000001397,,,,,,2378.0235586267254,,,,,,215.785,0.043
26.948000000003958,,,,,,1835.1293946459268,,,,,,164.154,0.043
28.016999999999825,,,,,,1630.8912668227865,,,,,,185.055,0.043
30.88799999999901,,,,,,1317.5996570446066,,,,,,80.84,0.043
32.88900000000285,,,,,,1171.6155054192775,,,,,,83.471,0.043
33.0940000000046,559.0966635324002,,,1033.0865949756442,,,98.966,,,133.815,,,0.043
35.13400000000547,144.5845895443194,,1064.893514383446,,,,106.226,,96.25,,,,0.043
35.85700000000361,,,,,,908.9091259117647,,,,,,81.566,0.043
37.861000000004424,,,,,,855.603176084707,,,,,,80.188,0.043
39.1140000000014,213.4342291637207,,1152.684000961129,,,,51.824,,53.42,,,,0.043
39.95999999999913,,,,,,823.2661095479401,,,,,,83.63,0.043
41.903000000005704,,,,,,715.103318669471,,,,,,74.359,0.043
43.91400000000431,,,804.7224126221217,,,,,,94.79,,,,0.043
43.92399999999907,180.26375034109986,,,,,,85.426,,,,,,0.043
45.867000000005646,,,,,,545.7179674199133,,,,,,77.356,0.043
48.0940000000046,141.73302742919086,,,,,,66.935,,,,,,0.043
48.10399999999936,,,,1045.7400864135639,,,,,,120.279,,,0.043
54.978000000002794,,,,,,857.9474657322737,,,,,,210.532,0.043
56.054000000003725,,506.89497098436846,427.4865495117781,,,,,113.486,98.814,,,,0.043
58.02400000000489,,406.14757126637903,,667.570876892901,,,,77.324,,88.534,,,0.043
65.01400000000285,126.1683470906633,,,635.6114211581181,,,67.101,,,110.974,,,0.043
72.86500000000524,,,,,,403.6625857968304,,,,,,104.937,0.043
75.02400000000489,,,505.4560655672707,,,,,,88.819,,,,0.043
83.77700000000186,,,,,,615.5486111213952,,,,,,154.899,0.043
84.00400000000081,,123.44318169317741,,314.5367681742099,,,,129.509,,164.706,,,0.043
85.95400000000518,,,178.50107074559907,,,,,,59.912,,,,0.043
85.96399999999994,,157.28097212341032,,,,,,64.931,,,,,0.043
87.99399999999878,,190.6239803383238,,408.99339476755597,,,,85.835,,114.929,,,0.043
91.9340000000011,91.93228453028392,,387.6410687354894,,,,79.882,,93.06,,,,0.043
93.96399999999994,98.28307124903783,,,228.22544208135946,,,69.225,,,96.06,,,0.043
95.97400000000198,,112.99187592797429,,,,,,55.174,,,,,0.043
