relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-166.7800000000061,,58.512913775002886,,,,,,64.479,,,,,0.055
-160.67000000000553,,,178.40493194042963,,,,,,184.337,,,,0.055
-135.83000000000175,275.0858496689813,,,,,,113.516,,,,,,0.055
-124.85000000000582,,,80.3712688369946,,,,,,52.639,,,,0.055
-102.83000000000175,,,57.22611339386589,,,,,,64.383,,,,0.055
-81.86000000000058,,60.33485912948386,,,,,,58.627,,,,,0.055
-78.81999999999971,,,135.19447766376342,,,,,,106.336,,,,0.055
-72.01000000000204,70.26938090022315,,,,,,62.479,,,,,,0.055
-70.01000000000204,,,33.772752142772376,,,,,,34.88,,,,0.055
-64.03000000000611,,150.54620592491597,,,,,,109.5,,,,,0.055
-35.93000000000029,,90.52677108492662,,,,,,77.638,,,,,0.055
-28.960000000006403,,,109.30629052974791,,,,,,56.646,,,,0.055
-27.020000000004075,89.45571583742647,,,,,,57.442,,,,,,0.055
-21.030000000006112,101.77433787433432,,51.6729051753571,,,,44.143,,48.48,,,,0.055
-15.040000000000873,,60.99645303632976,,,,,,48.793,,,,,0.055
0.0,,,706.2525082163311,,,,,,89.82,,,,0.055
3.9499999999970896,,,693.0734077207501,,,,,,92.686,,,,0.055
7.939999999995052,,,588.9163556540715,,,,,,56.138,,,,0.055
7.94999999999709,643.3178344784176,,,,,,60.844,,,,,,0.055
9.939999999995052,743.975793475346,,,,,,66.099,,,,,,0.055
9.94999999999709,,667.0107781279432,,,,,,64.937,,,,,0.055
14.930000000000291,,,739.1094488154366,,,,,,292.174,,,,0.055
18.93000000000029,290.37146788276226,,805.6037511488157,,,,151.913,,160.462,,,,0.055
20.939999999995052,,605.4586317584968,,836.5410386127037,,,,106.613,,142.141,,,0.055
23.93000000000029,,675.735618944214,873.6445861971611,,,,,141.035,141.369,,,,0.055
29.919999999998254,,385.87663892060385,,,,,,115.074,,,,,0.055
29.93000000000029,,,564.8685974876172,,,,,,190.152,,,,0.055
32.919999999998254,348.68514000870033,,,,,,105.096,,,,,,0.055
32.93000000000029,,,,178.83841758057082,,,,,,188.126,,,0.055
37.919999999998254,179.1073087007056,135.1894840183345,,,,,82.393,77.866,,,,,0.055
40.90999999999622,,,497.1976094088297,,,,,,108.954,,,,0.055
45.90999999999622,385.1615280009256,,725.8180733469543,,,,164.338,,157.251,,,,0.055
49.90999999999622,,257.23932588332156,,402.21331166250235,,,,146.079,,197.806,,,0.055
194.1999999999971,125.67734352608873,,,,,,81.856,,,,,,0.055
199.20999999999913,,,,306.2745702241298,,,,,,206.215,,,0.055
