relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-57.770000000004075,208.40083410682303,,,,,,162.675,,,,,,0.065
-53.80999999999767,,104.48953511988123,,,,,,65.66,,,,,0.065
-53.80000000000291,77.34453698624837,,,,,,78.822,,,,,,0.065
-43.80000000000291,,,124.23947007841824,,,,,,78.942,,,,0.065
-32.01000000000204,,,52.18042061724635,,,,,,54.283,,,,0.065
-21.860000000000582,,71.84231217729322,,,,,,54.317,,,,,0.065
-6.879999999997381,,250.08045601784582,,113.32354539629527,,,,86.967,,89.086,,,0.065
-4.870000000002619,,257.1518251527623,204.32524260802816,,,,,84.37,87.77,,,,0.065
-3.959999999999127,,190.35566064503516,,,,,,47.748,,,,,0.065
-3.9500000000043656,,,,242.12421236493952,,,,,,94.79,,,0.065
0.0,449.1345872063231,,,,,,60.937,,,,,,0.065
0.010000000002037268,,,430.95975724425637,,,,,,50.199,,,,0.065
3.959999999999127,701.2759388482782,,,,,,70.907,,,,,,0.065
3.970000000001164,,663.5882393682732,,,,,,58.711,,,,,0.065
3.9830000000001746,,,,,726.6124849273101,,,,,,153.108,,0.065
6.010000000002037,604.6114204072172,,456.5845609892546,,,,79.013,,133.058,,,,0.065
6.9210000000020955,,,,,,623.49793556963,,,,,,104.337,0.065
9.921000000002095,,,,,840.5076716015425,,,,,,86.823,,0.065
9.989000000001397,,,,,,816.1656465420111,,,,,,109.592,0.065
10.019999999996799,872.4657108540832,1024.8634974301394,,,,,81.934,102.609,,,,,0.065
18.919999999998254,,525.6073475459228,,147.32137455963698,,,,128.6,,183.132,,,0.065
22.94000000000233,,730.9755306940386,,,,,,115.192,,,,,0.065
24.94000000000233,,490.433552976729,441.15837760961057,,,,,58.038,73.759,,,,0.065
25.896999999997206,,,,,469.0206933681723,,,,,,81.583,,0.065
25.917999999997846,,,,,,795.2031998031625,,,,,,80.077,0.065
30.864000000001397,,,,,,379.6902455267056,,,,,,95.064,0.065
30.938999999998487,,,,,373.55896515624113,,,,,,104.063,,0.065
32.94000000000233,256.7337145885747,,270.0422175487568,,,,57.614,,68.857,,,,0.065
36.854999999995925,,,,,,452.74914227974523,,,,,,91.932,0.065
38.84399999999732,,,,,,341.4950892666008,,,,,,74.737,0.065
38.970000000001164,248.9530390550975,,574.3206604096556,,,,95.069,,99.262,,,,0.065
46.81899999999587,,,,,,657.4776272008122,,,,,,170.11,0.065
48.95999999999913,,320.6087644004068,303.068721829094,,,,,80.401,74.908,,,,0.065
50.919999999998254,,167.93015133901977,,688.9473560513368,,,,98.388,,164.762,,,0.065
58.919999999998254,,,,421.433315080995,,,,,,157.367,,,0.065
76.94999999999709,,594.7423688524368,,329.9026329953411,,,,164.837,,214.543,,,0.065
79.90999999999622,,352.3174132039004,,,,,,126.233,,,,,0.065
