relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-30.909999999996217,304.2288042850767,,,,,,236.585,,,,,,0.028
-26.900000000001455,402.72087847048834,,,,,,296.522,,,,,,0.028
-21.029999999998836,,,66.84462566150103,,,,,,53.893,,,,0.028
-18.959999999999127,,137.38133916387835,,,,,,78.122,,,,,0.028
-13.919999999998254,,287.5574440002554,,,,,,93.678,,,,,0.028
-3.970000000001164,602.4249045156738,,127.15253431241652,,,,122.249,,112.551,,,,0.028
-1.0,249.35030351427605,387.88246658509087,,,,,75.953,85.556,,,,,0.028
0.0,470.19185286647485,,333.32426408886073,,,,79.024,,71.653,,,,0.028
2.9900000000052387,636.6336526251124,475.5249020541756,,,,,48.723,65.283,,,,,0.028
8.069999999999709,488.3920839736824,,606.1379550476023,,,,59.716,,59.591,,,,0.028
20.05000000000291,,338.8903515680758,,147.19017189523296,,,,58.58,,83.738,,,0.028
21.889999999999418,219.23948979350104,,,,,,68.997,,,,,,0.028
21.900000000001455,,,,512.761158409548,,,,,,161.639,,,0.028
25.9800000000032,34.95103204479138,,226.41507604633472,,,,41.99,,43.761,,,,0.028
28.94000000000233,112.62950860503744,323.4000954320071,,,,,35.059,33.966,,,,,0.028
39.92000000000553,,314.7217486085513,,,,,,83.354,,,,,0.028
46.92000000000553,,233.5963531029137,,,,,,73.312,,,,,0.028
46.93000000000029,,,130.78789403782167,,,,,,73.743,,,,0.028
52.88999999999942,116.51661678721028,,,,,,56.559,,,,,,0.028
54.88000000000466,72.72296265455509,,,,,,88.457,,,,,,0.028
54.88999999999942,,188.34672841244864,,,,,,46.296,,,,,0.028
58.849999999998545,92.79976661016194,,,,,,109.599,,,,,,0.028
60.86000000000058,616.3998270677963,,,,,,695.466,,,,,,0.028
75.87000000000262,,111.39544358503852,179.98180865820908,,,,,75.173,75.837,,,,0.028
85.81000000000495,,154.40042877333929,,,,,,43.734,,,,,0.028
89.7300000000032,63.582768160654894,181.51452012290045,,,,,63.878,76.752,,,,,0.028
102.77000000000407,,86.44800093152173,,,,,,82.952,,,,,0.028
104.72000000000116,,73.940626037739,,,,,,76.723,,,,,0.028
115.72000000000116,,118.35692430664854,,,,,,71.73,,,,,0.028
119.7300000000032,,,116.75889174683006,,,,,,96.011,,,,0.028
130.76000000000204,,119.07166196821346,,,,,,110.922,,,,,0.028
132.8199999999997,,,,209.67451641916838,,,,,,249.894,,,0.028
134.7300000000032,,,87.89547962314093,,,,,,79.522,,,,0.028
