relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-144.66600000000471,162.68659511300103,,,,,,81.427,,,,,,0.029
-134.64600000000064,127.99429704972748,,,,,,76.501,,,,,,0.029
-130.67599999999948,,185.29563162922187,,,,,,144.853,,,,,0.029
-109.6160000000018,160.59331281377843,,,,,,64.795,,,,,,0.029
-102.73600000000442,,,5.302673586060238,,,,,,115.67,,,,0.029
-99.75600000000122,,248.6582583116728,,,,,,214.385,,,,,0.029
-92.66600000000471,73.37284977032907,,,,,,76.949,,,,,,0.029
-90.7960000000021,100.18559256831848,,,,,,53.544,,,,,,0.029
-86.67599999999948,210.74945843067732,,,,,,71.634,,,,,,0.029
-80.71600000000035,61.27037289824485,,,,,,44.497,,,,,,0.029
-76.69600000000355,73.60200909571765,,,120.8301400725194,,,59.592,,,101.271,,,0.029
-72.73600000000442,,,,140.03807345045584,,,,,,179.591,,,0.029
-66.846000000005,,,,318.57527301256226,,,,,,401.701,,,0.029
-62.72600000000239,,,,290.4096736948827,,,,,,155.698,,,0.029
-59.745999999999185,91.5513539477883,,,,,,71.127,,,,,,0.029
-49.89600000000064,219.53132853967898,,,,,,89.094,,,,,,0.029
-47.89600000000064,,,71.23212601214861,,,,,,64.531,,,,0.029
-45.78600000000006,,,,211.91899751926456,,,,,,111.381,,,0.029
-35.82600000000093,,,,129.72952446321804,,,,,,120.155,,,0.029
-23.855999999999767,138.59622103152688,,,,,,71.908,,,,,,0.029
-20.866000000001804,178.00281117815487,,,,,,61.565,,,,,,0.029
-10.885999999998603,,80.88672793704168,,,,,,70.911,,,,,0.029
-6.846000000005006,,,136.06969683095062,,,,,,76.799,,,,0.029
-4.9060000000026776,228.36387811487236,,,,,,65.921,,,,,,0.029
-3.0010000000038417,,,,,,353.46850685274836,,,,,,89.857,0.029
-2.0,,,,,,461.66093854698295,,,,,,118.574,0.029
-1.9910000000018044,,,,,333.706886535467,,,,,,67.545,,0.029
-1.885999999998603,297.26481585754647,,,454.3796082217174,,,60.694,,,144.831,,,0.029
-0.9530000000013388,,,,,,398.51234175907575,,,,,,102.638,0.029
0.0,,,,,565.4639289986167,,,,,,75.739,,0.029
0.008000000001629815,,,,,,627.3465062523089,,,,,,86.285,0.029
0.9649999999965075,,,,,,485.56359666812955,,,,,,111.187,0.029
1.0400000000008731,,,,,626.8541760976337,,,,,,91.009,,0.029
1.0839999999952852,852.4649783528249,,699.5658108248056,,,,60.245,,82.733,,,,0.029
1.9949999999953434,,,,,,903.2649764670891,,,,,,82.629,0.029
2.0089999999981956,,,,,802.1063670478911,,,,,,71.43,,0.029
2.9769999999989523,,,,,1009.4075239142262,,,,,,73.275,,0.029
3.00800000000163,,,,,,883.1517641456365,,,,,,120.445,0.029
3.074000000000524,1039.5757709876498,939.2967533561712,,,,,66.149,62.654,,,,,0.029
3.9989999999961583,,,,,,1238.8683221779236,,,,,,134.873,0.029
4.985000000000582,,,,,,1295.4229299460837,,,,,,122.716,0.029
5.042000000001281,,,,,1086.3715085095776,,,,,,140.31,,0.029
6.006999999997788,,,,,1403.542139330011,,,,,,188.323,,0.029
6.123999999996158,,,1037.6420202762354,,,,,,144.757,,,,0.029
7.074000000000524,1436.2186131370252,1169.062308518645,,,,,74.597,84.79,,,,,0.029
8.006999999997788,,,,,,1170.7676087199618,,,,,,129.304,0.029
8.989000000001397,,,,,,1433.3037703414172,,,,,,138.072,0.029
10.000999999996566,,,,,,1663.7985777492015,,,,,,122.567,0.029
10.006999999997788,,,,,1413.8311271850755,,,,,,119.666,,0.029
10.97899999999936,,,,,,1630.7149051104398,,,,,,164.825,0.029
11.997999999999593,,,,,,1492.561339449219,,,,,,220.248,0.029
12.955999999998312,,,,,,1321.362746429828,,,,,,203.51,0.029
16.964999999996508,,,,,921.3601259707347,,,,,,173.193,,0.029
17.021999999997206,,,,,,1339.617672830277,,,,,,234.114,0.029
17.968000000000757,,,,,,1059.9130692684246,,,,,,218.091,0.029
18.074000000000524,,1119.082637921419,414.7067327743623,,,,,164.037,201.339,,,,0.029
18.979999999995925,,,,,,1191.9220353156309,,,,,,166.691,0.029
19.000999999996566,,,,,949.3106272136398,,,,,,230.183,,0.029
20.074000000000524,,806.3977989565152,,,,,,84.582,,,,,0.029
22.114000000001397,,,588.9670400428259,,,,,,123.106,,,,0.029
22.12399999999616,,505.86438855038926,,,,,,102.604,,,,,0.029
26.063999999998487,392.7482353452955,,662.5733248099314,,,,75.985,,90.305,,,,0.029
