relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-33.70999999999913,78.29601860915015,,,,,,70.168,,,,,,0.027
-25.729999999995925,,96.20547041890678,,,,,,60.694,,,,,0.027
-20.720000000001164,,,,112.11590858916018,,,,,,115.377,,,0.027
-9.75,119.84895223746909,,,,,,51.646,,,,,,0.027
-3.75,203.99558537892173,202.94044209269802,,,,,125.376,125.558,,,,,0.027
-1.9089999999996508,,,,,,379.15395929468923,,,,,,82.66,0.027
-0.9179999999978463,,,,,,354.7571855764788,,,,,,91.308,0.027
-0.6899999999950523,262.89133391434837,,273.8464538929642,,,,72.838,,81.77,,,,0.027
0.0,,,,,564.0652658787153,,,,,,98.91,,0.027
0.10100000000238651,,,,,,634.8150842664855,,,,,,87.799,0.027
1.0730000000039581,,,,,,597.0898443383983,,,,,,79.541,0.027
1.1110000000044238,,,,,613.5518354199859,,,,,,82.337,,0.027
2.003000000004249,,,,,,712.8086538989235,,,,,,135.963,0.027
2.143000000003667,,,,,768.9274517145666,,,,,,73.374,,0.027
3.3000000000029104,,737.2654670539691,844.1562780716556,,,,,62.685,87.015,,,,0.027
4.05000000000291,,,,,1105.1769645419658,,,,,,198.504,,0.027
5.0900000000037835,,,,,1495.5900759964609,,,,,,226.542,,0.027
5.139000000002852,,,,,,1403.5497806017509,,,,,,176.552,0.027
8.088999999999942,,,,,,1402.1757006148348,,,,,,348.353,0.027
10.067000000002736,,,,,,1203.1205299643666,,,,,,297.851,0.027
10.145000000004075,,,,,1403.258978903427,,,,,,376.485,,0.027
12.094000000004598,,,,,,1463.8766075452702,,,,,,276.995,0.027
13.160000000003492,,1422.0838070455738,1211.057464167918,,,,,85.403,97.613,,,,0.027
13.98700000000099,,,,,,1588.0515470172943,,,,,,109.102,0.027
14.064000000005763,,,,,1422.325145320284,,,,,,150.67,,0.027
17.17000000000553,1009.4334691657021,,980.6586349805175,,,,80.755,,76.72,,,,0.027
18.023000000001048,,,,,,1251.8307333632729,,,,,,116.661,0.027
18.069000000003143,,,,,1060.5347272458903,,,,,,130.791,,0.027
20.005000000004657,,,,,,1283.353422288969,,,,,,93.417,0.027
20.08600000000297,,,,,895.6526683733542,,,,,,88.097,,0.027
22.04200000000128,,,,,,1070.7351061650963,,,,,,108.024,0.027
22.04899999999907,,,,,932.6884728568025,,,,,,109.082,,0.027
22.139999999999418,843.1834309658137,,719.461343588085,,,,115.295,,97.062,,,,0.027
23.991000000001804,,,,,646.9368079034258,,,,,,83.821,,0.027
24.048000000002503,,,,,,882.5771684196426,,,,,,107.572,0.027
26.048000000002503,,,,,,1074.5305497682216,,,,,,111.509,0.027
26.06999999999971,303.51731832664404,,621.0794344702512,,,,51.087,,59.615,,,,0.027
28.02900000000227,,,,,465.1443424319011,,,,,,69.276,,0.027
28.09700000000157,,,,,,860.0995008284096,,,,,,78.818,0.027
30.139999999999418,,,,708.291609026652,,,,,,79.985,,,0.027
30.150000000001455,314.39009336937227,,,,,,40.697,,,,,,0.027
33.028000000005704,,,,,,1059.0110126773727,,,,,,212.443,0.027
41.16000000000349,,137.11693677860762,210.34277332242388,,,,,74.016,83.153,,,,0.027
44.06999999999971,,140.25052658419125,,363.0212321247846,,,,111.609,,269.779,,,0.027
48.9230000000025,,,,,,372.43270132197773,,,,,,97.126,0.027
53.080000000001746,61.491644096710075,,162.27344003437537,,,,58.953,,76.709,,,,0.027
54.95400000000518,,,,,304.8519313772389,,,,,,92.137,,0.027
55.06400000000576,,,,,,425.5009205772319,,,,,,117.416,0.027
57.080000000001746,,,147.6619644319132,,,,,,51.65,,,,0.027
57.09000000000378,133.22678838465683,,,,,,50.748,,,,,,0.027
68.0,,165.890538952599,,,,,,87.243,,,,,0.027
72.02000000000407,,,72.16112923979458,,,,,,78.962,,,,0.027
72.02999999999884,,112.89450075082102,,,,,,64.554,,,,,0.027
74.93000000000029,42.797256247703146,,,164.79141318652415,,,51.143,,,83.749,,,0.027
76.95000000000437,90.20846514564707,63.99131454000937,,,,,47.906,55.433,,,,,0.027
83.04000000000087,184.72883101281897,,,,,,95.15,,,,,,0.027
