relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-32.0,57.02331965601871,,,,,,53.525,,,,,,0.021
-29.0,,,46.206647495030545,,,,,,59.676,,,,0.021
-14.010000000002037,,,153.54395104990408,,,,,,78.868,,,,0.021
0.0,330.27078640876374,,,,,,51.64,,,,,,0.021
0.010000000002037268,,310.00472733247346,,,,,,44.365,,,,,0.021
5.010000000002037,716.07816709651,,501.7130730838379,,,,62.123,,59.047,,,,0.021
11.989999999997963,,,490.00166301247265,,,,,,94.347,,,,0.021
12.0,,727.9673998378066,,,,,,65.312,,,,,0.021
14.82499999999709,,,,,,868.5718853405209,,,,,,242.845,0.021
15.930000000000291,,607.0188564381973,,,,,,136.483,,,,,0.021
15.940000000002328,,,,421.4127450793769,,,,,,145.897,,,0.021
16.82800000000134,,,,,,958.6501769750412,,,,,,224.222,0.021
20.0199999999968,,701.5858298262755,,138.56766572894438,,,,128.462,,179.108,,,0.021
20.796000000002095,,,,,653.8954897533976,,,,,,177.206,,0.021
20.822999999996682,,,,,,590.4392322135714,,,,,,122.824,0.021
24.94000000000233,626.4745372841282,595.0234124357424,,,,,103.527,80.912,,,,,0.021
25.786000000000058,,,,,,546.8429807173574,,,,,,106.144,0.021
25.811000000001513,,,,,468.1406502952878,,,,,,90.226,,0.021
27.788000000000466,,,,,494.6839603958575,,,,,,113.794,,0.021
28.909999999996217,412.59096361647335,,,,,,83.356,,,,,,0.021
31.765999999995984,,,,,,646.7507884674789,,,,,,103.333,0.021
31.79099999999744,,,,,289.3675745080914,,,,,,89.681,,0.021
32.93000000000029,364.13615933690835,376.4257548456721,,,,,47.222,51.436,,,,,0.021
35.919999999998254,229.23245780907655,,,267.3164590679528,,,58.728,,,92.023,,,0.021
37.87999999999738,215.06244176964827,,362.76222361798756,,,,57.441,,57.727,,,,0.021
43.830000000001746,,,,285.17035796756903,,,,,,119.22,,,0.021
51.83999999999651,77.58432400452448,,,262.54238105720503,,,71.319,,,136.19,,,0.021
57.849999999998545,103.51084086091974,73.79903998286444,,,,,76.59,81.722,,,,,0.021
62.83999999999651,,,237.6036600962358,,,,,,92.457,,,,0.021
70.84999999999854,,,,173.3356762871651,,,,,,152.252,,,0.021
75.66300000000047,,,,,,724.037494259574,,,,,,207.942,0.021
79.76000000000204,,116.35317970072765,,95.01115192454763,,,,61.906,,86.044,,,0.021
81.79000000000087,,,63.15344167890075,,,,,,54.497,,,,0.021
81.80000000000291,82.59156358605749,,,,,,40.313,,,,,,0.021
83.80999999999767,149.05762746577696,,89.83657730916904,,,,61.1,,56.595,,,,0.021
