relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-98.79000000000087,,,,197.66497183757977,,,,,,89.92,,,0.113
-75.86000000000058,,,154.95959318328684,,,,,,82.865,,,,0.113
-22.9800000000032,,,97.75607307005419,,,,,,57.463,,,,0.113
-2.110999999997148,,,,,,1374.3716522923003,,,,,,233.228,0.113
0.0,,908.9348797389349,918.8176873274377,,,,,108.755,86.15,,,,0.113
0.930000000000291,,826.1203050706051,,,,,,110.09,,,,,0.113
0.9400000000023283,,,,666.0737403127873,,,,,,148.493,,,0.113
1.9049999999988358,,,,,,1247.3097569619642,,,,,,127.56,0.113
1.9210000000020955,,,,,1361.9740401112294,,,,,,169.712,,0.113
3.834999999999127,,,,,,1105.2551817581627,,,,,,78.371,0.113
3.8739999999961583,,,,,927.7689105407006,,,,,,77.022,,0.113
7.834999999999127,,,,,,1146.5288186780008,,,,,,86.319,0.113
7.86699999999837,,,,,843.7803461311868,,,,,,81.37,,0.113
9.82499999999709,,,,,,982.9466323871205,,,,,,85.334,0.113
9.868999999998778,,,,,751.3186845618433,,,,,,66.35,,0.113
11.868999999998778,,,,,613.5806225392748,,,,,,102.086,,0.113
13.81199999999808,,,,,557.994025942383,,,,,,63.952,,0.113
13.860000000000582,674.9213748137504,,,,,,88.6,,,,,,0.113
13.868999999998778,,,,,,712.6723521129752,,,,,,77.878,0.113
13.87000000000262,,694.8244152048211,,,,,,82.905,,,,,0.113
16.845000000001164,,,,,566.2740189476615,,,,,,64.312,,0.113
16.866000000001804,,,,,,760.8384142322233,,,,,,65.058,0.113
17.87000000000262,437.00032229706545,,,,,,79.947,,,,,,0.113
18.80999999999767,,,,,,674.2277725375266,,,,,,83.73,0.113
18.872999999999593,,,,,399.40332474389925,,,,,,84.388,,0.113
27.82600000000093,,,,,,819.8381624066373,,,,,,161.107,0.113
28.849999999998545,,255.96175583237664,,,,,,87.539,,,,,0.113
28.860000000000582,,,505.7979436627116,,,,,,115.718,,,,0.113
31.0,,304.996770090941,332.0425253636515,,,,,88.524,74.644,,,,0.113
