relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-187.72000000000116,,158.7010868612479,,,,,,72.701,,,,,0.042
-177.6999999999971,,,,145.62535605605854,,,,,,128.25,,,0.042
-147.82999999999447,,,,123.78081096934734,,,,,,113.471,,,0.042
-142.80999999999767,,588.933489719722,,,,,,405.346,,,,,0.042
-137.84999999999854,,45.601412401959664,,,,,,54.168,,,,,0.042
-120.88799999999901,,,,,221.03376428669748,,,,,,61.038,,0.042
-92.94999999999709,,,86.34293841251196,,,,,,99.171,,,,0.042
-20.93000000000029,,,123.40838944823417,,,,,,103.881,,,,0.042
0.0,,1165.9186253484113,,888.24029220363,,,,91.181,,141.573,,,0.042
2.9900000000052387,,1091.6003046158314,988.4023432129619,,,,,125.734,134.843,,,,0.042
8.923999999999069,,,,,1007.1610869990398,,,,,,206.958,,0.042
8.990000000005239,,1048.1964175966032,972.8276657963955,,,,,115.8,167.362,,,,0.042
10.88300000000163,,,,,,1157.137429671183,,,,,,116.164,0.042
10.927000000003318,,,,,950.0748189566189,,,,,,142.44,,0.042
11.990000000005239,,,,646.1808637283534,,,,,,147.349,,,0.042
15.858000000000175,,,,,607.750397910236,,,,,,126.549,,0.042
15.893000000003667,,,,,,1138.7425757223652,,,,,,151.801,0.042
16.9800000000032,,712.3471777843936,,,,,,73.838,,,,,0.042
17.85399999999936,,,,,,830.9519748347888,,,,,,144.188,0.042
17.900000000001455,,,,,494.5327585970663,,,,,,135.845,,0.042
19.970000000001164,,,942.4154018870122,,,,,,111.114,,,,0.042
24.970000000001164,,,959.1726529170099,,,,,,241.894,,,,0.042
25.864000000001397,,,,,,501.17088934763075,,,,,,116.664,0.042
173.26000000000204,,,133.11646873884226,,,,,,89.4,,,,0.042
180.3000000000029,,,100.0463733233847,,,,,,96.981,,,,0.042
180.31000000000495,,166.83634791380234,,,,,,89.842,,,,,0.042
181.27000000000407,,,,1269.9556259410313,,,,,,1139.791,,,0.042
184.27999999999884,,223.1206048145284,,,,,,124.322,,,,,0.042
