relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-118.67400000000634,139.62381247693293,,,,,,61.533,,,,,,0.06
-112.56400000000576,,,87.6612709260726,,,,,,76.233,,,,0.06
-89.72400000000198,69.81923788163371,,,,,,41.969,,,,,,0.06
-87.72400000000198,,,232.71037755549315,,,,,,195.089,,,,0.06
-78.78399999999965,,,,361.6696606432378,,,,,,119.624,,,0.06
-76.74400000000605,,,87.60464148078361,,,,,,81.16,,,,0.06
-75.77400000000489,,,,209.3397941755344,,,,,,117.96,,,0.06
-64.80400000000373,,,,98.63806882802822,,,,,,78.942,,,0.06
-60.684000000001106,,90.90389767933851,,,,,,63.26,,,,,0.06
-54.72400000000198,38.526562903322294,,,,,,36.688,,,,,,0.06
-50.70400000000518,92.38359166934501,,,,,,51.728,,,,,,0.06
-36.734000000004016,106.6240865811823,,,,,,100.419,,,,,,0.06
-33.754000000000815,98.88553721815968,,,,,,92.701,,,,,,0.06
-30.713999999999942,,,120.05775515649421,,,,,,98.45,,,,0.06
-23.90400000000227,,,143.4501575859668,,,,,,78.203,,,,0.06
-21.90400000000227,121.5818605828813,,,,,,49.03,,,,,,0.06
-21.894000000000233,,,50.134825181236835,,,,,,45.804,,,,0.06
-19.794000000001688,,,,188.23952810873885,,,,,,66.317,,,0.06
-12.804000000003725,,,118.74639486460607,,,,,,77.607,,,,0.06
-6.834000000002561,187.0644315310921,,,267.58682504134543,,,57.037,,,100.85,,,0.06
-1.8440000000045984,313.19679863977416,288.2807988578376,,,,,54.745,55.999,,,,,0.06
0.0,,,,,388.10108711365376,,,,,,66.971,,0.06
2.205999999998312,468.5494295914943,,501.70024267818417,,,,108.11,,64.457,,,,0.06
4.000999999996566,,,,,,564.6659384444293,,,,,,73.902,0.06
5.135999999998603,403.7841377331452,322.350316388958,,,,,69.499,66.324,,,,,0.06
5.998999999996158,,,,,,458.72586362552,,,,,,86.659,0.06
6.9799999999959255,,,,,,665.7340341548716,,,,,,84.467,0.06
7.072000000000116,,,,,358.1036364938441,,,,,,93.672,,0.06
8.979999999995925,,,,,,498.1300967726355,,,,,,92.814,0.06
9.175999999999476,,,580.2419521501695,,,,,,76.032,,,,0.06
9.185999999994237,,395.13289026513326,,,,,,61.883,,,,,0.06
12.175999999999476,,399.3800575277046,,453.2174665956784,,,,76.999,,98.635,,,0.06
15.105999999999767,,354.4736956926006,442.0916444144838,,,,,64.231,63.162,,,,0.06
19.00999999999476,,,,,,330.82935385746714,,,,,,77.278,0.06
19.145999999993364,,,541.6728583832482,,,,,,47.356,,,,0.06
19.1559999999954,,90.03510654640883,,,,,,53.926,,,,,0.06
21.085999999995693,61.28276135390973,,,,,,68.223,,,,,,0.06
21.09599999999773,,,379.91251348717543,,,,,,71.231,,,,0.06
24.105999999999767,111.31511626768851,,,362.35718153788355,,,59.886,,,121.229,,,0.06
27.075999999993655,,,358.6531534969214,,,,,,65.609,,,,0.06
29.065999999998894,40.427902364693395,206.64899964890378,,,,,34.847,44.319,,,,,0.06
32.10599999999977,115.98048520310938,,,,,,104.843,,,,,,0.06
32.11599999999453,,,302.59999609234524,,,,,,69.653,,,,0.06
33.065999999998894,118.69808093709995,164.4031666280367,,,,,53.573,44.515,,,,,0.06
44.065999999998894,,,349.87892062096887,,,,,,218.378,,,,0.06
48.11599999999453,,,303.34617231262365,,,,,,111.328,,,,0.06
52.05599999999686,44.49207656040053,,222.89349665745513,,,,45.542,,74.756,,,,0.06
56.04599999999482,,,224.0349686134763,,,,,,57.269,,,,0.06
56.05599999999686,60.97116651930199,,,,,,45.169,,,,,,0.06
58.04599999999482,95.23193503981804,,,,,,43.2,,,,,,0.06
58.05599999999686,,119.08545408410524,,,,,,51.327,,,,,0.06
63.03600000000006,,,427.657798153473,,,,,,213.594,,,,0.06
67.03600000000006,,,183.05412670601228,,,,,,117.35,,,,0.06
69.04599999999482,,157.90797350293775,,250.3998888061587,,,,90.429,,148.0,,,0.06
72.03600000000006,,,241.6023108471444,,,,,,145.396,,,,0.06
78.03600000000006,,,135.5142625765473,,,,,,127.28,,,,0.06
81.02599999999802,140.3068772320142,,,,,,87.925,,,,,,0.06
81.03600000000006,,,,167.1772766253755,,,,,,166.949,,,0.06
86.02599999999802,60.20989757043683,108.73485627627059,,,,,64.039,62.578,,,,,0.06
89.01599999999598,,,359.7213402884509,,,,,,110.337,,,,0.06
89.02599999999802,93.3929145453685,,,,,,101.626,,,,,,0.06
98.01599999999598,,,,319.84275755823774,,,,,,162.309,,,0.06
