relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-196.70000000000437,116.18233718194959,,,,,,86.812,,,,,,0.072
-182.70999999999913,,258.2819912013635,,,,,,187.738,,,,,0.072
-172.73999999999796,,,,154.38428047332798,,,,,,112.838,,,0.072
-167.73999999999796,,99.51867371588527,,,,,,47.4,,,,,0.072
-161.63999999999942,,73.5887701052441,,,,,,56.079,,,,,0.072
-146.83000000000175,,52.59710550909121,51.8692764271075,,,,,37.141,43.418,,,,0.072
-144.69000000000233,,,162.94175604775668,,,,,,59.162,,,,0.072
-132.75,73.99272292895796,,,,,,70.486,,,,,,0.072
-128.7300000000032,53.85058451140067,,,,,,50.689,,,,,,0.072
-124.77000000000407,,,,263.39915823581833,,,,,,167.921,,,0.072
-118.88000000000466,,48.68302360178436,,,,,,51.818,,,,,0.072
-104.77999999999884,,81.89345146278248,,,,,,38.46,,,,,0.072
-90.83000000000175,,,53.57576371583407,,,,,,64.544,,,,0.072
-75.81999999999971,,,89.6693872206474,,,,,,67.373,,,,0.072
-53.919999999998254,87.92152804455975,,,154.8381180500348,,,50.897,,,124.782,,,0.072
-50.950000000004366,,,123.50772619570849,,,,,,54.154,,,,0.072
-45.91000000000349,,,136.52805412690262,,,,,,79.465,,,,0.072
-44.95999999999913,312.2438469390087,,,,,,69.816,,,,,,0.072
-10.989999999997963,,,196.79710320177517,,,,,,136.508,,,,0.072
-0.06900000000314321,,,,,786.6674328851022,,,,,,139.983,,0.072
0.0,,853.3220119418683,,,,,,110.404,,,,,0.072
0.010000000002037268,,,710.4497771084718,,,,,,134.985,,,,0.072
3.0,1147.1721156669423,,,,,,106.934,,,,,,0.072
3.0100000000020373,,,,603.3389623767749,,,,,,170.419,,,0.072
8.0,1860.9372052046442,1820.301755440432,,,,,78.349,79.655,,,,,0.072
15.989999999997963,1992.6458800768642,,1494.1560487436925,,,,163.326,,203.924,,,,0.072
128.32200000000012,,,,,196.41066473170918,,,,,,54.644,,0.072
142.37999999999738,,398.3378463424696,,,,,,165.554,,,,,0.072
178.25,,121.27252930731325,,,,,,64.571,,,,,0.072
186.25,,38.960643285693905,,,,,,37.017,,,,,0.072
193.25,,105.70036273666213,,,,,,38.96,,,,,0.072
199.22000000000116,,,,145.45549544838497,,,,,,112.093,,,0.072
199.22999999999593,,164.4862694686634,,,,,,69.292,,,,,0.072
