relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-86.67599999999948,113.71763356526328,,,,,,48.832,,,,,,0.078
-83.73599999999715,,98.52360699055625,,,,,,74.891,,,,,0.078
-69.74599999999919,,383.0165786838989,,,,,,190.994,,,,,0.078
-60.745999999999185,135.38487073478126,,,,,,62.75,,,,,,0.078
-55.78600000000006,,64.68531005779231,,,,,,45.084,,,,,0.078
-42.69600000000355,97.05811444312924,,,,,,49.938,,,,,,0.078
-42.68600000000151,,,60.64673984812288,,,,,,55.8,,,,0.078
-38.815999999998894,88.72705720959594,,,,,,38.935,,,,,,0.078
-15.855999999999767,,,,561.7480725787494,,,,,,200.89,,,0.078
-12.885999999998603,51.15165327592145,,,96.65884881232994,,,34.683,,,71.364,,,0.078
-3.735999999997148,217.50937043593214,,247.23208556801512,,,,88.577,,97.649,,,,0.078
-2.911999999996624,,,,,322.5678182462207,,,,,,63.004,,0.078
-1.9639999999999418,,,,,304.95651918516126,,,,,,58.281,,0.078
-0.9809999999997672,,,,,,431.1734602230434,,,,,,76.03,0.078
0.0,,,,,509.46483076259545,,,,,,72.404,,0.078
0.06300000000192085,,,,,,474.44496972757906,,,,,,63.689,0.078
1.0,,,,,675.0677556784997,,,,,,75.979,,0.078
1.0840000000025611,611.5683775820573,,,,,,63.963,,,,,,0.078
1.0869999999995343,,,,,,438.27725082679257,,,,,,64.835,0.078
1.0939999999973224,,,,312.45586634162544,,,,,,109.464,,,0.078
1.9760000000023865,,,,,,728.6345751844468,,,,,,92.177,0.078
3.063000000001921,,,,,927.7430963519763,,,,,,107.151,,0.078
3.09599999999773,,,,,,569.1230168591356,,,,,,92.768,0.078
3.9979999999995925,,,,,876.2020802351619,,,,,,155.069,,0.078
5.02100000000064,,,,,626.8718890865533,,,,,,171.241,,0.078
5.995000000002619,,,,,1267.6386449495335,,,,,,273.682,,0.078
9.10399999999936,,,,,1229.0504707429477,,,,,,226.24,,0.078
11.074000000000524,,1140.949945451731,,,,,,146.324,,,,,0.078
11.084000000002561,,,,867.9611679097117,,,,,,213.738,,,0.078
12.983000000000175,,,,,,1008.1573787756331,,,,,,97.171,0.078
13.042999999997846,,,,,1070.9633181970325,,,,,,117.17,,0.078
14.194000000003143,,883.2799406999399,540.3814840018255,,,,,84.71,67.269,,,,0.078
14.947999999996682,,,,,,918.2843763358078,,,,,,91.162,0.078
15.031000000002678,,,,,978.1546438792159,,,,,,109.048,,0.078
16.16399999999703,930.3558933214692,,,352.79505601299013,,,53.593,,,85.989,,,0.078
17.981999999996333,,,,,832.6250192371782,,,,,,75.553,,0.078
18.012000000002445,,,,,,882.931204538428,,,,,,80.663,0.078
20.01299999999901,,,,,,1038.6271840444156,,,,,,70.218,0.078
20.057999999997264,,,,,777.5802473680237,,,,,,61.938,,0.078
21.16399999999703,,721.1915527950034,,,,,,38.71,,,,,0.078
21.17399999999907,617.1003553058193,,,,,,44.329,,,,,,0.078
21.947000000000116,,,,,690.3960863138232,,,,,,84.629,,0.078
22.019000000000233,,,,,,913.107302918963,,,,,,81.332,0.078
23.963000000003376,,,,,,768.0121840327929,,,,,,69.58,0.078
23.989999999997963,,,,,612.1611614885078,,,,,,58.626,,0.078
25.98399999999674,617.195085395858,647.4987273483226,,,,,47.998,48.491,,,,,0.078
26.97400000000198,,,223.54469202420657,,,,,,100.089,,,,0.078
26.98399999999674,382.92627505788806,,,,,,80.52,,,,,,0.078
27.927999999999884,,,,,,726.4285101127202,,,,,,66.372,0.078
28.046000000002095,,,,,545.8541459064985,,,,,,54.947,,0.078
29.004000000000815,353.0382828144708,,392.1442100240212,,,,54.468,,50.084,,,,0.078
38.124000000003434,,454.3433082569368,143.80526903283004,,,,,127.24,125.362,,,,0.078
40.09399999999732,,317.27325827610366,,235.41715499138016,,,,73.433,,89.058,,,0.078
42.10399999999936,,409.09412924249364,,,,,,178.134,,,,,0.078
47.06399999999849,,,231.65017366348974,,,,,,49.278,,,,0.078
47.074000000000524,41.725360480845765,,,,,,40.27,,,,,,0.078
52.934000000001106,64.41127053639548,,247.4360402940248,,,,50.844,,59.974,,,,0.078
74.00400000000081,69.0595333106192,,,154.0106193723936,,,34.258,,,92.524,,,0.078
76.02399999999761,189.5964356861967,,157.29607208922255,,,,44.369,,56.596,,,,0.078
78.02399999999761,41.65139315026766,,61.427038547069984,,,,42.279,,58.268,,,,0.078
