relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-3.889999999999418,,,48.74962899311458,,,,,,40.32,,,,0.058
-3.8799999999973807,110.48039833279609,,,,,,56.074,,,,,,0.058
-2.0099999999947613,,,,,230.8603631402399,,,,,,63.186,,0.058
-1.0389999999970314,,,,,,441.83794015258314,,,,,,113.217,0.058
-0.8999999999941792,223.6348058671649,158.01705463024115,,,,,76.574,61.578,,,,,0.058
0.0,,,,,437.1337239120366,,,,,,65.594,,0.058
0.9250000000029104,,,,,,402.8349204614516,,,,,,93.494,0.058
1.007000000005064,,,,,453.4375578756884,,,,,,115.77,,0.058
3.011000000005879,,,,,538.3543627827662,,,,,,84.675,,0.058
3.923000000002503,,,,,788.484039635232,,,,,,68.385,,0.058
4.014000000002852,,,,,,778.4108850191144,,,,,,94.313,0.058
6.923999999999069,,,,,,848.0194250380206,,,,,,90.477,0.058
7.018000000003667,,,,,956.9822092069876,,,,,,77.678,,0.058
7.990000000005239,,,,,883.779450512,,,,,,60.993,,0.058
8.959999999999127,,,,,,1055.19431714207,,,,,,93.013,0.058
9.989000000001397,,,,,,1076.9219933403492,,,,,,92.895,0.058
10.949000000000524,,,,,909.6938690183824,,,,,,90.381,,0.058
11.055000000000291,,,,,,1115.1191554415882,,,,,,108.652,0.058
11.908000000003085,,,,,1042.2474895077903,,,,,,125.22,,0.058
12.965000000003783,,,,,894.6395027493365,,,,,,121.932,,0.058
13.889999999999418,,,,,1038.9209250584818,,,,,,142.229,,0.058
14.92500000000291,,,,,1190.6005716804586,,,,,,182.544,,0.058
16.041000000004715,,,,,1140.7892237892593,,,,,,250.269,,0.058
18.95300000000134,,,,,,1288.6223670989834,,,,,,173.479,0.058
19.965000000003783,,,,,1051.5451339765507,,,,,,187.612,,0.058
20.989000000001397,,,,,,1029.7165381502825,,,,,,145.103,0.058
21.944000000003143,,,,,,1073.0975224485298,,,,,,133.435,0.058
27.020000000004075,635.2016002365106,,,,,,73.584,,,,,,0.058
28.880000000004657,596.490977696085,,532.6243029337375,,,,45.309,,53.946,,,,0.058
28.952000000004773,,,,,501.28758537654767,,,,,,102.698,,0.058
28.989000000001397,,,,,,922.5399169928972,,,,,,127.736,0.058
29.97200000000157,,,,,598.5431703430186,,,,,,96.381,,0.058
31.86200000000099,,,,,,652.9141095450677,,,,,,102.266,0.058
33.963000000003376,,,,,323.4963565385806,,,,,,74.439,,0.058
34.9120000000039,,,,,280.108877418548,,,,,,58.644,,0.058
34.96500000000378,,,,,,652.2752753890865,,,,,,82.757,0.058
35.91000000000349,,,,,,463.48880995424616,,,,,,90.954,0.058
37.95100000000093,,,,,,646.8549382564668,,,,,,91.174,0.058
38.986000000004424,,,,,,456.9529513469645,,,,,,87.739,0.058
40.93900000000576,,,,,,433.27585565362034,,,,,,101.026,0.058
41.8440000000046,,,,,456.4523285516643,,,,,,120.184,,0.058
58.8179999999993,,,,,,367.9794461875878,,,,,,90.588,0.058
61.85000000000582,78.04392629755867,,,,,,72.282,,,,,,0.058
61.86000000000058,,,106.81941426125931,,,,,,31.532,,,,0.058
105.94000000000233,,294.60476357856015,475.62008937316176,,,,,219.29,386.982,,,,0.058
