relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-18.970000000001164,,,242.3911764505801,,,,,,81.294,,,,0.073
-5.980000000003201,,101.96755931772681,,,,,,54.349,,,,,0.073
-4.10899999999674,,,,,,496.33860147231417,,,,,,103.412,0.073
-4.067000000002736,,,,,294.55750411274204,,,,,,81.571,,0.073
-4.059999999997672,264.6076464997033,,255.00943417057644,,,,48.639,,83.137,,,,0.073
-2.154999999998836,,,,,,358.2411287488787,,,,,,68.157,0.073
-1.1549999999988358,,,,,334.11557181336315,,,,,,66.865,,0.073
-1.1489999999976135,,,,,,493.6938131873818,,,,,,77.849,0.073
0.0,217.8217210409217,487.09147053521275,,,,,64.308,69.845,,,,,0.073
0.8179999999993015,,,,,,611.3901000040461,,,,,,80.656,0.073
1.8410000000003492,,,,,,560.2819083378632,,,,,,76.612,0.073
1.934000000001106,,,,,414.1140212246185,,,,,,67.958,,0.073
3.9060000000026776,,,,,589.0639456380943,,,,,,60.432,,0.073
3.9899999999979627,,802.4852502703994,,300.830149819955,,,,76.665,,117.752,,,0.073
4.826000000000931,,,,,,733.0901420118744,,,,,,118.366,0.073
6.0,,782.0760545631483,560.4396497067696,,,,,57.501,65.48,,,,0.073
6.792000000001281,,,,,685.1221725344361,,,,,,159.511,,0.073
8.781000000002678,,,,,,1347.1455623787563,,,,,,260.883,0.073
9.0,,814.1637729813835,,490.0492843036724,,,,93.553,,123.449,,,0.073
9.781999999999243,,,,,,1329.7176780033722,,,,,,219.072,0.073
15.813999999998487,,,,,579.427366645823,,,,,,121.889,,0.073
15.857000000003609,,,,,,531.0493624228899,,,,,,91.435,0.073
15.919999999998254,,616.8919115809689,591.7246143644218,,,,,82.175,72.846,,,,0.073
17.9800000000032,,,,160.60897754612452,,,,,,85.109,,,0.073
17.989999999997963,279.82095266686014,,,,,,63.649,,,,,,0.073
19.85399999999936,,,,,,559.4144280464444,,,,,,86.763,0.073
21.832000000002154,,,,,380.5029637018526,,,,,,56.64,,0.073
21.921000000002095,,,,,,419.4228711364198,,,,,,86.127,0.073
21.94000000000233,168.6199924972958,,485.575182488752,,,,44.64,,59.824,,,,0.073
23.766999999999825,,,,,,608.3641850230317,,,,,,100.361,0.073
23.889999999999418,262.05529247451136,610.5209441604483,,,,,139.113,158.074,,,,,0.073
25.910000000003492,183.90859310819582,,193.31184457342457,,,,43.485,,71.304,,,,0.073
29.834999999999127,,,,,,245.8241524631275,,,,,,62.632,0.073
29.93000000000029,,,290.6765428811358,,,,,,66.501,,,,0.073
43.91000000000349,,,245.00478802801385,,,,,,69.036,,,,0.073
43.919999999998254,,172.03394290371997,,,,,,63.75,,,,,0.073
46.87000000000262,,,247.15724084819504,,,,,,63.812,,,,0.073
70.83000000000175,,,342.3274595524287,,,,,,113.9,,,,0.073
73.7699999999968,,124.07940260304703,,,,,,77.839,,,,,0.073
77.80000000000291,,,,116.794767972994,,,,,,90.689,,,0.073
79.76000000000204,,162.2030245080865,,,,,,54.076,,,,,0.073
83.79000000000087,115.03076738436492,,,,,,111.583,,,,,,0.073
