relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-11.85399999999936,,,,,397.00452528569355,,,,,,87.87,,0.016
-11.78399999999965,,263.8725341587327,112.34025917685524,,,,,63.071,61.413,,,,0.016
-3.9350000000049477,,,,,,808.8905704760842,,,,,,249.339,0.016
-2.834000000002561,,,,861.9451091280115,,,,,,271.143,,,0.016
0.0,,,,,,785.0049564399645,,,,,,99.171,0.016
0.06300000000192085,,,,,678.1637554081957,,,,,,133.81,,0.016
2.1259999999965657,545.8205071194884,,,423.9484893845757,,,64.789,,,111.905,,,0.016
3.995999999999185,,,,,438.64893752379936,,,,,,103.133,,0.016
4.025999999998021,,,,,,861.8423838610437,,,,,,123.403,0.016
6.063000000001921,,,,,531.1690006185562,,,,,,81.547,,0.016
7.14600000000064,535.9698042067578,,549.1887667195031,,,,65.961,,88.422,,,,0.016
8.023999999997613,,,,,,472.7175838938809,,,,,,117.287,0.016
9.972999999998137,,,,,,569.7450355428824,,,,,,101.24,0.016
9.998999999996158,,,,,332.11795174287465,,,,,,85.879,,0.016
13.085999999995693,350.6641365741624,433.84276501728635,,,,,147.105,190.17,,,,,0.016
14.040999999997439,,,,,285.8091161218099,,,,,,59.192,,0.016
19.04200000000128,,,,,,1096.2762794303221,,,,,,299.795,0.016
23.036000000000058,,,,,,1340.3425782721808,,,,,,322.22,0.016
24.97200000000157,,,,,,719.7095139928723,,,,,,177.066,0.016
26.04599999999482,,621.6442560800434,671.1355386722714,,,,,82.939,84.701,,,,0.016
30.07600000000093,,186.6362799999081,212.84667666828892,,,,,154.829,227.558,,,,0.016
34.93999999999505,,,,,,331.9049447374119,,,,,,86.489,0.016
37.98099999999977,,,,,,580.1495097356666,,,,,,120.539,0.016
39.95799999999872,,,,,,677.2456133816767,,,,,,136.058,0.016
41.854999999995925,,,,,,509.2900869771758,,,,,,127.334,0.016
45.979999999995925,,,,,,653.8057092338277,,,,,,183.55,0.016
47.91700000000128,,,,,,657.4717258740828,,,,,,172.82,0.016
51.98599999999715,,,651.1070598308605,,,,,,144.918,,,,0.016
51.995999999999185,,267.1864276538762,,,,,,190.651,,,,,0.016
55.97599999999511,,262.56608539129604,,368.7414429648496,,,,104.327,,130.262,,,0.016
58.91700000000128,,,,,,450.87674318404584,,,,,,136.403,0.016
60.945999999996275,38.80995503955451,,346.73115005710696,,,,40.274,,87.399,,,,0.016
64.89600000000064,,,,,,472.23279517654373,,,,,,88.796,0.016
69.81100000000151,,,,,,584.6277323097611,,,,,,126.147,0.016
92.81199999999808,,,,,,484.8351894581701,,,,,,126.112,0.016
