relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-90.62800000000425,,110.73048987277635,,,,,,89.87,,,,,0.052
-86.63799999999901,,68.62637806284052,,,,,,61.429,,,,,0.052
-81.55800000000454,,,72.78272734378768,,,,,,53.852,,,,0.052
-79.63799999999901,,,,89.58339079882575,,,,,,85.193,,,0.052
-49.70799999999872,,87.10501545770009,,,,,,83.055,,,,,0.052
-42.69800000000396,,,151.41816313290394,,,,,,74.3,,,,0.052
-13.75800000000163,,,91.29458683428814,,,,,,71.723,,,,0.052
-3.985000000000582,,,,,367.7237565130025,,,,,,89.715,,0.052
0.0,,,,,,1096.612985567601,,,,,,77.522,0.052
0.03600000000005821,,,,,1168.789765814251,,,,,,73.344,,0.052
0.10199999999895226,1128.4803643289135,1105.165659790538,,,,,72.844,90.857,,,,,0.052
2.025999999998021,,,,,,2125.8622897681603,,,,,,73.267,0.052
4.044999999998254,,,,,3315.511902931892,,,,,,213.948,,0.052
4.074000000000524,,,,,,3450.6355708334913,,,,,,117.129,0.052
4.101999999998952,,,2522.8151765497373,,,,,,107.178,,,,0.052
4.1120000000009895,3093.0599966824834,,,,,,112.683,,,,,,0.052
9.009999999994761,,,,,,4911.226713419906,,,,,,399.999,0.052
10.064999999995052,,,,,4991.713096383645,,,,,,233.491,,0.052
10.10099999999511,,,,,,5480.396609886021,,,,,,259.123,0.052
12.08299999999872,,,,,,5856.677217623475,,,,,,213.792,0.052
12.12199999999575,,,,,5868.884942670082,,,,,,275.36,,0.052
14.063999999998487,,,,,,6375.998300425278,,,,,,179.274,0.052
14.159999999996217,,,,,5833.140504983616,,,,,,351.792,,0.052
15.091999999996915,,6133.809728725492,,,,,,109.511,,,,,0.052
15.101999999998952,,,4258.843475126758,,,,,,126.333,,,,0.052
15.989000000001397,,,,,6598.748023058105,,,,,,110.179,,0.052
17.24199999999837,,6132.710711681633,4408.992547691255,,,,,110.092,89.101,,,,0.052
18.021999999997206,,,,,,6695.932489458674,,,,,,125.828,0.052
18.034999999996217,,,,,5848.435815020009,,,,,,133.545,,0.052
24.078999999997905,,,,,4414.252697680191,,,,,,199.578,,0.052
26.091999999996915,,6129.951862312273,,,,,,130.601,,,,,0.052
27.000999999996566,,,,,,6163.839551750617,,,,,,135.059,0.052
27.010999999998603,,,,,4817.024674412548,,,,,,103.846,,0.052
29.002999999996973,,,,,4119.738016191003,,,,,,127.421,,0.052
29.00999999999476,,,,,,5391.191898048976,,,,,,155.992,0.052
30.091999999996915,4492.3590400114945,,4109.3535850663,,,,112.353,,122.661,,,,0.052
30.992999999994936,,,,,,6340.932732639083,,,,,,98.74,0.052
31.03299999999581,,,,,3894.376038801178,,,,,,103.129,,0.052
32.98599999999715,,,,,,6003.568479204027,,,,,,102.976,0.052
37.01199999999517,,,,,2593.022398445549,,,,,,233.092,,0.052
38.98399999999674,,,,,,5217.9244210102,,,,,,148.767,0.052
39.03399999999965,,,,,2534.914235074453,,,,,,166.378,,0.052
40.98399999999674,,,,,,4253.18295743219,,,,,,216.253,0.052
41.00999999999476,,,,,1828.661516517527,,,,,,275.135,,0.052
42.95499999999447,,,,,,4586.020386767864,,,,,,188.717,0.052
43.02699999999459,,,,,1268.7580043954165,,,,,,347.707,,0.052
43.19199999999546,,,,2873.1439732843587,,,,,,301.707,,,0.052
45.04000000000087,,,,,,4601.074764326866,,,,,,196.055,0.052
47.06199999999808,,,,,,3866.471543663098,,,,,,296.241,0.052
49.0679999999993,,,,,,3703.5548470056547,,,,,,165.963,0.052
51.98999999999796,,,,,,2827.075703651389,,,,,,266.565,0.052
53.97899999999936,,,,,832.7574667327452,,,,,,105.878,,0.052
53.98999999999796,,,,,,2826.7173798440504,,,,,,144.384,0.052
57.98099999999977,,,,,697.8517698019926,,,,,,133.143,,0.052
57.99699999999575,,,,,,2756.510996272119,,,,,,161.339,0.052
59.97899999999936,,,,,,2351.486847122621,,,,,,221.282,0.052
62.99399999999878,,,,,,2241.2831657628185,,,,,,202.766,0.052
64.98099999999977,,,,,860.8683771905263,,,,,,153.901,,0.052
65.01699999999983,,,,,,2141.982083447651,,,,,,155.038,0.052
