relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-56.94000000000233,175.3006521509062,,,,,,52.703,,,,,,0.027
-38.950000000004366,,,94.01492387069577,,,,,,67.0,,,,0.027
-36.92000000000553,,,,190.29211556780672,,,,,,112.366,,,0.027
-34.93000000000029,,,74.64546794255915,,,,,,84.944,,,,0.027
-32.92000000000553,55.409018662640264,,,,,,50.759,,,,,,0.027
-28.93000000000029,,,64.29196019268333,,,,,,53.558,,,,0.027
-15.990000000005239,,104.18333426067318,,,,,,73.366,,,,,0.027
-15.980000000003201,,,,148.04418756078647,,,,,,103.027,,,0.027
-4.92000000000553,,504.8596881669316,,172.28282831831487,,,,115.52,,137.255,,,0.027
0.0,532.4256214783555,,,,,,84.749,,,,,,0.027
0.00999999999476131,,481.3076698220402,,,,,,72.118,,,,,0.027
1.867999999994936,,,,,465.3894362322519,,,,,,89.497,,0.027
3.9799999999959255,476.77036483034897,,337.7694321348572,,,,66.191,,176.817,,,,0.027
7.989999999997963,368.96080849072115,360.87656583472886,,,,,38.81,43.763,,,,,0.027
8.846999999994296,,,,,337.40571618992385,,,,,,80.102,,0.027
10.847999999998137,,,,,287.59519658210263,,,,,,63.166,,0.027
10.979999999995925,407.3235922197394,,,330.39652399888985,,,58.478,,,71.614,,,0.027
18.889999999999418,,,,342.7587082098567,,,,,,108.187,,,0.027
21.919999999998254,,351.2146639341795,,,,,,69.265,,,,,0.027
21.93000000000029,,,215.80098075925727,,,,,,49.739,,,,0.027
32.90999999999622,119.4932751474956,201.46957340844452,,,,,70.64,77.391,,,,,0.027
36.78600000000006,,,,,408.45521203597286,,,,,,103.71,,0.027
37.89999999999418,225.93593707057912,,140.7561317847347,,,,59.115,,73.859,,,,0.027
45.90999999999622,,,,175.6486719415342,,,,,,110.798,,,0.027
45.919999999998254,,202.4576134593887,,,,,,121.971,,,,,0.027
47.86000000000058,,,193.22180115691597,,,,,,106.484,,,,0.027
52.87999999999738,,204.48698590490955,376.77145327990416,,,,,80.768,88.923,,,,0.027
56.86000000000058,102.68014550668694,,167.77357723834402,,,,36.692,,43.956,,,,0.027
58.86999999999534,41.854985557034894,,,,,,39.903,,,,,,0.027
58.87999999999738,,,255.85229432686435,,,,,,50.141,,,,0.027
63.81999999999971,98.90449639773752,534.9869158691853,,,,,102.905,204.115,,,,,0.027
