relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-70.74000000000524,,,125.51126403001288,,,,,,64.073,,,,0.075
-46.75,,,192.05341201126976,,,,,,121.508,,,,0.075
-34.88000000000466,,308.457730961309,,,,,,137.152,,,,,0.075
-15.930000000000291,,103.38629665320701,,,,,,66.543,,,,,0.075
-7.940000000002328,,85.51039851936498,,,,,,70.329,,,,,0.075
0.0,9272.18288069056,,,4913.6373572396715,,,180.429,,,182.832,,,0.075
4.07999999999447,,9867.609180480693,,7655.986136027679,,,,111.339,,110.042,,,0.075
10.989999999997963,,9763.9053341478,,8942.017530323325,,,,131.053,,197.245,,,0.075
13.139999999999418,,9839.823583508261,8784.992880612508,,,,,122.595,93.536,,,,0.075
15.019999999996799,,9924.464898693752,,8580.09784702348,,,,294.825,,488.116,,,0.075
21.979999999995925,7772.703917730126,9721.984001246237,,,,,174.832,125.175,,,,,0.075
28.979999999995925,6966.165786294023,8955.958670183149,,,,,107.554,123.086,,,,,0.075
37.029999999998836,,8329.899926318023,,8011.166540344242,,,,154.613,,210.586,,,0.075
39.08999999999651,,7776.926554407751,8241.169627710102,,,,,261.636,438.833,,,,0.075
42.979999999995925,,7973.0146754089765,8108.067094464188,,,,,95.695,99.536,,,,0.075
44.98999999999796,,8196.498022159862,,8296.143349921324,,,,85.459,,167.085,,,0.075
