relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-33.81999999999971,,,199.67409205643312,,,,,,83.964,,,,0.014
-33.80999999999767,69.93867599911908,,,,,,89.59,,,,,,0.014
-28.900000000001455,,70.91863264082816,,,,,,63.138,,,,,0.014
-25.900000000001455,,,122.36321024586836,,,,,,77.766,,,,0.014
-17.849999999998545,,,73.73764243256173,,,,,,71.886,,,,0.014
-5.860000000000582,,137.235595711946,,,,,,83.503,,,,,0.014
0.0,,,,,431.55636707892904,,,,,,83.141,,0.014
1.0900000000037835,581.6490233310315,,680.780493483315,,,,59.96,,86.123,,,,0.014
1.9029999999984284,,,,,861.5821102318972,,,,,,135.114,,0.014
1.9440000000031432,,,,,,530.0086541403429,,,,,,156.931,0.014
3.9210000000020955,,,,,,1087.6981196837503,,,,,,112.576,0.014
7.029999999998836,1163.1513434176793,1167.6808886435153,,,,,183.755,151.738,,,,,0.014
7.880000000004657,,,,,,1448.6175911773305,,,,,,92.682,0.014
7.9650000000037835,,,,,1385.1412739948544,,,,,,77.659,,0.014
9.889999999999418,,,,,,1810.5692711907157,,,,,,392.93,0.014
10.110000000000582,,,1158.5124534786614,,,,,,76.542,,,,0.014
10.12000000000262,1399.8664591530376,,,,,,68.802,,,,,,0.014
15.863000000004831,,,,,,1495.817004133253,,,,,,280.831,0.014
15.91700000000128,,,,,1089.0043008353991,,,,,,336.859,,0.014
16.882000000005064,,,,,1506.9421456507307,,,,,,371.404,,0.014
16.97899999999936,,,,,,1686.2919948016272,,,,,,360.64,0.014
18.881000000001222,,,,,,1672.5439004311345,,,,,,200.491,0.014
19.927000000003318,,,,,,1309.0953082655521,,,,,,173.952,0.014
19.989999999997963,,1548.0659343213717,1067.8155016953829,,,,,71.393,87.341,,,,0.014
21.846000000005006,,,,,860.5568712484041,,,,,,172.731,,0.014
21.861000000004424,,,,,,1400.613601052007,,,,,,155.885,0.014
24.020000000004075,,947.8643427357002,,,,,,167.226,,,,,0.014
28.838999999999942,,,,,594.3378598774146,,,,,,85.846,,0.014
28.87600000000384,,,,,,738.9522049710012,,,,,,96.553,0.014
30.891999999999825,,,,,,576.011166769947,,,,,,145.923,0.014
30.902000000001863,,,,,485.4113854164715,,,,,,131.99,,0.014
31.92399999999907,,,,,,634.3613689184791,,,,,,140.41,0.014
33.90299999999843,,,,,,910.0019544099546,,,,,,130.483,0.014
33.970000000001164,369.4564027746642,,,,,,63.727,,,,,,0.014
33.9800000000032,,840.3132367749922,,,,,,71.971,,,,,0.014
35.79899999999907,,,,,,614.3025362805603,,,,,,123.549,0.014
43.89800000000105,,,,,,1635.8826651072864,,,,,,512.466,0.014
52.970000000001164,,134.1791858023248,,,,,,53.659,,,,,0.014
52.9800000000032,,,243.99783626524973,,,,,,69.875,,,,0.014
54.88000000000466,182.9441851475991,,,,,,67.028,,,,,,0.014
54.88999999999942,,,493.8059011721046,,,,,,76.132,,,,0.014
