relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-27.959999999999127,133.41367349172975,,,,,,116.486,,,,,,0.069
-20.969999999993888,,79.14132986719999,,243.56161173440975,,,,61.168,,95.843,,,0.069
-11.959999999999127,,111.04150035189245,,,,,,83.993,,,,,0.069
-7.959999999999127,169.48452595870035,,,142.94680862973078,,,95.331,,,128.934,,,0.069
0.0,853.3523782405942,,1004.8414360059957,,,,72.57,,69.202,,,,0.069
4.0,1961.7343091981775,,,,,,76.488,,,,,,0.069
4.010000000002037,,,2218.757793776332,,,,,,61.454,,,,0.069
6.010000000002037,2609.7944896088625,,,2370.304194441282,,,78.963,,,87.851,,,0.069
16.960000000006403,,3902.1748484906266,3673.980474819537,,,,,99.654,201.694,,,,0.069
19.9800000000032,4557.065199175844,,,3317.395256408519,,,78.408,,,114.487,,,0.069
25.94000000000233,,3897.2702987946627,,,,,,201.703,,,,,0.069
30.93000000000029,3978.3046251123324,,4472.48905510029,,,,98.711,,172.973,,,,0.069
36.84000000000378,,3068.5214539489943,,,,,,172.433,,,,,0.069
36.85000000000582,,,,3011.4787489918904,,,,,,235.804,,,0.069
42.900000000001455,,2907.2986537921042,,2731.0571166523578,,,,114.518,,115.886,,,0.069
47.900000000001455,,2393.1554271328314,2760.563423291954,,,,,60.397,82.898,,,,0.069
49.820000000006985,2320.813380801301,,,,,,55.556,,,,,,0.069
49.830000000001746,,,,2507.949467842119,,,,,,93.073,,,0.069
51.84000000000378,1990.8277277842096,,2635.757120085813,,,,78.571,,86.254,,,,0.069
58.830000000001746,1652.5525156192718,1813.7041253643777,,,,,82.021,92.152,,,,,0.069
64.82000000000698,1198.47532284454,,1685.7017349169357,,,,74.754,,60.586,,,,0.069
71.81000000000495,,1322.5017621857949,1488.7252912831443,,,,,187.278,114.286,,,,0.069
74.79000000000087,,1061.1164520393338,1134.4449448329865,,,,,189.223,120.266,,,,0.069
76.83000000000175,,1017.3721530232073,,1280.9987076780508,,,,84.228,,106.16,,,0.069
78.80000000000291,719.2599758440051,,,1088.9634877057356,,,53.635,,,93.791,,,0.069
83.80000000000291,586.6131778681554,788.8650985059902,,,,,67.187,67.264,,,,,0.069
87.80000000000291,275.85607842657976,,780.8673162529883,,,,56.074,,78.701,,,,0.069
95.80000000000291,,,749.4424047559606,,,,,,128.771,,,,0.069
95.81000000000495,,371.80888667056826,,,,,,103.164,,,,,0.069
100.78000000000611,,708.1795475682108,540.5863068548796,,,,,257.813,232.04,,,,0.069
102.76000000000204,,346.8930209364998,,445.7820255026213,,,,107.454,,120.245,,,0.069
103.67000000000553,,419.9975292556798,,,,,,70.653,,,,,0.069
103.68000000000029,,,427.99691737538194,,,,,,76.829,,,,0.069
104.75,,451.868274796192,,,,,,79.095,,,,,0.069
104.76000000000204,,,,444.58557863909994,,,,,,124.433,,,0.069
