relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-290.10599999999977,,,102.65931641730627,,,,,,60.339,,,,0.062
-270.08600000000297,108.76581669344885,,,,,,70.682,,,,,,0.062
-55.80600000000413,,,58.36846016463069,,,,,,44.389,,,,0.062
-40.81600000000617,,196.49502277908908,,,,,,87.9,,,,,0.062
-27.81600000000617,82.62551036740905,,,,,,40.711,,,,,,0.062
-25.89600000000064,,,59.30109863813919,,,,,,60.906,,,,0.062
-15.836000000002969,,,105.69345568058424,,,,,,46.113,,,,0.062
-5.916000000004715,,,70.1350817658849,,,,,,72.139,,,,0.062
-3.855999999999767,314.1117618701936,,,162.34952991534988,,,61.511,,,75.37,,,0.062
-1.9700000000011642,,,,,,461.33214738546417,,,,,,110.88,0.062
0.0,,,,,446.0692962455794,,,,,,60.318,,0.062
0.10399999999935972,478.6099417828217,,475.12971753087214,,,,45.922,,46.6,,,,0.062
1.9309999999968568,,,,,,568.9922585294391,,,,,,96.545,0.062
2.043999999994412,704.8718224165855,,,,,,106.385,,,,,,0.062
3.958999999995285,,,,,,640.1790139929466,,,,,,85.877,0.062
4.006999999997788,,,,,573.9188655851627,,,,,,82.017,,0.062
5.955999999998312,,,,,,485.02851987238785,,,,,,72.938,0.062
6.000999999996566,,,,,485.6274829774393,,,,,,56.963,,0.062
7.989999999997963,,,,,511.97222168112654,,,,,,54.731,,0.062
7.994999999995343,,,,,,656.5723110599969,,,,,,74.734,0.062
8.093999999997322,568.7183454858213,,564.3487887062912,,,,62.865,,65.889,,,,0.062
10.05399999999645,640.3317136306088,,,472.11993489612144,,,42.515,,,69.212,,,0.062
12.013999999995576,,454.1628386792539,,,,,,71.935,,,,,0.062
12.023999999997613,,,,378.82210456057015,,,,,,93.276,,,0.062
13.894000000000233,,,,,,822.9882532178117,,,,,,160.873,0.062
13.972999999998137,,,,,616.3988454925314,,,,,,169.825,,0.062
22.074000000000524,,487.04610922828937,561.3859623012028,,,,,69.626,65.613,,,,0.062
25.03399999999965,344.36932020909245,,678.6109300036981,,,,55.692,,56.492,,,,0.062
28.894000000000233,,,,,256.20828283648314,,,,,,62.944,,0.062
28.943999999995867,,,,,,745.0842503508499,,,,,,81.509,0.062
30.938999999998487,,,,,,544.0500745645611,,,,,,98.043,0.062
31.043999999994412,167.33240418440204,,594.9408906061431,,,,87.309,,105.584,,,,0.062
32.870999999999185,,,,,,509.730934564723,,,,,,90.332,0.062
34.85399999999936,,,,,337.9004628778989,,,,,,66.809,,0.062
34.91899999999441,,,,,,707.9224849548858,,,,,,92.228,0.062
35.98399999999674,265.54860831069243,380.57025516069706,,,,,68.755,74.27,,,,,0.062
39.92199999999866,,,,,,816.0386520863261,,,,,,122.438,0.062
39.93999999999505,,,,,302.4547723621811,,,,,,78.096,,0.062
41.913000000000466,,,,,,610.8715461588872,,,,,,122.458,0.062
51.93399999999383,,249.20967005340898,,325.47887429575763,,,,89.805,,138.154,,,0.062
52.83099999999831,,,,,,443.7560709688084,,,,,,82.619,0.062
54.004000000000815,183.30566901469038,,602.5212245789966,,,,47.529,,52.988,,,,0.062
55.96399999999994,247.29959916496063,,,460.6808408646925,,,45.849,,,85.667,,,0.062
57.846999999994296,,,,,,611.946800113074,,,,,,106.826,0.062
57.92399999999907,250.36385813240372,435.4127524304094,,,,,41.732,42.606,,,,,0.062
63.83099999999831,,,,,,719.0841153689788,,,,,,87.422,0.062
81.76699999999983,,,,,,626.6753074372627,,,,,,109.245,0.062
83.82600000000093,,,,,,619.3672883210482,,,,,,106.309,0.062
87.86000000000058,,,,,,623.4952747658573,,,,,,115.568,0.062
93.72099999999773,,,,,,424.05914882182554,,,,,,109.803,0.062
95.7589999999982,,,,,,467.7453574639416,,,,,,93.236,0.062
