relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-265.0349999999962,,117.02252568858472,,,,,,55.198,,,,,0.027
-215.18499999999767,130.47220612169286,,,,,,111.875,,,,,,0.027
-202.17499999999563,,,,432.65880343021945,,,,,,255.934,,,0.027
-192.13499999999476,170.17890205528784,,,,,,149.779,,,,,,0.027
-167.23500000000058,100.1061377663249,,,,,,73.057,,,,,,0.027
-145.22499999999854,,199.6853457436326,,,,,,154.782,,,,,0.027
-141.23500000000058,,111.6165503505167,,,,,,59.522,,,,,0.027
0.0,,,,,1452.6901359333142,,,,,,146.682,,0.027
1.504000000000815,,,,,1231.8542280659021,,,,,,155.42,,0.027
2.989000000001397,,,,,,1793.2884326607752,,,,,,229.702,0.027
3.0380000000004657,,,,,1506.5915907565563,,,,,,163.856,,0.027
3.989000000001397,,,,,,1736.9061912822492,,,,,,251.956,0.027
4.007000000005064,,,,,1984.8303358785054,,,,,,298.033,,0.027
6.994000000006054,,,,,1378.5407363254365,,,,,,239.123,,0.027
7.02100000000064,,,,,,1712.8033149594844,,,,,,123.646,0.027
8.992000000005646,,,,,1486.5855428966152,,,,,,203.421,,0.027
9.023000000001048,,,,,,2285.1871353352108,,,,,,353.635,0.027
15.978000000002794,,,,,,1674.4168058916443,,,,,,91.545,0.027
16.014000000002852,,,,,1004.4125094664258,,,,,,76.448,,0.027
18.135000000002037,998.941542207007,1338.3210330179538,,,,,69.127,72.552,,,,,0.027
18.997000000003027,,,,,923.9332960581833,,,,,,89.144,,0.027
19.02100000000064,,,,,,1478.5550278364665,,,,,,97.517,0.027
20.97899999999936,,,,,1067.5699849411783,,,,,,85.091,,0.027
21.040000000000873,,,,,,1251.912980768715,,,,,,104.292,0.027
23.993000000002212,,,,,775.7719624956683,,,,,,91.579,,0.027
24.028000000005704,,,,,,1016.8027408366661,,,,,,277.746,0.027
25.02400000000489,,,,,803.3748525412664,,,,,,147.473,,0.027
27.03399999999965,,,,,,980.1236879057998,,,,,,89.411,0.027
29.135000000002037,,1044.0481724080933,1054.659432753372,,,,,74.851,68.982,,,,0.027
29.97899999999936,,,,,675.4167075041923,,,,,,84.374,,0.027
30.00300000000425,,,,,,1072.6717584052349,,,,,,96.635,0.027
31.983000000000175,,,,,,964.1578215614195,,,,,,167.715,0.027
32.020000000004075,,,,,616.4279578858419,,,,,,128.226,,0.027
32.13500000000204,,844.4448968736544,,691.9481185749606,,,,103.8,,167.619,,,0.027
34.145000000004075,,940.5245973615888,1001.7409218961297,,,,,82.669,80.104,,,,0.027
36.012000000002445,,,,,647.9235768561426,,,,,,185.292,,0.027
44.93900000000576,,,,,498.1190492060581,,,,,,106.131,,0.027
44.97700000000623,,,,,,671.8933112717633,,,,,,101.678,0.027
49.9120000000039,,,,,,737.0431260703951,,,,,,113.252,0.027
50.020000000004075,,,,,359.62293637911716,,,,,,96.24,,0.027
51.075000000004366,,602.2173390551703,,,,,,89.763,,,,,0.027
51.08499999999913,286.9952967040906,,,,,,89.196,,,,,,0.027
53.97700000000623,,,,,,601.8876096558421,,,,,,113.808,0.027
56.075000000004366,203.14633792716964,,,588.7237247314434,,,53.71,,,90.984,,,0.027
58.08499999999913,,483.5715285795435,622.2398407757196,,,,,49.834,55.836,,,,0.027
60.921000000002095,,,,,,721.956758648207,,,,,,133.62,0.027
63.125,,527.3874276672087,,657.4282422541851,,,,85.815,,97.133,,,0.027
72.04500000000553,92.12474386731967,,394.3599423489703,,,,89.161,,76.218,,,,0.027
77.04500000000553,,272.5221234797434,,,,,,38.557,,,,,0.027
77.05500000000029,58.99643251166524,,,,,,45.672,,,,,,0.027
81.09500000000116,,,189.26782411606027,,,,,,56.744,,,,0.027
87.14500000000407,,,,322.7089496180123,,,,,,150.877,,,0.027
106.96500000000378,,,141.62302972025634,,,,,,42.0,,,,0.027
